game_code,game,numbers,combination,draw_date,draw_time,jackpot,winners,source,source_id
3DL-2PM,3D Lotto 2PM,"[""0"", ""4"", ""6""]",0-4-6,2023-12-23,14:00,0,0,lottomatik,3DL5454702
2DL-5PM,2D Lotto 5PM,"[""15"", ""29""]",15-29,2023-12-23,17:00,0,0,lottomatik,2DL5454703
3DL-5PM,3D Lotto 5PM,"[""5"", ""3"", ""3""]",5-3-3,2023-12-23,17:00,0,0,lottomatik,3DL5454704
2DL-9PM,2D Lotto 9PM,"[""12"", ""30""]",12-30,2023-12-23,21:00,0,0,lottomatik,2DL5456280
3DL-9PM,3D Lotto 9PM,"[""9"", ""4"", ""3""]",9-4-3,2023-12-23,21:00,0,0,lottomatik,3DL5456281
6DL,6D Lotto,"[""4"", ""1"", ""5"", ""0"", ""4"", ""4""]",4-1-5-0-4-4,2023-12-23,21:00,0,0,lottomatik,6DL5456282
GL55,Grand Lotto 6/55,"[""25"", ""21"", ""07"", ""49"", ""32"", ""22""]",25-21-07-49-32-22,2023-12-23,21:00,0,0,lottomatik,GL555457859
LOTTO42,Lotto 6/42,"[""33"", ""11"", ""38"", ""37"", ""32"", ""06""]",33-11-38-37-32-06,2023-12-23,21:00,0,0,lottomatik,LOTTO425457858
2DL-2PM,2D Lotto 2PM,"[""08"", ""04""]",08-04,2023-12-24,14:00,0,0,lottomatik,2DL5511653
3DL-2PM,3D Lotto 2PM,"[""0"", ""5"", ""4""]",0-5-4,2023-12-24,14:00,0,0,lottomatik,3DL5511654
2DL-5PM,2D Lotto 5PM,"[""11"", ""11""]",11-11,2023-12-24,17:00,0,0,lottomatik,2DL5511655
3DL-5PM,3D Lotto 5PM,"[""7"", ""7"", ""0""]",7-7-0,2023-12-24,17:00,0,0,lottomatik,3DL5511656
2DL-9PM,2D Lotto 9PM,"[""06"", ""14""]",06-14,2023-12-24,21:00,0,0,lottomatik,2DL5511657
3DL-9PM,3D Lotto 9PM,"[""9"", ""1"", ""3""]",9-1-3,2023-12-24,21:00,0,0,lottomatik,3DL5511658
SL49,Superlotto 6/49,"[""08"", ""12"", ""23"", ""29"", ""24"", ""44""]",08-12-23-29-24-44,2023-12-24,21:00,0,0,lottomatik,SL495511659
UL58,Ultra Lotto 6/58,"[""05"", ""06"", ""25"", ""13"", ""17"", ""16""]",05-06-25-13-17-16,2023-12-24,21:00,0,0,lottomatik,UL585511660
2DL-2PM,2D Lotto 2PM,"[""11"", ""02""]",11-02,2023-12-26,14:00,0,0,lottomatik,2DL5626285
3DL-2PM,3D Lotto 2PM,"[""3"", ""4"", ""7""]",3-4-7,2023-12-26,14:00,0,0,lottomatik,3DL5626286
2DL-5PM,2D Lotto 5PM,"[""04"", ""26""]",04-26,2023-12-26,17:00,0,0,lottomatik,2DL5626287
3DL-5PM,3D Lotto 5PM,"[""8"", ""9"", ""0""]",8-9-0,2023-12-26,17:00,0,0,lottomatik,3DL5626288
2DL-9PM,2D Lotto 9PM,"[""27"", ""12""]",27-12,2023-12-26,21:00,0,0,lottomatik,2DL5627881
3DL-9PM,3D Lotto 9PM,"[""7"", ""6"", ""9""]",7-6-9,2023-12-26,21:00,0,0,lottomatik,3DL5627882
6DL,6D Lotto,"[""6"", ""5"", ""2"", ""2"", ""2"", ""7""]",6-5-2-2-2-7,2023-12-26,21:00,0,0,lottomatik,6DL5627883
LOTTO42,Lotto 6/42,"[""07"", ""32"", ""17"", ""01"", ""08"", ""09""]",07-32-17-01-08-09,2023-12-26,21:00,0,0,lottomatik,LOTTO425629477
SL49,Superlotto 6/49,"[""30"", ""06"", ""48"", ""14"", ""49"", ""37""]",30-06-48-14-49-37,2023-12-26,21:00,0,0,lottomatik,SL495629476
UL58,Ultra Lotto 6/58,"[""42"", ""49"", ""16"", ""09"", ""06"", ""47""]",42-49-16-09-06-47,2023-12-26,21:00,0,0,lottomatik,UL585629478
2DL-2PM,2D Lotto 2PM,"[""18"", ""12""]",18-12,2023-12-27,14:00,0,0,lottomatik,2DL5683917
3DL-2PM,3D Lotto 2PM,"[""9"", ""5"", ""2""]",9-5-2,2023-12-27,14:00,0,0,lottomatik,3DL5683918
2DL-5PM,2D Lotto 5PM,"[""10"", ""28""]",10-28,2023-12-27,17:00,0,0,lottomatik,2DL5683919
3DL-5PM,3D Lotto 5PM,"[""3"", ""0"", ""8""]",3-0-8,2023-12-27,17:00,0,0,lottomatik,3DL5683920
2DL-9PM,2D Lotto 9PM,"[""31"", ""08""]",31-08,2023-12-27,21:00,0,0,lottomatik,2DL5685523
3DL-9PM,3D Lotto 9PM,"[""0"", ""0"", ""4""]",0-0-4,2023-12-27,21:00,0,0,lottomatik,3DL5685524
4DL,4D Lotto,"[""9"", ""7"", ""0"", ""3""]",9-7-0-3,2023-12-27,21:00,0,0,lottomatik,4DL5685525
GL55,Grand Lotto 6/55,"[""27"", ""05"", ""51"", ""43"", ""54"", ""12""]",27-05-51-43-54-12,2023-12-27,21:00,0,0,lottomatik,GL555687129
ML45,Megalotto 6/45,"[""25"", ""18"", ""37"", ""13"", ""17"", ""39""]",25-18-37-13-17-39,2023-12-27,21:00,0,0,lottomatik,ML455687128
2DL-2PM,2D Lotto 2PM,"[""02"", ""20""]",02-20,2023-12-28,14:00,0,0,lottomatik,2DL5741877
