rank,strategy,combination,numbers,even_count,odd_count,low_count,high_count,sum,unique_values,historical_fit_score,seen_before_count,rambolito_key,straight_permutations,theoretical_odds_1_in,note
1,Uniform baseline,8037,"['8', '0', '3', '7']",2,2,2,2,18,4,84.34,0,0378,24,10000,"Historical fit is descriptive, not a win probability."
2,Uniform baseline,2216,"['2', '2', '1', '6']",3,1,3,1,11,3,56.22,0,1226,12,10000,"Historical fit is descriptive, not a win probability."
3,Uniform baseline,3888,"['3', '8', '8', '8']",3,1,1,3,27,2,45.72,0,3888,4,10000,"Historical fit is descriptive, not a win probability."
4,Uniform baseline,0589,"['0', '5', '8', '9']",2,2,1,3,22,4,71.3,0,0589,24,10000,"Historical fit is descriptive, not a win probability."
5,Smoothed frequency,5418,"['5', '4', '1', '8']",2,2,2,2,18,4,84.34,0,1458,24,10000,"Historical fit is descriptive, not a win probability."
6,Smoothed frequency,9027,"['9', '0', '2', '7']",2,2,2,2,18,4,84.23,0,0279,24,10000,"Historical fit is descriptive, not a win probability."
7,Smoothed frequency,2781,"['2', '7', '8', '1']",2,2,2,2,18,4,83.8,0,1278,24,10000,"Historical fit is descriptive, not a win probability."
8,Historical profile,7407,"['7', '4', '0', '7']",2,2,2,2,18,3,84.73,0,0477,12,10000,"Historical fit is descriptive, not a win probability."
9,Historical profile,6138,"['6', '1', '3', '8']",2,2,2,2,18,4,84.55,0,1368,24,10000,"Historical fit is descriptive, not a win probability."
10,Historical profile,2178,"['2', '1', '7', '8']",2,2,2,2,18,4,84.44,0,1278,24,10000,"Historical fit is descriptive, not a win probability."
