number,numeric_value,appearance_count,appearance_share_pct,draw_hit_count,draw_hit_rate_pct,expected_count,difference_from_expected,z_score,draws_since_last,mean_gap_draws,median_gap_draws,maximum_gap_draws,last_seen,frequency_rank
0,0,163,10.3165,139,35.1899,158.0,5.0,0.419,2,1.841,1.0,11,2026-07-31,2
1,1,159,10.0633,134,33.9241,158.0,1.0,0.084,1,1.94,1,12,2026-08-03,5
2,2,155,9.8101,136,34.4304,158.0,-3.0,-0.252,0,1.889,1,12,2026-08-05,7
3,3,151,9.557,132,33.4177,158.0,-7.0,-0.587,7,1.954,1,10,2026-07-20,8
4,4,159,10.0633,132,33.4177,158.0,1.0,0.084,0,2,1,11,2026-08-05,6
5,5,160,10.1266,141,35.6962,158.0,2.0,0.168,4,1.779,1.0,9,2026-07-27,4
6,6,147,9.3038,131,33.1646,158.0,-11.0,-0.922,3,1.985,1.0,14,2026-07-29,9
7,7,179,11.3291,150,37.9747,158.0,21.0,1.761,2,1.631,1,11,2026-07-31,1
8,8,161,10.1899,138,34.9367,158.0,3.0,0.252,0,1.832,1,11,2026-08-05,3
9,9,146,9.2405,128,32.4051,158.0,-12.0,-1.006,1,2.094,1,17,2026-08-03,10
