pair_or_transition,first,second,count,draw_support_pct
0>3,0,3,21,5.3165
1>7,1,7,18,4.557
2>8,2,8,18,4.557
5>1,5,1,18,4.557
0>4,0,4,17,4.3038
1>9,1,9,17,4.3038
3>7,3,7,17,4.3038
2>4,2,4,16,4.0506
3>1,3,1,16,4.0506
3>8,3,8,16,4.0506
7>3,7,3,16,4.0506
0>0,0,0,15,3.7975
0>2,0,2,15,3.7975
0>7,0,7,15,3.7975
1>1,1,1,15,3.7975
4>4,4,4,15,3.7975
5>2,5,2,15,3.7975
5>6,5,6,15,3.7975
5>8,5,8,15,3.7975
6>5,6,5,15,3.7975
7>0,7,0,15,3.7975
7>7,7,7,15,3.7975
8>4,8,4,15,3.7975
8>5,8,5,15,3.7975
2>3,2,3,14,3.5443
4>1,4,1,14,3.5443
4>6,4,6,14,3.5443
5>0,5,0,14,3.5443
6>7,6,7,14,3.5443
7>1,7,1,14,3.5443
7>5,7,5,14,3.5443
9>2,9,2,14,3.5443
9>5,9,5,14,3.5443
9>8,9,8,14,3.5443
1>2,1,2,13,3.2911
2>0,2,0,13,3.2911
3>3,3,3,13,3.2911
4>8,4,8,13,3.2911
6>9,6,9,13,3.2911
7>4,7,4,13,3.2911
7>6,7,6,13,3.2911
8>0,8,0,13,3.2911
8>3,8,3,13,3.2911
8>9,8,9,13,3.2911
0>5,0,5,12,3.038
1>0,1,0,12,3.038
2>7,2,7,12,3.038
4>2,4,2,12,3.038
4>7,4,7,12,3.038
5>7,5,7,12,3.038
6>8,6,8,12,3.038
8>7,8,7,12,3.038
8>8,8,8,12,3.038
9>1,9,1,12,3.038
9>6,9,6,12,3.038
3>5,3,5,11,2.7848
4>0,4,0,11,2.7848
4>9,4,9,11,2.7848
5>9,5,9,11,2.7848
6>3,6,3,11,2.7848
6>4,6,4,11,2.7848
7>9,7,9,11,2.7848
9>0,9,0,11,2.7848
9>7,9,7,11,2.7848
0>8,0,8,10,2.5316
1>6,1,6,10,2.5316
2>1,2,1,10,2.5316
2>2,2,2,10,2.5316
2>6,2,6,10,2.5316
3>0,3,0,10,2.5316
3>4,3,4,10,2.5316
3>6,3,6,10,2.5316
4>5,4,5,10,2.5316
5>4,5,4,10,2.5316
7>8,7,8,10,2.5316
8>2,8,2,10,2.5316
0>6,0,6,9,2.2785
1>5,1,5,9,2.2785
6>1,6,1,9,2.2785
6>2,6,2,9,2.2785
6>6,6,6,9,2.2785
9>3,9,3,9,2.2785
9>4,9,4,9,2.2785
0>1,0,1,8,2.0253
0>9,0,9,8,2.0253
1>3,1,3,8,2.0253
1>4,1,4,8,2.0253
2>5,2,5,8,2.0253
6>0,6,0,8,2.0253
7>2,7,2,8,2.0253
9>9,9,9,8,2.0253
2>9,2,9,7,1.7722
3>2,3,2,7,1.7722
3>9,3,9,7,1.7722
5>5,5,5,7,1.7722
8>1,8,1,6,1.519
5>3,5,3,5,1.2658
8>6,8,6,5,1.2658
1>8,1,8,4,1.0127
4>3,4,3,4,1.0127
