draw_index,draw_date,draw_time,position,number
1,2023-12-27,21:00,1,9
1,2023-12-27,21:00,2,7
1,2023-12-27,21:00,3,0
1,2023-12-27,21:00,4,3
2,2023-12-29,21:00,1,3
2,2023-12-29,21:00,2,7
2,2023-12-29,21:00,3,4
2,2023-12-29,21:00,4,5
3,2024-01-03,21:00,1,1
3,2024-01-03,21:00,2,1
3,2024-01-03,21:00,3,3
3,2024-01-03,21:00,4,9
4,2024-01-05,21:00,1,6
4,2024-01-05,21:00,2,3
4,2024-01-05,21:00,3,4
4,2024-01-05,21:00,4,4
5,2024-01-08,21:00,1,0
5,2024-01-08,21:00,2,7
5,2024-01-08,21:00,3,7
5,2024-01-08,21:00,4,2
6,2024-01-10,21:00,1,0
6,2024-01-10,21:00,2,9
6,2024-01-10,21:00,3,3
6,2024-01-10,21:00,4,1
7,2024-01-12,21:00,1,2
7,2024-01-12,21:00,2,7
7,2024-01-12,21:00,3,3
7,2024-01-12,21:00,4,8
8,2024-01-15,21:00,1,0
8,2024-01-15,21:00,2,0
8,2024-01-15,21:00,3,5
8,2024-01-15,21:00,4,3
9,2024-01-17,21:00,1,2
9,2024-01-17,21:00,2,5
9,2024-01-17,21:00,3,6
9,2024-01-17,21:00,4,8
10,2024-01-19,21:00,1,3
10,2024-01-19,21:00,2,4
10,2024-01-19,21:00,3,1
10,2024-01-19,21:00,4,9
11,2024-01-22,21:00,1,7
11,2024-01-22,21:00,2,4
11,2024-01-22,21:00,3,6
11,2024-01-22,21:00,4,6
12,2024-01-24,21:00,1,5
12,2024-01-24,21:00,2,9
12,2024-01-24,21:00,3,9
12,2024-01-24,21:00,4,2
13,2024-01-26,21:00,1,6
13,2024-01-26,21:00,2,8
13,2024-01-26,21:00,3,5
13,2024-01-26,21:00,4,4
14,2024-01-29,21:00,1,6
14,2024-01-29,21:00,2,7
14,2024-01-29,21:00,3,7
14,2024-01-29,21:00,4,3
15,2024-01-31,21:00,1,9
15,2024-01-31,21:00,2,9
15,2024-01-31,21:00,3,8
15,2024-01-31,21:00,4,8
16,2024-02-02,21:00,1,3
16,2024-02-02,21:00,2,9
16,2024-02-02,21:00,3,8
16,2024-02-02,21:00,4,7
17,2024-02-05,21:00,1,8
17,2024-02-05,21:00,2,8
17,2024-02-05,21:00,3,5
17,2024-02-05,21:00,4,2
18,2024-02-07,21:00,1,9
18,2024-02-07,21:00,2,6
18,2024-02-07,21:00,3,2
18,2024-02-07,21:00,4,3
19,2024-02-09,21:00,1,7
19,2024-02-09,21:00,2,7
19,2024-02-09,21:00,3,0
19,2024-02-09,21:00,4,4
20,2024-02-12,21:00,1,6
