draw_index,game_code,draw_date,draw_time,combination,sum,mean,minimum,maximum,span,even_count,odd_count,low_count,high_count,unique_values,adjacent_consecutive_pairs,shared_values_with_previous_draw
1,6DL,2023-12-23,21:00,415044,18,3,0,5,5,4,2,5,1,4,0,
2,6DL,2023-12-26,21:00,652227,24,4,2,7,5,4,2,3,3,4,1,1
3,6DL,2023-12-28,21:00,177812,26,4.333,1,8,7,2,4,3,3,4,2,2
4,6DL,2023-12-30,21:00,938029,31,5.167,0,9,9,3,3,3,3,5,0,2
5,6DL,2024-01-02,21:00,112725,18,3,1,7,6,2,4,4,2,4,1,1
6,6DL,2024-01-04,21:00,078413,23,3.833,0,8,8,3,3,4,2,6,1,2
7,6DL,2024-01-06,21:00,908534,29,4.833,0,9,9,3,3,3,3,6,1,4
8,6DL,2024-01-09,21:00,836775,36,6,3,8,5,2,4,1,5,5,1,3
9,6DL,2024-01-11,21:00,498466,37,6.167,4,9,5,5,1,2,4,4,1,2
10,6DL,2024-01-13,21:00,445139,26,4.333,1,9,8,2,4,4,2,5,1,2
11,6DL,2024-01-16,21:00,136676,29,4.833,1,7,6,3,3,2,4,4,2,2
12,6DL,2024-01-18,21:00,783400,22,3.667,0,8,8,4,2,4,2,5,2,2
13,6DL,2024-01-20,21:00,521980,25,4.167,0,9,9,3,3,3,3,6,2,2
14,6DL,2024-01-23,21:00,599516,35,5.833,1,9,8,1,5,1,5,4,0,3
15,6DL,2024-01-25,21:00,981417,30,5,1,9,8,2,4,3,3,5,1,2
16,6DL,2024-01-27,21:00,103370,14,2.333,0,7,7,2,4,5,1,4,1,2
17,6DL,2024-01-30,21:00,159631,25,4.167,1,9,8,1,5,3,3,5,0,2
18,6DL,2024-02-01,21:00,894666,39,6.5,4,9,5,5,1,1,5,4,1,2
19,6DL,2024-02-03,21:00,376517,29,4.833,1,7,6,1,5,2,4,5,2,1
20,6DL,2024-02-06,21:00,609157,28,4.667,0,9,9,2,4,2,4,6,0,4
21,6DL,2024-02-08,21:00,722233,19,3.167,2,7,5,3,3,5,1,3,1,1
22,6DL,2024-02-10,21:00,807897,39,6.5,0,9,9,3,3,1,5,4,2,1
23,6DL,2024-02-13,21:00,144067,22,3.667,0,7,7,4,2,4,2,5,1,2
24,6DL,2024-02-15,21:00,375025,22,3.667,0,7,7,2,4,3,3,5,0,2
25,6DL,2024-02-17,21:00,206554,22,3.667,0,6,6,4,2,3,3,5,2,3
26,6DL,2024-02-20,21:00,725885,35,5.833,2,8,6,3,3,1,5,4,0,2
27,6DL,2024-02-22,21:00,359851,31,5.167,1,9,8,1,5,2,4,5,1,2
28,6DL,2024-02-24,21:00,174385,28,4.667,1,8,7,2,4,3,3,6,1,4
29,6DL,2024-02-27,21:00,405297,27,4.5,0,9,9,3,3,3,3,6,0,3
30,6DL,2024-02-29,21:00,007816,22,3.667,0,8,8,4,2,3,3,5,1,2
31,6DL,2024-03-02,21:00,894997,46,7.667,4,9,5,2,4,1,5,4,1,2
32,6DL,2024-03-05,21:00,377501,23,3.833,0,7,7,1,5,3,3,5,1,1
33,6DL,2024-03-07,21:00,490753,28,4.667,0,9,9,2,4,3,3,6,0,4
34,6DL,2024-03-09,21:00,416881,28,4.667,1,8,7,4,2,3,3,4,0,1
35,6DL,2024-03-12,21:00,570959,35,5.833,0,9,9,1,5,1,5,4,0,0
36,6DL,2024-03-14,21:00,289251,27,4.5,1,9,8,3,3,3,3,5,1,2
37,6DL,2024-03-16,21:00,762234,24,4,2,7,5,4,2,4,2,5,3,1
38,6DL,2024-03-19,21:00,116044,16,2.667,0,6,6,4,2,5,1,4,0,2
39,6DL,2024-03-21,21:00,857582,35,5.833,2,8,6,3,3,1,5,4,0,0
40,6DL,2024-03-23,21:00,898630,34,5.667,0,9,9,4,2,2,4,5,2,1
41,6DL,2024-03-26,21:00,258414,24,4,1,8,7,4,2,4,2,5,0,1
42,6DL,2024-04-02,21:00,216617,23,3.833,1,7,6,3,3,3,3,4,1,2
43,6DL,2024-04-04,21:00,662888,38,6.333,2,8,6,6,0,1,5,3,0,2
44,6DL,2024-04-06,21:00,928295,35,5.833,2,9,7,3,3,2,4,4,0,2
45,6DL,2024-04-09,21:00,068138,26,4.333,0,8,8,4,2,3,3,5,0,1
46,6DL,2024-04-11,21:00,332519,23,3.833,1,9,8,1,5,4,2,5,1,2
47,6DL,2024-04-13,21:00,705464,26,4.333,0,7,7,4,2,3,3,5,1,1
48,6DL,2024-04-16,21:00,259929,36,6,2,9,7,2,4,2,4,3,0,1
49,6DL,2024-04-18,21:00,823189,31,5.167,1,9,8,3,3,3,3,5,2,2
50,6DL,2024-04-20,21:00,877602,30,5,0,8,8,4,2,2,4,5,2,2
51,6DL,2024-04-23,21:00,626624,26,4.333,2,6,4,6,0,3,3,3,0,2
52,6DL,2024-04-25,21:00,212322,12,2,1,3,2,4,2,6,0,3,4,1
53,6DL,2024-04-27,21:00,588190,31,5.167,0,9,9,3,3,2,4,5,0,1
54,6DL,2024-04-30,21:00,724563,27,4.5,2,7,5,3,3,3,3,6,2,1
