signature,draw_count,observed_pct
E-E-O-E-O-E,13,3.2663
E-O-E-E-E-E,13,3.2663
O-E-E-E-O-E,13,3.2663
E-E-E-O-O-E,10,2.5126
E-O-O-E-E-E,10,2.5126
O-E-E-E-E-E,9,2.2613
O-E-O-E-E-E,9,2.2613
O-E-O-E-E-O,9,2.2613
O-E-O-O-E-O,9,2.2613
O-O-E-O-E-O,9,2.2613
E-E-O-O-O-O,8,2.0101
E-O-E-O-E-O,8,2.0101
O-E-O-O-O-O,8,2.0101
O-O-E-E-O-E,8,2.0101
O-O-E-O-E-E,8,2.0101
O-O-E-O-O-O,8,2.0101
O-O-O-O-O-E,8,2.0101
E-E-E-E-O-O,7,1.7588
E-E-E-O-E-E,7,1.7588
E-E-O-O-E-O,7,1.7588
E-O-E-E-O-E,7,1.7588
E-O-E-E-O-O,7,1.7588
E-O-E-O-O-O,7,1.7588
E-O-O-E-O-O,7,1.7588
E-O-O-O-E-O,7,1.7588
E-O-O-O-O-O,7,1.7588
O-E-E-O-O-O,7,1.7588
O-O-O-E-E-E,7,1.7588
E-E-E-E-E-E,6,1.5075
E-E-O-E-O-O,6,1.5075
E-O-E-O-O-E,6,1.5075
E-O-O-E-O-E,6,1.5075
O-E-E-E-O-O,6,1.5075
O-E-E-O-E-O,6,1.5075
O-E-E-O-O-E,6,1.5075
O-O-O-E-E-O,6,1.5075
E-E-E-E-E-O,5,1.2563
E-E-E-O-E-O,5,1.2563
E-E-O-E-E-O,5,1.2563
E-O-E-O-E-E,5,1.2563
O-E-E-O-E-E,5,1.2563
O-E-O-E-O-O,5,1.2563
O-E-O-O-O-E,5,1.2563
O-O-E-E-E-O,5,1.2563
O-O-O-E-O-E,5,1.2563
O-O-O-E-O-O,5,1.2563
O-O-O-O-O-O,5,1.2563
E-E-E-O-O-O,4,1.005
E-E-O-O-O-E,4,1.005
E-O-E-E-E-O,4,1.005
E-O-O-E-E-O,4,1.005
O-E-E-E-E-O,4,1.005
O-E-O-E-O-E,4,1.005
O-O-E-E-E-E,4,1.005
O-O-E-E-O-O,4,1.005
O-O-E-O-O-E,4,1.005
O-O-O-O-E-O,4,1.005
E-E-E-E-O-E,3,0.7538
E-E-O-E-E-E,3,0.7538
E-E-O-O-E-E,3,0.7538
E-O-O-O-E-E,3,0.7538
O-E-O-O-E-E,3,0.7538
O-O-O-O-E-E,3,0.7538
