position,number,numeric_value,count,rate_pct,expected_count
1,0,0,40,10.0503,39.8
1,1,1,38,9.5477,39.8
1,2,2,43,10.804,39.8
1,3,3,39,9.799,39.8
1,4,4,38,9.5477,39.8
1,5,5,38,9.5477,39.8
1,6,6,37,9.2965,39.8
1,7,7,41,10.3015,39.8
1,8,8,39,9.799,39.8
1,9,9,45,11.3065,39.8
2,0,0,53,13.3166,39.8
2,1,1,41,10.3015,39.8
2,2,2,42,10.5528,39.8
2,3,3,36,9.0452,39.8
2,4,4,32,8.0402,39.8
2,5,5,33,8.2915,39.8
2,6,6,41,10.3015,39.8
2,7,7,39,9.799,39.8
2,8,8,36,9.0452,39.8
2,9,9,45,11.3065,39.8
3,0,0,47,11.809,39.8
3,1,1,31,7.7889,39.8
3,2,2,38,9.5477,39.8
3,3,3,38,9.5477,39.8
3,4,4,42,10.5528,39.8
3,5,5,37,9.2965,39.8
3,6,6,39,9.799,39.8
3,7,7,39,9.799,39.8
3,8,8,44,11.0553,39.8
3,9,9,43,10.804,39.8
4,0,0,37,9.2965,39.8
4,1,1,37,9.2965,39.8
4,2,2,43,10.804,39.8
4,3,3,32,8.0402,39.8
4,4,4,52,13.0653,39.8
4,5,5,45,11.3065,39.8
4,6,6,43,10.804,39.8
4,7,7,49,12.3116,39.8
4,8,8,34,8.5427,39.8
4,9,9,26,6.5327,39.8
5,0,0,34,8.5427,39.8
5,1,1,43,10.804,39.8
5,2,2,42,10.5528,39.8
5,3,3,44,11.0553,39.8
5,4,4,37,9.2965,39.8
5,5,5,48,12.0603,39.8
5,6,6,45,11.3065,39.8
5,7,7,28,7.0352,39.8
5,8,8,37,9.2965,39.8
5,9,9,40,10.0503,39.8
6,0,0,36,9.0452,39.8
6,1,1,46,11.5578,39.8
6,2,2,47,11.809,39.8
6,3,3,41,10.3015,39.8
6,4,4,52,13.0653,39.8
6,5,5,31,7.7889,39.8
6,6,6,35,8.794,39.8
6,7,7,44,11.0553,39.8
6,8,8,30,7.5377,39.8
6,9,9,36,9.0452,39.8
