draw_index,game_code,draw_date,draw_time,combination,sum,mean,minimum,maximum,span,even_count,odd_count,low_count,high_count,unique_values,adjacent_consecutive_pairs,shared_values_with_previous_draw
1,GL55,2023-12-23,21:00,07-21-22-25-32-49,156,26,7,49,42,2,4,4,2,6,1,
2,GL55,2023-12-27,21:00,05-12-27-43-51-54,192,32,5,54,49,2,4,3,3,6,0,0
3,GL55,2023-12-30,21:00,01-05-22-25-48-51,152,25.333,1,51,50,2,4,4,2,6,0,2
4,GL55,2024-01-03,21:00,04-24-26-39-42-52,187,31.167,4,52,48,5,1,3,3,6,0,0
5,GL55,2024-01-06,21:00,06-16-23-40-47-54,186,31,6,54,48,4,2,3,3,6,0,0
6,GL55,2024-01-08,21:00,04-08-17-18-24-28,99,16.5,4,28,24,5,1,6,0,6,1,0
7,GL55,2024-01-10,21:00,07-22-32-42-50-53,206,34.333,7,53,46,4,2,2,4,6,0,0
8,GL55,2024-01-13,21:00,03-11-28-37-53-54,186,31,3,54,51,2,4,3,3,6,1,1
9,GL55,2024-01-15,21:00,35-37-42-45-47-55,261,43.5,35,55,20,1,5,0,6,6,0,1
10,GL55,2024-01-17,21:00,03-09-24-50-51-52,189,31.5,3,52,49,3,3,3,3,6,2,0
11,GL55,2024-01-20,21:00,10-21-29-30-44-48,182,30.333,10,48,38,4,2,2,4,6,1,0
12,GL55,2024-01-22,21:00,02-10-13-23-33-51,132,22,2,51,49,2,4,4,2,6,0,1
13,GL55,2024-01-24,21:00,15-29-30-42-46-48,210,35,15,48,33,4,2,1,5,6,1,0
14,GL55,2024-01-27,21:00,02-06-07-13-25-35,88,14.667,2,35,33,2,4,5,1,6,1,0
15,GL55,2024-01-29,21:00,09-17-43-51-52-53,225,37.5,9,53,44,1,5,2,4,6,2,0
16,GL55,2024-01-31,21:00,04-05-27-30-31-37,134,22.333,4,37,33,2,4,3,3,6,2,0
17,GL55,2024-02-03,21:00,07-10-19-20-29-40,125,20.833,7,40,33,3,3,4,2,6,1,0
18,GL55,2024-02-05,21:00,06-20-24-31-43-49,173,28.833,6,49,43,3,3,3,3,6,0,1
19,GL55,2024-02-07,21:00,21-36-37-38-40-42,214,35.667,21,42,21,4,2,1,5,6,2,0
20,GL55,2024-02-10,21:00,01-03-21-24-37-39,125,20.833,1,39,38,1,5,4,2,6,0,2
21,GL55,2024-02-12,21:00,04-12-29-38-39-54,176,29.333,4,54,50,4,2,2,4,6,1,1
22,GL55,2024-02-14,21:00,11-21-36-42-44-50,204,34,11,50,39,4,2,2,4,6,0,0
23,GL55,2024-02-17,21:00,07-14-30-44-46-54,195,32.5,7,54,47,5,1,2,4,6,0,1
24,GL55,2024-02-19,21:00,03-27-31-48-54-55,218,36.333,3,55,52,2,4,2,4,6,1,1
25,GL55,2024-02-21,21:00,02-08-15-45-49-50,169,28.167,2,50,48,3,3,3,3,6,1,0
26,GL55,2024-02-24,21:00,01-02-24-42-44-47,160,26.667,1,47,46,4,2,3,3,6,1,1
27,GL55,2024-02-26,21:00,08-18-22-35-39-48,170,28.333,8,48,40,4,2,3,3,6,0,0
28,GL55,2024-02-28,21:00,10-36-37-49-50-51,233,38.833,10,51,41,3,3,1,5,6,3,0
29,GL55,2024-03-02,21:00,16-25-29-32-33-36,171,28.5,16,36,20,3,3,2,4,6,1,1
30,GL55,2024-03-04,21:00,07-31-32-33-40-49,192,32,7,49,42,2,4,1,5,6,2,2
31,GL55,2024-03-06,21:00,05-20-22-24-25-28,124,20.667,5,28,23,4,2,6,0,6,1,0
32,GL55,2024-03-09,21:00,22-24-43-44-48-55,236,39.333,22,55,33,4,2,2,4,6,1,2
33,GL55,2024-03-11,21:00,11-30-39-40-53-54,227,37.833,11,54,43,3,3,1,5,6,2,0
34,GL55,2024-03-13,21:00,13-27-30-33-35-42,180,30,13,42,29,2,4,2,4,6,0,1
35,GL55,2024-03-16,21:00,01-10-12-18-26-35,102,17,1,35,34,4,2,5,1,6,0,1
36,GL55,2024-03-18,21:00,05-13-41-49-50-54,212,35.333,5,54,49,2,4,2,4,6,1,0
37,GL55,2024-03-20,21:00,20-33-42-46-47-51,239,39.833,20,51,31,3,3,1,5,6,1,0
38,GL55,2024-03-23,21:00,03-26-35-36-37-40,177,29.5,3,40,37,3,3,2,4,6,2,0
39,GL55,2024-03-25,21:00,12-14-31-40-49-54,200,33.333,12,54,42,4,2,2,4,6,0,1
40,GL55,2024-03-27,21:00,02-06-15-19-24-52,118,19.667,2,52,50,4,2,5,1,6,0,0
41,GL55,2024-04-01,21:00,11-17-37-38-43-52,198,33,11,52,41,2,4,2,4,6,1,1
42,GL55,2024-04-03,21:00,11-14-18-23-30-45,141,23.5,11,45,34,3,3,4,2,6,0,1
43,GL55,2024-04-06,21:00,21-29-30-37-42-53,212,35.333,21,53,32,2,4,1,5,6,1,1
44,GL55,2024-04-08,21:00,04-13-15-32-35-45,144,24,4,45,41,2,4,3,3,6,0,0
45,GL55,2024-04-10,21:00,07-09-23-24-37-52,152,25.333,7,52,45,2,4,4,2,6,1,0
46,GL55,2024-04-13,21:00,07-14-17-26-30-39,133,22.167,7,39,32,3,3,4,2,6,0,1
47,GL55,2024-04-15,21:00,04-16-23-29-34-54,160,26.667,4,54,50,4,2,3,3,6,0,0
48,GL55,2024-04-17,21:00,02-11-16-23-32-37,121,20.167,2,37,35,3,3,4,2,6,0,2
49,GL55,2024-04-20,21:00,01-06-27-35-40-46,155,25.833,1,46,45,3,3,3,3,6,0,0
50,GL55,2024-04-22,21:00,04-09-40-41-47-51,192,32,4,51,47,2,4,2,4,6,1,1
51,GL55,2024-04-24,21:00,30-37-41-43-50-55,256,42.667,30,55,25,2,4,0,6,6,0,1
52,GL55,2024-04-27,21:00,08-09-31-45-47-54,194,32.333,8,54,46,2,4,2,4,6,1,0
53,GL55,2024-04-29,21:00,02-19-29-30-32-47,159,26.5,2,47,45,3,3,2,4,6,1,1
54,GL55,2024-05-01,21:00,01-16-41-42-45-50,195,32.5,1,50,49,3,3,2,4,6,1,0
55,GL55,2024-05-04,21:00,04-24-40-41-43-48,200,33.333,4,48,44,4,2,2,4,6,1,1
56,GL55,2024-05-06,21:00,24-28-29-36-42-52,211,35.167,24,52,28,5,1,2,4,6,1,1
57,GL55,2024-05-08,21:00,01-07-20-27-28-39,122,20.333,1,39,38,2,4,5,1,6,1,1
58,GL55,2024-05-11,21:00,05-11-13-33-35-39,136,22.667,5,39,34,0,6,3,3,6,0,1
59,GL55,2024-05-13,21:00,04-11-21-29-31-53,149,24.833,4,53,49,1,5,3,3,6,0,1
60,GL55,2024-05-15,21:00,03-17-26-41-49-53,189,31.5,3,53,50,1,5,3,3,6,0,1
61,GL55,2024-05-18,21:00,06-08-16-25-34-44,133,22.167,6,44,38,5,1,4,2,6,0,0
62,GL55,2024-05-20,21:00,01-06-17-34-45-50,153,25.5,1,50,49,3,3,3,3,6,0,2
63,GL55,2024-05-22,21:00,14-20-24-27-29-41,155,25.833,14,41,27,3,3,4,2,6,0,0
64,GL55,2024-05-25,21:00,03-21-26-43-49-50,192,32,3,50,47,2,4,3,3,6,1,0
65,GL55,2024-05-27,21:00,13-24-31-38-51-53,210,35,13,53,40,2,4,2,4,6,0,0
66,GL55,2024-05-29,21:00,19-20-24-25-27-39,154,25.667,19,39,20,2,4,5,1,6,2,1
67,GL55,2024-06-01,21:00,02-13-29-36-46-50,176,29.333,2,50,48,4,2,2,4,6,0,0
68,GL55,2024-06-03,21:00,05-06-22-35-41-54,163,27.167,5,54,49,3,3,3,3,6,1,0
69,GL55,2024-06-05,21:00,08-11-29-35-45-49,177,29.5,8,49,41,1,5,2,4,6,0,1
70,GL55,2024-06-08,21:00,11-15-16-21-24-34,121,20.167,11,34,23,3,3,5,1,6,1,1
71,GL55,2024-06-10,21:00,04-06-28-32-35-48,153,25.5,4,48,44,5,1,3,3,6,0,0
72,GL55,2024-06-12,21:00,10-21-23-25-36-42,157,26.167,10,42,32,3,3,4,2,6,0,0
73,GL55,2024-06-15,21:00,07-12-16-24-31-42,132,22,7,42,35,4,2,4,2,6,0,1
74,GL55,2024-06-17,21:00,04-29-36-37-41-49,196,32.667,4,49,45,2,4,1,5,6,1,0
75,GL55,2024-06-19,21:00,06-10-17-44-45-47,169,28.167,6,47,41,3,3,3,3,6,1,0
76,GL55,2024-06-22,21:00,03-08-09-38-41-46,145,24.167,3,46,43,3,3,3,3,6,1,0
77,GL55,2024-06-24,21:00,03-04-08-29-30-49,123,20.5,3,49,46,3,3,3,3,6,2,2
