number,numeric_value,appearance_count,appearance_share_pct,draw_hit_count,draw_hit_rate_pct,expected_count,difference_from_expected,z_score,draws_since_last,mean_gap_draws,median_gap_draws,maximum_gap_draws,last_seen,frequency_rank
01,1,43,1.8007,43,10.804,43.418,-0.418,-0.067,16,8.024,5.5,31,2026-06-29,25
02,2,49,2.0519,49,12.3116,43.418,5.582,0.897,1,7.021,5.0,24,2026-08-03,10
03,3,45,1.8844,45,11.3065,43.418,1.582,0.254,7,7.705,6.0,34,2026-07-20,17
04,4,44,1.8425,44,11.0553,43.418,0.582,0.094,3,8.093,4,51,2026-07-29,22
05,5,44,1.8425,44,11.0553,43.418,0.582,0.094,1,8.186,4,33,2026-08-03,23
06,6,42,1.7588,42,10.5528,43.418,-1.418,-0.228,4,8.488,7,24,2026-07-27,30
07,7,38,1.5913,38,9.5477,43.418,-5.418,-0.871,25,9.054,10,28,2026-06-08,42
08,8,38,1.5913,38,9.5477,43.418,-5.418,-0.871,22,9,7,33,2026-06-15,43
09,9,48,2.0101,48,12.0603,43.418,4.582,0.737,3,7.191,5,35,2026-07-29,12
10,10,42,1.7588,42,10.5528,43.418,-1.418,-0.228,6,8.293,6,46,2026-07-22,31
11,11,39,1.6332,39,9.799,43.418,-4.418,-0.71,22,8.684,5.5,35,2026-06-15,37
12,12,33,1.3819,33,8.2915,43.418,-10.418,-1.675,5,11.219,5.0,50,2026-07-25,52
13,13,48,2.0101,48,12.0603,43.418,4.582,0.737,9,7.021,4,36,2026-07-15,13
14,14,33,1.3819,33,8.2915,43.418,-10.418,-1.675,3,10.625,8.0,47,2026-07-29,53
15,15,30,1.2563,30,7.5377,43.418,-13.418,-2.157,6,12.069,7,77,2026-07-22,54
16,16,35,1.4657,35,8.794,43.418,-8.418,-1.354,23,9.882,6.0,36,2026-06-13,49
17,17,46,1.9263,46,11.5578,43.418,2.582,0.415,1,7.689,4,29,2026-08-03,15
18,18,27,1.1307,27,6.7839,43.418,-16.418,-2.64,13,13.577,10.0,59,2026-07-06,55
19,19,39,1.6332,39,9.799,43.418,-4.418,-0.71,24,8.395,5.0,42,2026-06-10,38
20,20,53,2.2194,53,13.3166,43.418,9.582,1.541,0,6.327,5.0,24,2026-08-05,3
21,21,50,2.0938,50,12.5628,43.418,6.582,1.058,8,6.939,6,20,2026-07-18,8
22,22,39,1.6332,39,9.799,43.418,-4.418,-0.71,18,8.974,6.0,49,2026-06-24,39
23,23,42,1.7588,42,10.5528,43.418,-1.418,-0.228,3,8.512,6,36,2026-07-29,32
24,24,53,2.2194,53,13.3166,43.418,9.582,1.541,6,6.462,5.0,33,2026-07-22,4
25,25,38,1.5913,38,9.5477,43.418,-5.418,-0.871,8,9.514,8,29,2026-07-18,44
26,26,38,1.5913,38,9.5477,43.418,-5.418,-0.871,0,9.649,6,34,2026-08-05,45
27,27,39,1.6332,39,9.799,43.418,-4.418,-0.71,17,8.974,6.5,36,2026-06-27,40
28,28,42,1.7588,42,10.5528,43.418,-1.418,-0.228,2,8.512,3,47,2026-08-01,33
29,29,43,1.8007,43,10.804,43.418,-0.418,-0.067,7,8.048,4.0,63,2026-07-20,26
30,30,45,1.8844,45,11.3065,43.418,1.582,0.254,26,7.205,4.0,32,2026-06-06,18
31,31,43,1.8007,43,10.804,43.418,-0.418,-0.067,11,7.833,6.0,36,2026-07-11,27
32,32,42,1.7588,42,10.5528,43.418,-1.418,-0.228,12,8.39,6,33,2026-07-08,34
33,33,45,1.8844,45,11.3065,43.418,1.582,0.254,3,7.705,5.0,31,2026-07-29,19
34,34,35,1.4657,35,8.794,43.418,-8.418,-1.354,1,9.294,5.5,40,2026-08-03,50
35,35,45,1.8844,45,11.3065,43.418,1.582,0.254,19,7.409,5.0,27,2026-06-22,20
36,36,38,1.5913,38,9.5477,43.418,-5.418,-0.871,6,9.081,5,39,2026-07-22,46
37,37,43,1.8007,43,10.804,43.418,-0.418,-0.067,10,8.048,7.0,29,2026-07-13,28
38,38,39,1.6332,39,9.799,43.418,-4.418,-0.71,2,8.921,5.5,39,2026-08-01,41
39,39,41,1.7169,41,10.3015,43.418,-2.418,-0.389,0,8.85,6.0,53,2026-08-05,36
40,40,46,1.9263,46,11.5578,43.418,2.582,0.415,0,7.733,6,33,2026-08-05,16
41,41,52,2.1776,52,13.0653,43.418,8.582,1.38,0,6.098,4,26,2026-08-05,5
42,42,72,3.0151,72,18.0905,43.418,28.582,4.596,0,4.549,3,27,2026-08-05,1
43,43,52,2.1776,52,13.0653,43.418,8.582,1.38,22,6.333,4,34,2026-06-15,6
44,44,52,2.1776,52,13.0653,43.418,8.582,1.38,1,6.569,5,28,2026-08-03,7
45,45,67,2.8057,67,16.8342,43.418,23.582,3.792,14,4.682,3.0,19,2026-07-04,2
46,46,38,1.5913,38,9.5477,43.418,-5.418,-0.871,3,9.324,7,50,2026-07-29,47
47,47,35,1.4657,35,8.794,43.418,-8.418,-1.354,11,10.235,9.0,52,2026-07-11,51
48,48,49,2.0519,49,12.3116,43.418,5.582,0.897,2,7.188,4.5,29,2026-08-01,11
