pair_or_transition,first,second,count,draw_support_pct
21-37,21,37,12,3.0151
42-44,42,44,12,3.0151
42-45,42,45,12,3.0151
42-55,42,55,12,3.0151
02-42,02,42,11,2.7638
33-42,33,42,11,2.7638
41-45,41,45,11,2.7638
45-50,45,50,11,2.7638
01-50,01,50,10,2.5126
03-45,03,45,10,2.5126
05-22,05,22,10,2.5126
05-45,05,45,10,2.5126
09-41,09,41,10,2.5126
17-45,17,45,10,2.5126
24-42,24,42,10,2.5126
29-30,29,30,10,2.5126
48-55,48,55,10,2.5126
03-49,03,49,9,2.2613
04-24,04,24,9,2.2613
05-27,05,27,9,2.2613
06-42,06,42,9,2.2613
11-53,11,53,9,2.2613
13-33,13,33,9,2.2613
20-24,20,24,9,2.2613
21-42,21,42,9,2.2613
22-24,22,24,9,2.2613
23-33,23,33,9,2.2613
23-45,23,45,9,2.2613
24-31,24,31,9,2.2613
32-37,32,37,9,2.2613
35-42,35,42,9,2.2613
35-45,35,45,9,2.2613
36-42,36,42,9,2.2613
41-42,41,42,9,2.2613
41-43,41,43,9,2.2613
41-49,41,49,9,2.2613
42-48,42,48,9,2.2613
42-49,42,49,9,2.2613
42-50,42,50,9,2.2613
43-44,43,44,9,2.2613
43-48,43,48,9,2.2613
45-49,45,49,9,2.2613
01-20,01,20,8,2.0101
02-19,02,19,8,2.0101
02-44,02,44,8,2.0101
02-49,02,49,8,2.0101
03-42,03,42,8,2.0101
05-20,05,20,8,2.0101
05-35,05,35,8,2.0101
06-45,06,45,8,2.0101
06-53,06,53,8,2.0101
07-32,07,32,8,2.0101
08-45,08,45,8,2.0101
09-45,09,45,8,2.0101
10-41,10,41,8,2.0101
11-45,11,45,8,2.0101
12-50,12,50,8,2.0101
13-31,13,31,8,2.0101
14-30,14,30,8,2.0101
15-45,15,45,8,2.0101
17-52,17,52,8,2.0101
20-31,20,31,8,2.0101
20-33,20,33,8,2.0101
20-41,20,41,8,2.0101
21-51,21,51,8,2.0101
24-39,24,39,8,2.0101
24-43,24,43,8,2.0101
24-52,24,52,8,2.0101
28-45,28,45,8,2.0101
29-36,29,36,8,2.0101
30-42,30,42,8,2.0101
31-54,31,54,8,2.0101
32-42,32,42,8,2.0101
32-45,32,45,8,2.0101
33-43,33,43,8,2.0101
33-45,33,45,8,2.0101
35-41,35,41,8,2.0101
35-49,35,49,8,2.0101
37-42,37,42,8,2.0101
38-45,38,45,8,2.0101
41-48,41,48,8,2.0101
42-46,42,46,8,2.0101
44-45,44,45,8,2.0101
44-47,44,47,8,2.0101
44-50,44,50,8,2.0101
49-54,49,54,8,2.0101
01-17,01,17,7,1.7588
01-31,01,31,7,1.7588
01-53,01,53,7,1.7588
02-45,02,45,7,1.7588
03-09,03,09,7,1.7588
03-21,03,21,7,1.7588
03-23,03,23,7,1.7588
