draw_index,draw_date,draw_time,position,number
1,2023-12-23,21:00,1,25
1,2023-12-23,21:00,2,21
1,2023-12-23,21:00,3,7
1,2023-12-23,21:00,4,49
1,2023-12-23,21:00,5,32
1,2023-12-23,21:00,6,22
2,2023-12-27,21:00,1,27
2,2023-12-27,21:00,2,5
2,2023-12-27,21:00,3,51
2,2023-12-27,21:00,4,43
2,2023-12-27,21:00,5,54
2,2023-12-27,21:00,6,12
3,2023-12-30,21:00,1,22
3,2023-12-30,21:00,2,5
3,2023-12-30,21:00,3,51
3,2023-12-30,21:00,4,48
3,2023-12-30,21:00,5,1
3,2023-12-30,21:00,6,25
4,2024-01-03,21:00,1,52
4,2024-01-03,21:00,2,4
4,2024-01-03,21:00,3,24
4,2024-01-03,21:00,4,42
4,2024-01-03,21:00,5,26
4,2024-01-03,21:00,6,39
5,2024-01-06,21:00,1,16
5,2024-01-06,21:00,2,47
5,2024-01-06,21:00,3,23
5,2024-01-06,21:00,4,40
5,2024-01-06,21:00,5,54
5,2024-01-06,21:00,6,6
6,2024-01-08,21:00,1,8
6,2024-01-08,21:00,2,18
6,2024-01-08,21:00,3,24
6,2024-01-08,21:00,4,17
6,2024-01-08,21:00,5,28
6,2024-01-08,21:00,6,4
7,2024-01-10,21:00,1,50
7,2024-01-10,21:00,2,53
7,2024-01-10,21:00,3,22
7,2024-01-10,21:00,4,32
7,2024-01-10,21:00,5,7
7,2024-01-10,21:00,6,42
8,2024-01-13,21:00,1,11
8,2024-01-13,21:00,2,28
8,2024-01-13,21:00,3,53
8,2024-01-13,21:00,4,54
8,2024-01-13,21:00,5,3
8,2024-01-13,21:00,6,37
9,2024-01-15,21:00,1,45
9,2024-01-15,21:00,2,35
9,2024-01-15,21:00,3,55
9,2024-01-15,21:00,4,47
9,2024-01-15,21:00,5,37
9,2024-01-15,21:00,6,42
10,2024-01-17,21:00,1,24
10,2024-01-17,21:00,2,50
10,2024-01-17,21:00,3,52
10,2024-01-17,21:00,4,9
10,2024-01-17,21:00,5,51
10,2024-01-17,21:00,6,3
11,2024-01-20,21:00,1,21
11,2024-01-20,21:00,2,48
11,2024-01-20,21:00,3,10
11,2024-01-20,21:00,4,29
11,2024-01-20,21:00,5,44
11,2024-01-20,21:00,6,30
12,2024-01-22,21:00,1,2
12,2024-01-22,21:00,2,33
12,2024-01-22,21:00,3,10
12,2024-01-22,21:00,4,51
12,2024-01-22,21:00,5,13
12,2024-01-22,21:00,6,23
13,2024-01-24,21:00,1,48
13,2024-01-24,21:00,2,46
13,2024-01-24,21:00,3,30
13,2024-01-24,21:00,4,29
13,2024-01-24,21:00,5,15
13,2024-01-24,21:00,6,42
14,2024-01-27,21:00,1,2
14,2024-01-27,21:00,2,25
14,2024-01-27,21:00,3,6
14,2024-01-27,21:00,4,35
14,2024-01-27,21:00,5,13
14,2024-01-27,21:00,6,7
15,2024-01-29,21:00,1,9
15,2024-01-29,21:00,2,53
15,2024-01-29,21:00,3,17
15,2024-01-29,21:00,4,51
15,2024-01-29,21:00,5,43
15,2024-01-29,21:00,6,52
16,2024-01-31,21:00,1,30
16,2024-01-31,21:00,2,37
16,2024-01-31,21:00,3,27
16,2024-01-31,21:00,4,4
16,2024-01-31,21:00,5,31
16,2024-01-31,21:00,6,5
17,2024-02-03,21:00,1,10
17,2024-02-03,21:00,2,7
17,2024-02-03,21:00,3,19
17,2024-02-03,21:00,4,40
17,2024-02-03,21:00,5,20
17,2024-02-03,21:00,6,29
18,2024-02-05,21:00,1,20
18,2024-02-05,21:00,2,43
18,2024-02-05,21:00,3,49
18,2024-02-05,21:00,4,31
18,2024-02-05,21:00,5,6
18,2024-02-05,21:00,6,24
19,2024-02-07,21:00,1,40
19,2024-02-07,21:00,2,38
19,2024-02-07,21:00,3,36
19,2024-02-07,21:00,4,21
19,2024-02-07,21:00,5,37
19,2024-02-07,21:00,6,42
20,2024-02-10,21:00,1,24
20,2024-02-10,21:00,2,39
20,2024-02-10,21:00,3,1
20,2024-02-10,21:00,4,21
20,2024-02-10,21:00,5,37
20,2024-02-10,21:00,6,3
21,2024-02-12,21:00,1,29
21,2024-02-12,21:00,2,4
21,2024-02-12,21:00,3,54
21,2024-02-12,21:00,4,38
21,2024-02-12,21:00,5,12
21,2024-02-12,21:00,6,39
22,2024-02-14,21:00,1,44
22,2024-02-14,21:00,2,36
22,2024-02-14,21:00,3,50
22,2024-02-14,21:00,4,42
22,2024-02-14,21:00,5,21
22,2024-02-14,21:00,6,11
23,2024-02-17,21:00,1,7
23,2024-02-17,21:00,2,46
23,2024-02-17,21:00,3,14
23,2024-02-17,21:00,4,54
23,2024-02-17,21:00,5,30
23,2024-02-17,21:00,6,44
24,2024-02-19,21:00,1,27
24,2024-02-19,21:00,2,55
24,2024-02-19,21:00,3,48
24,2024-02-19,21:00,4,54
24,2024-02-19,21:00,5,31
24,2024-02-19,21:00,6,3
25,2024-02-21,21:00,1,15
25,2024-02-21,21:00,2,8
25,2024-02-21,21:00,3,2
25,2024-02-21,21:00,4,49
25,2024-02-21,21:00,5,50
25,2024-02-21,21:00,6,45
26,2024-02-24,21:00,1,42
26,2024-02-24,21:00,2,44
26,2024-02-24,21:00,3,1
26,2024-02-24,21:00,4,24
26,2024-02-24,21:00,5,47
26,2024-02-24,21:00,6,2
27,2024-02-26,21:00,1,22
27,2024-02-26,21:00,2,18
27,2024-02-26,21:00,3,35
27,2024-02-26,21:00,4,39
