rank,strategy,combination,numbers,even_count,odd_count,low_count,high_count,sum,unique_values,historical_fit_score,seen_before_count,rambolito_key,straight_permutations,theoretical_odds_1_in,note
1,Uniform baseline,08-10-11-13-30-40,"['08', '10', '11', '13', '30', '40']",4,2,4,2,112,6,67.3,0,,,5245786,"Historical fit is descriptive, not a win probability."
2,Uniform baseline,03-10-12-17-18-29,"['03', '10', '12', '17', '18', '29']",3,3,5,1,89,6,59.92,0,,,5245786,"Historical fit is descriptive, not a win probability."
3,Uniform baseline,06-13-20-24-30-42,"['06', '13', '20', '24', '30', '42']",5,1,3,3,135,6,67.28,0,,,5245786,"Historical fit is descriptive, not a win probability."
4,Uniform baseline,09-11-20-24-31-42,"['09', '11', '20', '24', '31', '42']",3,3,3,3,137,6,82.47,0,,,5245786,"Historical fit is descriptive, not a win probability."
5,Smoothed frequency,03-12-14-25-36-37,"['03', '12', '14', '25', '36', '37']",3,3,3,3,127,6,83.67,0,,,5245786,"Historical fit is descriptive, not a win probability."
6,Smoothed frequency,07-09-12-28-35-40,"['07', '09', '12', '28', '35', '40']",3,3,3,3,131,6,83.44,0,,,5245786,"Historical fit is descriptive, not a win probability."
7,Smoothed frequency,03-09-20-27-28-40,"['03', '09', '20', '27', '28', '40']",3,3,3,3,127,6,82.96,0,,,5245786,"Historical fit is descriptive, not a win probability."
8,Historical profile,05-10-12-28-37-41,"['05', '10', '12', '28', '37', '41']",3,3,3,3,133,6,83.87,0,,,5245786,"Historical fit is descriptive, not a win probability."
9,Historical profile,10-12-14-31-33-41,"['10', '12', '14', '31', '33', '41']",3,3,3,3,141,6,83.66,0,,,5245786,"Historical fit is descriptive, not a win probability."
10,Historical profile,05-06-08-35-40-41,"['05', '06', '08', '35', '40', '41']",3,3,3,3,135,6,83.49,0,,,5245786,"Historical fit is descriptive, not a win probability."
