number,numeric_value,appearance_count,appearance_share_pct,draw_hit_count,draw_hit_rate_pct,expected_count,difference_from_expected,z_score,draws_since_last,mean_gap_draws,median_gap_draws,maximum_gap_draws,last_seen,frequency_rank
01,1,47,1.9731,47,11.8388,56.714,-9.714,-1.393,0,7.587,6.0,42,2026-08-04,39
02,2,46,1.9312,46,11.5869,56.714,-10.714,-1.537,1,7.333,5,23,2026-08-01,40
03,3,73,3.0647,73,18.3879,56.714,16.286,2.336,3,4.319,3.0,19,2026-07-28,3
04,4,53,2.225,53,13.3501,56.714,-3.714,-0.533,37,5.865,5.0,21,2026-05-09,27
05,5,54,2.267,54,13.602,56.714,-2.714,-0.389,12,6.189,4,22,2026-07-07,25
06,6,59,2.4769,59,14.8615,56.714,2.286,0.328,8,5.69,3.0,28,2026-07-16,14
07,7,51,2.1411,51,12.8463,56.714,-5.714,-0.82,3,6.84,5.0,28,2026-07-28,33
08,8,50,2.0991,50,12.5945,56.714,-6.714,-0.963,13,6.796,5,24,2026-07-04,36
09,9,57,2.3929,57,14.3577,56.714,0.286,0.041,14,5.804,3.0,31,2026-07-02,18
10,10,61,2.5609,61,15.3652,56.714,4.286,0.615,1,5.517,3.5,46,2026-08-01,10
11,11,60,2.5189,60,15.1134,56.714,3.286,0.471,18,5.407,4,34,2026-06-23,12
12,12,75,3.1486,75,18.8917,56.714,18.286,2.623,4,4.257,3.0,32,2026-07-25,2
13,13,53,2.225,53,13.3501,56.714,-3.714,-0.533,6,6.25,4.5,22,2026-07-21,28
14,14,52,2.183,52,13.0982,56.714,-4.714,-0.676,26,6.176,4,25,2026-06-04,30
15,15,45,1.8892,45,11.335,56.714,-11.714,-1.68,0,7.795,6.0,25,2026-08-04,41
16,16,57,2.3929,57,14.3577,56.714,0.286,0.041,6,5.875,4.0,29,2026-07-21,19
17,17,57,2.3929,57,14.3577,56.714,0.286,0.041,2,6.018,4.0,30,2026-07-30,20
18,18,64,2.6868,64,16.1209,56.714,7.286,1.045,1,5.238,3,21,2026-08-01,6
19,19,49,2.0571,49,12.3426,56.714,-7.714,-1.106,0,7.104,4.0,40,2026-08-04,37
20,20,56,2.351,56,14.1058,56.714,-0.714,-0.102,12,5.836,4,29,2026-07-07,21
21,21,62,2.6029,62,15.6171,56.714,5.286,0.758,5,5.311,3,21,2026-07-23,9
22,22,60,2.5189,60,15.1134,56.714,3.286,0.471,5,5.559,2,32,2026-07-23,13
23,23,63,2.6448,63,15.869,56.714,6.286,0.902,2,5.242,4.0,22,2026-07-30,7
24,24,61,2.5609,61,15.3652,56.714,4.286,0.615,3,5.35,3.0,28,2026-07-28,11
25,25,52,2.183,52,13.0982,56.714,-4.714,-0.676,3,6.412,4,55,2026-07-28,31
26,26,48,2.0151,48,12.0907,56.714,-8.714,-1.25,0,7.255,5,29,2026-08-04,38
27,27,56,2.351,56,14.1058,56.714,-0.714,-0.102,4,5.782,3,29,2026-07-25,22
28,28,51,2.1411,51,12.8463,56.714,-5.714,-0.82,1,6.86,4.5,32,2026-08-01,34
29,29,55,2.309,55,13.8539,56.714,-1.714,-0.246,11,6.056,5.0,18,2026-07-09,23
30,30,54,2.267,54,13.602,56.714,-2.714,-0.389,8,6.208,3,34,2026-07-16,26
31,31,58,2.4349,58,14.6096,56.714,1.286,0.184,14,5.456,4,31,2026-07-02,16
32,32,43,1.8052,43,10.8312,56.714,-13.714,-1.967,5,8.31,7.0,30,2026-07-23,42
33,33,66,2.7708,66,16.6247,56.714,9.286,1.332,5,5.015,4,28,2026-07-23,4
34,34,52,2.183,52,13.0982,56.714,-4.714,-0.676,0,6.725,5,25,2026-08-04,32
35,35,66,2.7708,66,16.6247,56.714,9.286,1.332,4,4.985,3,24,2026-07-25,5
36,36,63,2.6448,63,15.869,56.714,6.286,0.902,16,5.016,3.0,23,2026-06-27,8
37,37,51,2.1411,51,12.8463,56.714,-5.714,-0.82,21,6.5,5.0,29,2026-06-16,35
38,38,53,2.225,53,13.3501,56.714,-3.714,-0.533,2,6.577,4.5,31,2026-07-30,29
39,39,55,2.309,55,13.8539,56.714,-1.714,-0.246,1,6.185,3.0,43,2026-08-01,24
40,40,59,2.4769,59,14.8615,56.714,2.286,0.328,10,5.414,3.0,27,2026-07-11,15
41,41,77,3.2326,77,19.3955,56.714,20.286,2.909,3,4.026,2.5,18,2026-07-28,1
42,42,58,2.4349,58,14.6096,56.714,1.286,0.184,0,5.86,4,25,2026-08-04,17
