pair_or_transition,first,second,count,draw_support_pct
03-41,03,41,18,4.534
21-33,21,33,17,4.2821
03-33,03,33,16,4.0302
21-22,21,22,16,4.0302
03-35,03,35,15,3.7783
18-35,18,35,15,3.7783
03-36,03,36,14,3.5264
04-22,04,22,14,3.5264
08-41,08,41,14,3.5264
12-16,12,16,14,3.5264
17-36,17,36,14,3.5264
17-41,17,41,14,3.5264
37-41,37,41,14,3.5264
03-23,03,23,13,3.2746
06-41,06,41,13,3.2746
10-24,10,24,13,3.2746
12-35,12,35,13,3.2746
12-37,12,37,13,3.2746
18-27,18,27,13,3.2746
22-33,22,33,13,3.2746
23-41,23,41,13,3.2746
35-40,35,40,13,3.2746
35-41,35,41,13,3.2746
36-40,36,40,13,3.2746
40-41,40,41,13,3.2746
41-42,41,42,13,3.2746
01-09,01,09,12,3.0227
03-11,03,11,12,3.0227
03-21,03,21,12,3.0227
03-22,03,22,12,3.0227
03-29,03,29,12,3.0227
05-12,05,12,12,3.0227
05-23,05,23,12,3.0227
05-25,05,25,12,3.0227
06-25,06,25,12,3.0227
06-37,06,37,12,3.0227
07-09,07,09,12,3.0227
10-12,10,12,12,3.0227
10-22,10,22,12,3.0227
10-33,10,33,12,3.0227
10-39,10,39,12,3.0227
11-29,11,29,12,3.0227
12-15,12,15,12,3.0227
12-18,12,18,12,3.0227
12-23,12,23,12,3.0227
12-24,12,24,12,3.0227
14-31,14,31,12,3.0227
14-40,14,40,12,3.0227
16-35,16,35,12,3.0227
19-20,19,20,12,3.0227
20-23,20,23,12,3.0227
20-27,20,27,12,3.0227
20-41,20,41,12,3.0227
26-39,26,39,12,3.0227
29-31,29,31,12,3.0227
35-36,35,36,12,3.0227
35-39,35,39,12,3.0227
38-41,38,41,12,3.0227
03-06,03,06,11,2.7708
03-17,03,17,11,2.7708
03-19,03,19,11,2.7708
04-33,04,33,11,2.7708
05-24,05,24,11,2.7708
06-18,06,18,11,2.7708
06-31,06,31,11,2.7708
07-11,07,11,11,2.7708
07-36,07,36,11,2.7708
07-41,07,41,11,2.7708
08-12,08,12,11,2.7708
09-11,09,11,11,2.7708
09-12,09,12,11,2.7708
09-18,09,18,11,2.7708
09-20,09,20,11,2.7708
09-24,09,24,11,2.7708
10-14,10,14,11,2.7708
11-27,11,27,11,2.7708
12-32,12,32,11,2.7708
12-41,12,41,11,2.7708
13-36,13,36,11,2.7708
14-33,14,33,11,2.7708
16-40,16,40,11,2.7708
17-22,17,22,11,2.7708
17-35,17,35,11,2.7708
18-33,18,33,11,2.7708
21-30,21,30,11,2.7708
22-31,22,31,11,2.7708
22-36,22,36,11,2.7708
24-39,24,39,11,2.7708
24-41,24,41,11,2.7708
25-41,25,41,11,2.7708
28-31,28,31,11,2.7708
31-33,31,33,11,2.7708
31-36,31,36,11,2.7708
32-33,32,33,11,2.7708
33-41,33,41,11,2.7708
39-40,39,40,11,2.7708
40-42,40,42,11,2.7708
01-42,01,42,10,2.5189
02-05,02,05,10,2.5189
02-21,02,21,10,2.5189
03-04,03,04,10,2.5189
03-12,03,12,10,2.5189
03-18,03,18,10,2.5189
03-30,03,30,10,2.5189
03-31,03,31,10,2.5189
03-34,03,34,10,2.5189
04-10,04,10,10,2.5189
04-28,04,28,10,2.5189
05-37,05,37,10,2.5189
05-41,05,41,10,2.5189
06-28,06,28,10,2.5189
08-23,08,23,10,2.5189
09-10,09,10,10,2.5189
09-27,09,27,10,2.5189
10-29,10,29,10,2.5189
11-12,11,12,10,2.5189
11-13,11,13,10,2.5189
11-23,11,23,10,2.5189
12-14,12,14,10,2.5189
12-25,12,25,10,2.5189
12-27,12,27,10,2.5189
12-29,12,29,10,2.5189
12-30,12,30,10,2.5189
12-33,12,33,10,2.5189
12-38,12,38,10,2.5189
13-16,13,16,10,2.5189
13-17,13,17,10,2.5189
13-19,13,19,10,2.5189
13-42,13,42,10,2.5189
14-21,14,21,10,2.5189
14-22,14,22,10,2.5189
14-36,14,36,10,2.5189
15-39,15,39,10,2.5189
16-38,16,38,10,2.5189
17-23,17,23,10,2.5189
18-40,18,40,10,2.5189
18-41,18,41,10,2.5189
19-27,19,27,10,2.5189
19-31,19,31,10,2.5189
20-28,20,28,10,2.5189
21-24,21,24,10,2.5189
21-35,21,35,10,2.5189
21-41,21,41,10,2.5189
22-24,22,24,10,2.5189
24-35,24,35,10,2.5189
24-40,24,40,10,2.5189
27-39,27,39,10,2.5189
27-42,27,42,10,2.5189
28-36,28,36,10,2.5189
28-41,28,41,10,2.5189
30-41,30,41,10,2.5189
31-35,31,35,10,2.5189
31-40,31,40,10,2.5189
33-36,33,36,10,2.5189
33-40,33,40,10,2.5189
33-42,33,42,10,2.5189
36-41,36,41,10,2.5189
38-39,38,39,10,2.5189
01-04,01,04,9,2.267
02-06,02,06,9,2.267
02-25,02,25,9,2.267
03-05,03,05,9,2.267
03-10,03,10,9,2.267
03-20,03,20,9,2.267
03-28,03,28,9,2.267
04-09,04,09,9,2.267
04-19,04,19,9,2.267
04-31,04,31,9,2.267
04-35,04,35,9,2.267
05-06,05,06,9,2.267
05-08,05,08,9,2.267
05-11,05,11,9,2.267
05-18,05,18,9,2.267
06-23,06,23,9,2.267
06-24,06,24,9,2.267
07-12,07,12,9,2.267
07-23,07,23,9,2.267
07-27,07,27,9,2.267
08-21,08,21,9,2.267
08-27,08,27,9,2.267
08-28,08,28,9,2.267
10-18,10,18,9,2.267
10-20,10,20,9,2.267
10-30,10,30,9,2.267
11-18,11,18,9,2.267
11-30,11,30,9,2.267
12-36,12,36,9,2.267
13-14,13,14,9,2.267
13-41,13,41,9,2.267
16-20,16,20,9,2.267
16-22,16,22,9,2.267
16-29,16,29,9,2.267
16-30,16,30,9,2.267
16-31,16,31,9,2.267
17-19,17,19,9,2.267
17-34,17,34,9,2.267
18-23,18,23,9,2.267
18-24,18,24,9,2.267
18-25,18,25,9,2.267
18-29,18,29,9,2.267
18-30,18,30,9,2.267
18-38,18,38,9,2.267
21-26,21,26,9,2.267
21-27,21,27,9,2.267
21-36,21,36,9,2.267
22-28,22,28,9,2.267
23-24,23,24,9,2.267
23-25,23,25,9,2.267
23-31,23,31,9,2.267
23-34,23,34,9,2.267
23-35,23,35,9,2.267
23-40,23,40,9,2.267
24-33,24,33,9,2.267
26-40,26,40,9,2.267
27-38,27,38,9,2.267
27-40,27,40,9,2.267
28-42,28,42,9,2.267
29-38,29,38,9,2.267
31-37,31,37,9,2.267
33-37,33,37,9,2.267
34-35,34,35,9,2.267
34-41,34,41,9,2.267
34-42,34,42,9,2.267
36-39,36,39,9,2.267
38-42,38,42,9,2.267
01-11,01,11,8,2.0151
01-17,01,17,8,2.0151
01-22,01,22,8,2.0151
01-33,01,33,8,2.0151
01-36,01,36,8,2.0151
01-40,01,40,8,2.0151
02-03,02,03,8,2.0151
02-10,02,10,8,2.0151
02-14,02,14,8,2.0151
02-23,02,23,8,2.0151
02-30,02,30,8,2.0151
03-16,03,16,8,2.0151
04-06,04,06,8,2.0151
04-11,04,11,8,2.0151
04-17,04,17,8,2.0151
04-18,04,18,8,2.0151
04-21,04,21,8,2.0151
04-30,04,30,8,2.0151
05-20,05,20,8,2.0151
05-33,05,33,8,2.0151
05-34,05,34,8,2.0151
05-42,05,42,8,2.0151
06-08,06,08,8,2.0151
06-11,06,11,8,2.0151
06-13,06,13,8,2.0151
06-29,06,29,8,2.0151
06-38,06,38,8,2.0151
07-08,07,08,8,2.0151
07-22,07,22,8,2.0151
07-24,07,24,8,2.0151
07-42,07,42,8,2.0151
08-24,08,24,8,2.0151
09-13,09,13,8,2.0151
09-30,09,30,8,2.0151
09-33,09,33,8,2.0151
09-34,09,34,8,2.0151
09-37,09,37,8,2.0151
10-11,10,11,8,2.0151
10-34,10,34,8,2.0151
10-36,10,36,8,2.0151
10-40,10,40,8,2.0151
11-17,11,17,8,2.0151
11-19,11,19,8,2.0151
11-31,11,31,8,2.0151
11-34,11,34,8,2.0151
11-37,11,37,8,2.0151
11-41,11,41,8,2.0151
12-13,12,13,8,2.0151
12-20,12,20,8,2.0151
12-26,12,26,8,2.0151
12-31,12,31,8,2.0151
12-40,12,40,8,2.0151
12-42,12,42,8,2.0151
13-23,13,23,8,2.0151
13-25,13,25,8,2.0151
13-35,13,35,8,2.0151
15-16,15,16,8,2.0151
15-17,15,17,8,2.0151
15-33,15,33,8,2.0151
16-34,16,34,8,2.0151
16-37,16,37,8,2.0151
16-39,16,39,8,2.0151
16-41,16,41,8,2.0151
17-39,17,39,8,2.0151
17-42,17,42,8,2.0151
18-28,18,28,8,2.0151
18-31,18,31,8,2.0151
18-34,18,34,8,2.0151
18-37,18,37,8,2.0151
19-29,19,29,8,2.0151
19-34,19,34,8,2.0151
19-42,19,42,8,2.0151
20-30,20,30,8,2.0151
20-34,20,34,8,2.0151
20-35,20,35,8,2.0151
22-30,22,30,8,2.0151
23-27,23,27,8,2.0151
23-37,23,37,8,2.0151
23-39,23,39,8,2.0151
24-29,24,29,8,2.0151
24-36,24,36,8,2.0151
24-37,24,37,8,2.0151
24-42,24,42,8,2.0151
25-35,25,35,8,2.0151
25-40,25,40,8,2.0151
26-27,26,27,8,2.0151
26-29,26,29,8,2.0151
26-31,26,31,8,2.0151
26-32,26,32,8,2.0151
27-41,27,41,8,2.0151
28-35,28,35,8,2.0151
29-41,29,41,8,2.0151
30-33,30,33,8,2.0151
30-40,30,40,8,2.0151
31-39,31,39,8,2.0151
31-41,31,41,8,2.0151
32-34,32,34,8,2.0151
33-38,33,38,8,2.0151
34-38,34,38,8,2.0151
35-37,35,37,8,2.0151
35-42,35,42,8,2.0151
36-42,36,42,8,2.0151
37-38,37,38,8,2.0151
01-07,01,07,7,1.7632
01-10,01,10,7,1.7632
01-18,01,18,7,1.7632
01-32,01,32,7,1.7632
01-34,01,34,7,1.7632
01-35,01,35,7,1.7632
02-22,02,22,7,1.7632
02-24,02,24,7,1.7632
02-39,02,39,7,1.7632
02-42,02,42,7,1.7632
03-24,03,24,7,1.7632
03-25,03,25,7,1.7632
03-38,03,38,7,1.7632
03-42,03,42,7,1.7632
04-29,04,29,7,1.7632
04-36,04,36,7,1.7632
04-39,04,39,7,1.7632
04-42,04,42,7,1.7632
05-09,05,09,7,1.7632
05-17,05,17,7,1.7632
05-21,05,21,7,1.7632
05-35,05,35,7,1.7632
05-36,05,36,7,1.7632
06-12,06,12,7,1.7632
06-16,06,16,7,1.7632
06-20,06,20,7,1.7632
06-21,06,21,7,1.7632
06-27,06,27,7,1.7632
06-33,06,33,7,1.7632
06-40,06,40,7,1.7632
07-13,07,13,7,1.7632
07-17,07,17,7,1.7632
07-21,07,21,7,1.7632
07-30,07,30,7,1.7632
07-32,07,32,7,1.7632
08-36,08,36,7,1.7632
08-38,08,38,7,1.7632
09-22,09,22,7,1.7632
09-29,09,29,7,1.7632
09-32,09,32,7,1.7632
09-38,09,38,7,1.7632
09-41,09,41,7,1.7632
10-15,10,15,7,1.7632
10-16,10,16,7,1.7632
10-17,10,17,7,1.7632
10-26,10,26,7,1.7632
10-27,10,27,7,1.7632
11-22,11,22,7,1.7632
11-36,11,36,7,1.7632
11-38,11,38,7,1.7632
11-42,11,42,7,1.7632
12-17,12,17,7,1.7632
12-34,12,34,7,1.7632
13-15,13,15,7,1.7632
13-21,13,21,7,1.7632
13-22,13,22,7,1.7632
13-29,13,29,7,1.7632
13-37,13,37,7,1.7632
14-24,14,24,7,1.7632
14-29,14,29,7,1.7632
14-35,14,35,7,1.7632
14-39,14,39,7,1.7632
15-18,15,18,7,1.7632
15-19,15,19,7,1.7632
15-26,15,26,7,1.7632
15-27,15,27,7,1.7632
15-29,15,29,7,1.7632
15-30,15,30,7,1.7632
15-35,15,35,7,1.7632
15-42,15,42,7,1.7632
16-19,16,19,7,1.7632
16-25,16,25,7,1.7632
16-27,16,27,7,1.7632
16-36,16,36,7,1.7632
16-42,16,42,7,1.7632
17-21,17,21,7,1.7632
17-28,17,28,7,1.7632
17-30,17,30,7,1.7632
17-33,17,33,7,1.7632
18-32,18,32,7,1.7632
19-26,19,26,7,1.7632
19-32,19,32,7,1.7632
19-39,19,39,7,1.7632
19-40,19,40,7,1.7632
20-24,20,24,7,1.7632
20-26,20,26,7,1.7632
20-33,20,33,7,1.7632
20-37,20,37,7,1.7632
20-39,20,39,7,1.7632
21-28,21,28,7,1.7632
21-34,21,34,7,1.7632
21-37,21,37,7,1.7632
21-39,21,39,7,1.7632
21-40,21,40,7,1.7632
21-42,21,42,7,1.7632
22-25,22,25,7,1.7632
22-34,22,34,7,1.7632
22-35,22,35,7,1.7632
23-28,23,28,7,1.7632
24-26,24,26,7,1.7632
24-31,24,31,7,1.7632
25-28,25,28,7,1.7632
25-33,25,33,7,1.7632
25-34,25,34,7,1.7632
25-36,25,36,7,1.7632
25-38,25,38,7,1.7632
25-42,25,42,7,1.7632
26-35,26,35,7,1.7632
26-38,26,38,7,1.7632
27-35,27,35,7,1.7632
28-34,28,34,7,1.7632
29-36,29,36,7,1.7632
29-37,29,37,7,1.7632
30-37,30,37,7,1.7632
30-42,30,42,7,1.7632
32-38,32,38,7,1.7632
01-03,01,03,6,1.5113
01-26,01,26,6,1.5113
01-27,01,27,6,1.5113
01-30,01,30,6,1.5113
01-39,01,39,6,1.5113
02-12,02,12,6,1.5113
02-16,02,16,6,1.5113
02-18,02,18,6,1.5113
02-33,02,33,6,1.5113
02-35,02,35,6,1.5113
02-36,02,36,6,1.5113
03-07,03,07,6,1.5113
03-08,03,08,6,1.5113
03-14,03,14,6,1.5113
03-26,03,26,6,1.5113
03-39,03,39,6,1.5113
03-40,03,40,6,1.5113
04-16,04,16,6,1.5113
04-20,04,20,6,1.5113
04-24,04,24,6,1.5113
04-38,04,38,6,1.5113
05-07,05,07,6,1.5113
05-10,05,10,6,1.5113
05-28,05,28,6,1.5113
05-29,05,29,6,1.5113
05-38,05,38,6,1.5113
06-09,06,09,6,1.5113
06-17,06,17,6,1.5113
06-22,06,22,6,1.5113
06-30,06,30,6,1.5113
06-36,06,36,6,1.5113
06-42,06,42,6,1.5113
07-33,07,33,6,1.5113
07-38,07,38,6,1.5113
07-39,07,39,6,1.5113
08-13,08,13,6,1.5113
08-17,08,17,6,1.5113
08-18,08,18,6,1.5113
08-25,08,25,6,1.5113
08-32,08,32,6,1.5113
08-35,08,35,6,1.5113
08-42,08,42,6,1.5113
09-14,09,14,6,1.5113
09-15,09,15,6,1.5113
09-23,09,23,6,1.5113
10-21,10,21,6,1.5113
10-23,10,23,6,1.5113
10-28,10,28,6,1.5113
10-35,10,35,6,1.5113
10-41,10,41,6,1.5113
10-42,10,42,6,1.5113
11-20,11,20,6,1.5113
11-21,11,21,6,1.5113
11-28,11,28,6,1.5113
11-32,11,32,6,1.5113
