draw_index,game_code,draw_date,draw_time,combination,sum,mean,minimum,maximum,span,even_count,odd_count,low_count,high_count,unique_values,adjacent_consecutive_pairs,shared_values_with_previous_draw
1,ML45,2023-12-27,21:00,13-17-18-25-37-39,149,24.833,13,39,26,1,5,3,3,6,1,
2,ML45,2023-12-29,21:00,04-06-12-16-17-28,83,13.833,4,28,24,5,1,5,1,6,1,1
3,ML45,2024-01-03,21:00,14-16-17-22-29-37,135,22.5,14,37,23,3,3,4,2,6,1,2
4,ML45,2024-01-05,21:00,13-18-29-33-37-41,171,28.5,13,41,28,1,5,2,4,6,0,2
5,ML45,2024-01-08,21:00,07-09-11-18-28-29,102,17,7,29,22,2,4,4,2,6,1,2
6,ML45,2024-01-10,21:00,02-12-25-27-33-36,135,22.5,2,36,34,3,3,2,4,6,0,0
7,ML45,2024-01-12,21:00,02-06-11-32-34-40,125,20.833,2,40,38,5,1,3,3,6,0,1
8,ML45,2024-01-15,21:00,04-07-22-23-27-40,123,20.5,4,40,36,3,3,4,2,6,1,1
9,ML45,2024-01-17,21:00,01-05-20-23-28-33,110,18.333,1,33,32,2,4,4,2,6,0,1
10,ML45,2024-01-19,21:00,01-14-19-24-35-43,136,22.667,1,43,42,2,4,3,3,6,0,1
11,ML45,2024-01-22,21:00,10-14-18-22-26-33,123,20.5,10,33,23,5,1,4,2,6,0,1
12,ML45,2024-01-24,21:00,01-05-08-12-19-28,73,12.167,1,28,27,3,3,5,1,6,0,0
13,ML45,2024-01-26,21:00,01-02-09-31-36-42,121,20.167,1,42,41,3,3,3,3,6,1,1
14,ML45,2024-01-29,21:00,11-21-23-33-38-45,171,28.5,11,45,34,1,5,3,3,6,0,0
15,ML45,2024-01-31,21:00,03-04-07-13-24-28,79,13.167,3,28,25,3,3,4,2,6,1,0
16,ML45,2024-02-02,21:00,02-11-20-30-43-44,150,25,2,44,42,4,2,3,3,6,1,0
17,ML45,2024-02-05,21:00,02-10-15-29-35-39,130,21.667,2,39,37,2,4,3,3,6,0,1
18,ML45,2024-02-07,21:00,02-06-13-19-26-40,106,17.667,2,40,38,4,2,4,2,6,0,1
19,ML45,2024-02-09,21:00,04-12-19-21-26-37,119,19.833,4,37,33,3,3,4,2,6,0,2
20,ML45,2024-02-12,21:00,02-10-24-27-35-36,134,22.333,2,36,34,4,2,2,4,6,1,0
21,ML45,2024-02-14,21:00,01-07-29-30-37-39,143,23.833,1,39,38,1,5,2,4,6,1,0
22,ML45,2024-02-16,21:00,03-11-14-31-41-42,142,23.667,3,42,39,2,4,3,3,6,1,0
23,ML45,2024-02-19,21:00,04-05-11-18-19-36,93,15.5,4,36,32,3,3,5,1,6,2,1
24,ML45,2024-02-21,21:00,04-05-06-12-22-28,77,12.833,4,28,24,5,1,5,1,6,2,2
25,ML45,2024-02-23,21:00,04-26-27-29-33-45,164,27.333,4,45,41,2,4,1,5,6,1,1
26,ML45,2024-02-26,21:00,03-07-09-20-26-29,94,15.667,3,29,26,2,4,4,2,6,0,2
27,ML45,2024-02-28,21:00,18-33-35-40-41-43,210,35,18,43,25,2,4,1,5,6,1,0
28,ML45,2024-03-01,21:00,08-12-15-17-24-31,107,17.833,8,31,23,3,3,4,2,6,0,0
29,ML45,2024-03-04,21:00,23-24-28-35-40-44,194,32.333,23,44,21,4,2,1,5,6,1,1
30,ML45,2024-03-06,21:00,06-11-15-33-35-37,137,22.833,6,37,31,1,5,3,3,6,0,1
31,ML45,2024-03-08,21:00,04-09-14-27-30-32,116,19.333,4,32,28,4,2,3,3,6,0,0
32,ML45,2024-03-11,21:00,03-06-07-15-23-42,96,16,3,42,39,2,4,5,1,6,1,0
33,ML45,2024-03-13,21:00,08-15-29-30-34-44,160,26.667,8,44,36,4,2,2,4,6,1,1
