number,numeric_value,appearance_count,appearance_share_pct,draw_hit_count,draw_hit_rate_pct,expected_count,difference_from_expected,z_score,draws_since_last,mean_gap_draws,median_gap_draws,maximum_gap_draws,last_seen,frequency_rank
01,1,55,2.3148,55,13.8889,52.8,2.2,0.325,6,6.056,3.5,27,2026-07-22,14
02,2,53,2.2306,53,13.3838,52.8,0.2,0.03,0,6.5,5.0,29,2026-08-05,20
03,3,64,2.6936,64,16.1616,52.8,11.2,1.656,13,4.841,3,19,2026-07-06,4
04,4,74,3.1145,74,18.6869,52.8,21.2,3.134,9,4.274,3,19,2026-07-15,1
05,5,54,2.2727,54,13.6364,52.8,1.2,0.177,2,6.264,4,22,2026-07-31,18
06,6,59,2.4832,59,14.899,52.8,6.2,0.917,0,5.793,4.5,19,2026-08-05,8
07,7,47,1.9781,47,11.8687,52.8,-5.8,-0.857,3,7.435,6.0,39,2026-07-29,34
08,8,56,2.3569,56,14.1414,52.8,3.2,0.473,1,5.964,5,25,2026-08-03,13
09,9,53,2.2306,53,13.3838,52.8,0.2,0.03,9,6.346,4.0,33,2026-07-15,21
10,10,52,2.1886,52,13.1313,52.8,-0.8,-0.118,8,6.392,5,28,2026-07-17,26
11,11,54,2.2727,54,13.6364,52.8,1.2,0.177,0,6.377,4,31,2026-08-05,19
12,12,47,1.9781,47,11.8687,52.8,-5.8,-0.857,2,7.522,5.0,32,2026-07-31,35
13,13,45,1.8939,45,11.3636,52.8,-7.8,-1.153,3,7.909,4.5,50,2026-07-29,40
14,14,52,2.1886,52,13.1313,52.8,-0.8,-0.118,4,6.627,5,34,2026-07-27,27
15,15,53,2.2306,53,13.3838,52.8,0.2,0.03,8,6.135,5.0,24,2026-07-17,22
16,16,39,1.6414,39,9.8485,52.8,-13.8,-2.04,10,9.105,6.0,46,2026-07-13,44
17,17,62,2.6094,62,15.6566,52.8,9.2,1.36,8,5.344,4,24,2026-07-17,5
18,18,53,2.2306,53,13.3838,52.8,0.2,0.03,16,6.288,5.0,26,2026-06-29,23
19,19,47,1.9781,47,11.8687,52.8,-5.8,-0.857,5,7.283,4.0,30,2026-07-24,36
20,20,41,1.7256,41,10.3535,52.8,-11.8,-1.744,5,8.55,7.0,41,2026-07-24,42
21,21,47,1.9781,47,11.8687,52.8,-5.8,-0.857,9,7.109,4.5,42,2026-07-15,37
22,22,43,1.8098,43,10.8586,52.8,-9.8,-1.449,3,8.286,5.5,38,2026-07-29,41
23,23,48,2.0202,48,12.1212,52.8,-4.8,-0.71,27,6.681,4,30,2026-06-03,33
24,24,65,2.7357,65,16.4141,52.8,12.2,1.804,9,4.891,3.5,19,2026-07-15,2
25,25,59,2.4832,59,14.899,52.8,6.2,0.917,11,5.621,3.5,32,2026-07-10,9
26,26,31,1.3047,31,7.8283,52.8,-21.8,-3.223,4,11.7,7.0,47,2026-07-27,45
27,27,62,2.6094,62,15.6566,52.8,9.2,1.36,1,5.377,4,21,2026-08-03,6
28,28,60,2.5253,60,15.1515,52.8,7.2,1.064,0,5.678,4,18,2026-08-05,7
29,29,53,2.2306,53,13.3838,52.8,0.2,0.03,0,6.558,5.0,35,2026-08-05,24
30,30,52,2.1886,52,13.1313,52.8,-0.8,-0.118,12,6.216,4,34,2026-07-08,28
31,31,53,2.2306,53,13.3838,52.8,0.2,0.03,0,6.365,4.0,25,2026-08-05,25
32,32,41,1.7256,41,10.3535,52.8,-11.8,-1.744,1,8.7,7.0,24,2026-08-03,43
33,33,58,2.4411,58,14.6465,52.8,5.2,0.769,10,5.702,4,25,2026-07-13,11
34,34,55,2.3148,55,13.8889,52.8,2.2,0.325,1,6.185,5.0,25,2026-08-03,15
35,35,59,2.4832,59,14.899,52.8,6.2,0.917,21,5.293,4.0,33,2026-06-17,10
36,36,52,2.1886,52,13.1313,52.8,-0.8,-0.118,1,6.627,5,31,2026-08-03,29
37,37,50,2.1044,50,12.6263,52.8,-2.8,-0.414,4,6.98,5,33,2026-07-27,32
38,38,47,1.9781,47,11.8687,52.8,-5.8,-0.857,2,7.261,4.5,37,2026-07-31,38
39,39,47,1.9781,47,11.8687,52.8,-5.8,-0.857,3,7.522,5.5,31,2026-07-29,39
40,40,51,2.1465,51,12.8788,52.8,-1.8,-0.266,11,6.56,5.0,36,2026-07-10,30
41,41,57,2.399,57,14.3939,52.8,4.2,0.621,17,5.696,4.0,24,2026-06-26,12
42,42,65,2.7357,65,16.4141,52.8,12.2,1.804,4,4.922,3.0,28,2026-07-27,3
43,43,55,2.3148,55,13.8889,52.8,2.2,0.325,3,6.093,5.0,22,2026-07-29,16
44,44,51,2.1465,51,12.8788,52.8,-1.8,-0.266,9,6.42,3.5,39,2026-07-15,31
45,45,55,2.3148,55,13.8889,52.8,2.2,0.325,9,5.907,4.0,28,2026-07-15,17
