pair_or_transition,first,second,count,draw_support_pct
04-24,04,24,16,4.0404
03-07,03,07,15,3.7879
04-23,04,23,15,3.7879
04-27,04,27,14,3.5354
28-42,28,42,14,3.5354
02-36,02,36,13,3.2828
08-34,08,34,13,3.2828
10-18,10,18,13,3.2828
10-24,10,24,13,3.2828
27-33,27,33,13,3.2828
02-11,02,11,12,3.0303
03-04,03,04,12,3.0303
03-24,03,24,12,3.0303
04-14,04,14,12,3.0303
04-22,04,22,12,3.0303
06-34,06,34,12,3.0303
09-17,09,17,12,3.0303
14-17,14,17,12,3.0303
15-29,15,29,12,3.0303
17-40,17,40,12,3.0303
17-42,17,42,12,3.0303
24-27,24,27,12,3.0303
28-34,28,34,12,3.0303
35-44,35,44,12,3.0303
39-44,39,44,12,3.0303
01-28,01,28,11,2.7778
03-42,03,42,11,2.7778
04-19,04,19,11,2.7778
04-30,04,30,11,2.7778
04-40,04,40,11,2.7778
06-24,06,24,11,2.7778
08-11,08,11,11,2.7778
08-30,08,30,11,2.7778
13-30,13,30,11,2.7778
17-28,17,28,11,2.7778
24-28,24,28,11,2.7778
24-36,24,36,11,2.7778
25-28,25,28,11,2.7778
27-36,27,36,11,2.7778
27-43,27,43,11,2.7778
33-42,33,42,11,2.7778
33-43,33,43,11,2.7778
34-41,34,41,11,2.7778
01-29,01,29,10,2.5253
02-03,02,03,10,2.5253
02-06,02,06,10,2.5253
03-17,03,17,10,2.5253
03-41,03,41,10,2.5253
04-10,04,10,10,2.5253
04-18,04,18,10,2.5253
04-28,04,28,10,2.5253
05-28,05,28,10,2.5253
05-29,05,29,10,2.5253
05-38,05,38,10,2.5253
06-10,06,10,10,2.5253
06-17,06,17,10,2.5253
06-42,06,42,10,2.5253
08-35,08,35,10,2.5253
10-15,10,15,10,2.5253
10-42,10,42,10,2.5253
12-27,12,27,10,2.5253
12-33,12,33,10,2.5253
12-36,12,36,10,2.5253
14-20,14,20,10,2.5253
14-41,14,41,10,2.5253
15-27,15,27,10,2.5253
15-42,15,42,10,2.5253
17-29,17,29,10,2.5253
19-36,19,36,10,2.5253
21-41,21,41,10,2.5253
24-35,24,35,10,2.5253
24-42,24,42,10,2.5253
25-35,25,35,10,2.5253
25-40,25,40,10,2.5253
25-42,25,42,10,2.5253
27-29,27,29,10,2.5253
27-35,27,35,10,2.5253
27-42,27,42,10,2.5253
27-45,27,45,10,2.5253
28-29,28,29,10,2.5253
29-34,29,34,10,2.5253
29-41,29,41,10,2.5253
30-39,30,39,10,2.5253
35-45,35,45,10,2.5253
40-42,40,42,10,2.5253
01-17,01,17,9,2.2727
01-25,01,25,9,2.2727
01-42,01,42,9,2.2727
02-04,02,04,9,2.2727
02-24,02,24,9,2.2727
02-27,02,27,9,2.2727
03-06,03,06,9,2.2727
03-09,03,09,9,2.2727
03-11,03,11,9,2.2727
03-18,03,18,9,2.2727
03-27,03,27,9,2.2727
03-45,03,45,9,2.2727
04-09,04,09,9,2.2727
04-11,04,11,9,2.2727
04-16,04,16,9,2.2727
04-17,04,17,9,2.2727
04-25,04,25,9,2.2727
04-33,04,33,9,2.2727
04-41,04,41,9,2.2727
04-45,04,45,9,2.2727
05-17,05,17,9,2.2727
05-19,05,19,9,2.2727
05-24,05,24,9,2.2727
05-25,05,25,9,2.2727
05-42,05,42,9,2.2727
06-15,06,15,9,2.2727
06-21,06,21,9,2.2727
06-32,06,32,9,2.2727
06-40,06,40,9,2.2727
07-35,07,35,9,2.2727
07-37,07,37,9,2.2727
08-25,08,25,9,2.2727
08-29,08,29,9,2.2727
08-39,08,39,9,2.2727
09-42,09,42,9,2.2727
11-15,11,15,9,2.2727
11-19,11,19,9,2.2727
12-24,12,24,9,2.2727
13-14,13,14,9,2.2727
14-42,14,42,9,2.2727
15-24,15,24,9,2.2727
15-44,15,44,9,2.2727
17-31,17,31,9,2.2727
18-25,18,25,9,2.2727
18-35,18,35,9,2.2727
19-31,19,31,9,2.2727
19-38,19,38,9,2.2727
20-31,20,31,9,2.2727
21-44,21,44,9,2.2727
22-25,22,25,9,2.2727
22-33,22,33,9,2.2727
24-41,24,41,9,2.2727
25-27,25,27,9,2.2727
25-30,25,30,9,2.2727
25-33,25,33,9,2.2727
25-37,25,37,9,2.2727
27-34,27,34,9,2.2727
28-31,28,31,9,2.2727
29-45,29,45,9,2.2727
30-43,30,43,9,2.2727
32-45,32,45,9,2.2727
34-36,34,36,9,2.2727
34-45,34,45,9,2.2727
35-38,35,38,9,2.2727
35-39,35,39,9,2.2727
35-43,35,43,9,2.2727
37-42,37,42,9,2.2727
42-45,42,45,9,2.2727
01-04,01,04,8,2.0202
01-31,01,31,8,2.0202
01-44,01,44,8,2.0202
02-12,02,12,8,2.0202
02-21,02,21,8,2.0202
02-31,02,31,8,2.0202
