draw_index,game_code,draw_date,draw_time,combination,sum,mean,minimum,maximum,span,even_count,odd_count,low_count,high_count,unique_values,adjacent_consecutive_pairs,shared_values_with_previous_draw
1,SL49,2023-12-24,21:00,08-12-23-24-29-44,140,23.333,8,44,36,4,2,4,2,6,1,
2,SL49,2023-12-26,21:00,06-14-30-37-48-49,184,30.667,6,49,43,4,2,2,4,6,1,0
3,SL49,2023-12-28,21:00,06-07-19-25-40-43,140,23.333,6,43,37,2,4,4,2,6,1,1
4,SL49,2023-12-31,21:00,06-15-22-41-44-49,177,29.5,6,49,43,3,3,3,3,6,0,1
5,SL49,2024-01-02,21:00,05-07-16-32-33-42,135,22.5,5,42,37,3,3,3,3,6,1,0
6,SL49,2024-01-04,21:00,04-11-17-28-30-34,124,20.667,4,34,30,4,2,3,3,6,0,0
7,SL49,2024-01-07,21:00,01-03-07-12-13-47,83,13.833,1,47,46,1,5,5,1,6,1,0
8,SL49,2024-01-09,21:00,20-22-24-29-39-41,175,29.167,20,41,21,3,3,3,3,6,0,0
9,SL49,2024-01-11,21:00,08-12-22-37-45-47,171,28.5,8,47,39,3,3,3,3,6,0,1
10,SL49,2024-01-14,21:00,02-20-24-29-35-43,153,25.5,2,43,41,3,3,3,3,6,0,0
11,SL49,2024-01-16,21:00,06-14-26-33-42-48,169,28.167,6,48,42,5,1,2,4,6,0,0
12,SL49,2024-01-18,21:00,01-02-04-10-32-42,91,15.167,1,42,41,5,1,4,2,6,1,1
13,SL49,2024-01-21,21:00,03-22-25-31-34-42,157,26.167,3,42,39,3,3,3,3,6,0,1
14,SL49,2024-01-23,21:00,11-13-37-38-44-47,190,31.667,11,47,36,2,4,2,4,6,1,0
15,SL49,2024-01-25,21:00,07-19-26-31-45-46,174,29,7,46,39,2,4,2,4,6,1,0
16,SL49,2024-01-28,21:00,07-13-20-39-40-41,160,26.667,7,41,34,2,4,3,3,6,2,1
17,SL49,2024-01-30,21:00,09-10-25-26-35-47,152,25.333,9,47,38,2,4,3,3,6,2,0
18,SL49,2024-02-01,21:00,17-19-23-29-35-44,167,27.833,17,44,27,1,5,3,3,6,0,1
19,SL49,2024-02-04,21:00,07-10-37-41-43-46,184,30.667,7,46,39,2,4,2,4,6,0,0
20,SL49,2024-02-06,21:00,11-28-37-38-43-45,202,33.667,11,45,34,2,4,1,5,6,1,2
21,SL49,2024-02-08,21:00,07-12-29-30-38-45,161,26.833,7,45,38,3,3,2,4,6,1,2
22,SL49,2024-02-11,21:00,08-30-40-42-46-49,215,35.833,8,49,41,5,1,1,5,6,0,1
23,SL49,2024-02-13,21:00,05-15-20-22-23-43,128,21.333,5,43,38,2,4,5,1,6,1,0
24,SL49,2024-02-15,21:00,08-10-13-19-20-24,94,15.667,8,24,16,4,2,6,0,6,1,1
25,SL49,2024-02-18,21:00,09-19-25-28-48-49,178,29.667,9,49,40,2,4,3,3,6,1,1
26,SL49,2024-02-20,21:00,02-05-23-26-33-40,129,21.5,2,40,38,3,3,3,3,6,0,0
27,SL49,2024-02-22,21:00,06-11-16-17-36-46,132,22,6,46,40,4,2,4,2,6,1,0
28,SL49,2024-02-25,21:00,08-20-43-44-46-49,210,35,8,49,41,4,2,2,4,6,1,1
29,SL49,2024-02-27,21:00,03-10-19-31-43-48,154,25.667,3,48,45,2,4,3,3,6,0,1
30,SL49,2024-02-29,21:00,04-15-17-18-20-32,106,17.667,4,32,28,4,2,5,1,6,1,0
31,SL49,2024-03-03,21:00,02-03-14-36-40-49,144,24,2,49,47,4,2,3,3,6,1,0
32,SL49,2024-03-05,21:00,06-13-20-37-39-40,155,25.833,6,40,34,3,3,3,3,6,1,1
33,SL49,2024-03-07,21:00,08-18-24-29-44-49,172,28.667,8,49,41,4,2,3,3,6,0,0
34,SL49,2024-03-10,21:00,05-21-26-31-42-45,170,28.333,5,45,40,2,4,2,4,6,0,0
35,SL49,2024-03-12,21:00,05-13-20-23-30-34,125,20.833,5,34,29,3,3,4,2,6,0,1
36,SL49,2024-03-14,21:00,01-08-19-34-39-46,147,24.5,1,46,45,3,3,3,3,6,0,1
37,SL49,2024-03-17,21:00,02-03-27-36-37-39,144,24,2,39,37,2,4,2,4,6,2,1
38,SL49,2024-03-19,21:00,07-09-16-42-44-49,167,27.833,7,49,42,3,3,3,3,6,0,0
39,SL49,2024-03-21,21:00,05-15-18-27-28-38,131,21.833,5,38,33,3,3,3,3,6,1,0
40,SL49,2024-03-24,21:00,07-14-23-26-47-49,166,27.667,7,49,42,2,4,3,3,6,0,0
41,SL49,2024-03-26,21:00,04-13-18-19-28-36,118,19.667,4,36,32,4,2,4,2,6,1,0
42,SL49,2024-04-02,21:00,06-08-19-25-45-49,152,25.333,6,49,43,2,4,4,2,6,0,1
43,SL49,2024-04-04,21:00,09-14-16-18-28-29,114,19,9,29,20,4,2,4,2,6,1,0
44,SL49,2024-04-07,21:00,08-29-30-31-33-48,179,29.833,8,48,40,3,3,1,5,6,2,1
45,SL49,2024-04-09,21:00,04-16-27-29-33-47,156,26,4,47,43,2,4,2,4,6,0,2
46,SL49,2024-04-11,21:00,15-16-17-19-41-46,154,25.667,15,46,31,2,4,4,2,6,2,1
47,SL49,2024-04-14,21:00,01-03-10-16-21-26,77,12.833,1,26,25,3,3,5,1,6,0,1
48,SL49,2024-04-16,21:00,14-17-18-19-22-29,119,19.833,14,29,15,3,3,5,1,6,2,0
49,SL49,2024-04-18,21:00,06-15-23-29-32-33,138,23,6,33,27,2,4,3,3,6,1,1
50,SL49,2024-04-21,21:00,08-30-32-37-48-49,204,34,8,49,41,4,2,1,5,6,1,1
51,SL49,2024-04-23,21:00,02-14-16-24-42-44,142,23.667,2,44,42,6,0,4,2,6,0,0
52,SL49,2024-04-25,21:00,11-21-29-36-38-47,182,30.333,11,47,36,2,4,2,4,6,0,0
53,SL49,2024-04-28,21:00,09-17-31-37-44-47,185,30.833,9,47,38,1,5,2,4,6,0,1
54,SL49,2024-04-30,21:00,03-17-19-23-42-43,147,24.5,3,43,40,1,5,4,2,6,1,1
55,SL49,2024-05-02,21:00,01-13-17-21-44-48,144,24,1,48,47,2,4,4,2,6,0,1
56,SL49,2024-05-05,21:00,15-34-40-41-42-47,219,36.5,15,47,32,3,3,1,5,6,2,0
57,SL49,2024-05-07,21:00,06-07-18-24-27-40,122,20.333,6,40,34,4,2,4,2,6,1,1
58,SL49,2024-05-09,21:00,04-06-09-10-13-39,81,13.5,4,39,35,3,3,5,1,6,1,1
59,SL49,2024-05-12,21:00,10-18-29-36-41-46,180,30,10,46,36,4,2,2,4,6,0,1
60,SL49,2024-05-14,21:00,04-16-25-28-38-47,158,26.333,4,47,43,4,2,3,3,6,0,0
61,SL49,2024-05-16,21:00,04-05-15-27-30-49,130,21.667,4,49,45,2,4,3,3,6,1,1
62,SL49,2024-05-19,21:00,16-17-18-37-44-45,177,29.5,16,45,29,3,3,3,3,6,3,0
