number,numeric_value,appearance_count,appearance_share_pct,draw_hit_count,draw_hit_rate_pct,expected_count,difference_from_expected,z_score,draws_since_last,mean_gap_draws,median_gap_draws,maximum_gap_draws,last_seen,frequency_rank
01,1,40,1.675,40,10.0503,48.735,-8.735,-1.336,1,9,9,23,2026-08-02,48
02,2,49,2.0519,49,12.3116,48.735,0.265,0.041,2,7.042,5.0,38,2026-07-30,18
03,3,51,2.1357,51,12.8141,48.735,2.265,0.346,12,6.58,4.5,28,2026-07-07,13
04,4,49,2.0519,49,12.3116,48.735,0.265,0.041,4,7.083,4.5,23,2026-07-26,19
05,5,48,2.0101,48,12.0603,48.735,-0.735,-0.112,3,7.298,5,26,2026-07-28,25
06,6,49,2.0519,49,12.3116,48.735,0.265,0.041,20,6.833,5.5,33,2026-06-18,20
07,7,51,2.1357,51,12.8141,48.735,2.265,0.346,1,6.88,4.0,24,2026-08-02,14
08,8,54,2.2613,54,13.5678,48.735,5.265,0.805,6,6.377,5,26,2026-07-21,8
09,9,41,1.7169,41,10.3015,48.735,-7.735,-1.183,8,8.325,4.5,58,2026-07-16,47
10,10,49,2.0519,49,12.3116,48.735,0.265,0.041,4,6.958,4.0,26,2026-07-26,21
11,11,44,1.8425,44,11.0553,48.735,-4.735,-0.724,0,8.116,6,26,2026-08-04,38
12,12,44,1.8425,44,11.0553,48.735,-4.735,-0.724,0,8.233,6,42,2026-08-04,39
13,13,56,2.3451,56,14.0704,48.735,7.265,1.111,3,6.055,4,32,2026-07-28,5
14,14,53,2.2194,53,13.3166,48.735,4.265,0.652,4,6.538,5.5,20,2026-07-26,10
15,15,44,1.8425,44,11.0553,48.735,-4.735,-0.724,3,8.093,4,53,2026-07-28,40
16,16,57,2.3869,57,14.3216,48.735,8.265,1.264,1,6,4.0,24,2026-08-02,4
17,17,44,1.8425,44,11.0553,48.735,-4.735,-0.724,9,7.907,6,30,2026-07-14,41
18,18,48,2.0101,48,12.0603,48.735,-0.735,-0.112,8,6.66,5,31,2026-07-16,26
19,19,60,2.5126,60,15.0754,48.735,11.265,1.723,4,5.627,4,24,2026-07-26,3
20,20,47,1.9682,47,11.809,48.735,-1.735,-0.265,0,7.478,5.0,39,2026-08-04,29
21,21,49,2.0519,49,12.3116,48.735,0.265,0.041,3,6.521,5.0,26,2026-07-28,22
22,22,42,1.7588,42,10.5528,48.735,-6.735,-1.03,9,8.39,4,31,2026-07-14,46
23,23,49,2.0519,49,12.3116,48.735,0.265,0.041,1,7.25,6.0,22,2026-08-02,23
24,24,51,2.1357,51,12.8141,48.735,2.265,0.346,19,6.56,5.0,22,2026-06-21,15
25,25,48,2.0101,48,12.0603,48.735,-0.735,-0.112,2,7.362,7,37,2026-07-30,27
26,26,56,2.3451,56,14.0704,48.735,7.265,1.111,0,6.036,4,28,2026-08-04,6
27,27,46,1.9263,46,11.5578,48.735,-2.735,-0.418,18,6.622,5,43,2026-06-23,32
28,28,54,2.2613,54,13.5678,48.735,5.265,0.805,7,6.264,5,18,2026-07-19,9
29,29,45,1.8844,45,11.3065,48.735,-3.735,-0.571,16,7.659,6.0,26,2026-06-28,34
30,30,45,1.8844,45,11.3065,48.735,-3.735,-0.571,30,7.318,5.0,21,2026-05-26,35
31,31,43,1.8007,43,10.804,48.735,-5.735,-0.877,25,7.571,6.0,32,2026-06-07,43
32,32,47,1.9682,47,11.809,48.735,-1.735,-0.265,10,7.326,5.0,37,2026-07-12,30
33,33,43,1.8007,43,10.804,48.735,-5.735,-0.877,13,8.048,6.0,28,2026-07-05,44
34,34,49,2.0519,49,12.3116,48.735,0.265,0.041,8,7,4.0,38,2026-07-16,24
35,35,44,1.8425,44,11.0553,48.735,-4.735,-0.724,1,8,5,47,2026-08-02,42
36,36,55,2.3032,55,13.8191,48.735,6.265,0.958,0,5.87,4.0,21,2026-08-04,7
37,37,52,2.1776,52,13.0653,48.735,3.265,0.499,1,6.745,4,28,2026-08-02,11
38,38,36,1.5075,36,9.0452,48.735,-12.735,-1.947,5,9.829,8,44,2026-07-23,49
39,39,46,1.9263,46,11.5578,48.735,-2.735,-0.418,5,7.556,5,31,2026-07-23,33
40,40,43,1.8007,43,10.804,48.735,-5.735,-0.877,3,8.333,5.0,35,2026-07-28,45
41,41,61,2.5544,61,15.3266,48.735,12.265,1.876,7,5.45,3.0,26,2026-07-19,2
42,42,51,2.1357,51,12.8141,48.735,2.265,0.346,6,6.74,5.0,27,2026-07-21,16
43,43,51,2.1357,51,12.8141,48.735,2.265,0.346,24,6.42,4.0,33,2026-06-09,17
44,44,67,2.8057,67,16.8342,48.735,18.265,2.793,0,5.015,3.0,35,2026-08-04,1
45,45,52,2.1776,52,13.0653,48.735,3.265,0.499,30,6.039,4,22,2026-05-26,12
46,46,48,2.0101,48,12.0603,48.735,-0.735,-0.112,10,6.936,4,44,2026-07-12,28
47,47,45,1.8844,45,11.3065,48.735,-3.735,-0.571,2,7.841,5.5,39,2026-07-30,36
48,48,47,1.9682,47,11.809,48.735,-1.735,-0.265,6,7.478,7.0,22,2026-07-21,31
49,49,45,1.8844,45,11.3065,48.735,-3.735,-0.571,10,7.773,5.0,44,2026-07-12,37
