pair_or_transition,first,second,count,draw_support_pct
07-16,07,16,13,3.2663
08-44,08,44,12,3.0151
10-26,10,26,12,3.0151
19-43,19,43,12,3.0151
28-41,28,41,12,3.0151
42-44,42,44,12,3.0151
05-27,05,27,11,2.7638
08-14,08,14,11,2.7638
08-29,08,29,11,2.7638
09-28,09,28,11,2.7638
13-19,13,19,11,2.7638
16-41,16,41,11,2.7638
16-44,16,44,11,2.7638
17-19,17,19,11,2.7638
19-41,19,41,11,2.7638
26-45,26,45,11,2.7638
37-44,37,44,11,2.7638
44-48,44,48,11,2.7638
01-34,01,34,10,2.5126
03-07,03,07,10,2.5126
04-28,04,28,10,2.5126
06-14,06,14,10,2.5126
08-40,08,40,10,2.5126
11-16,11,16,10,2.5126
13-30,13,30,10,2.5126
13-40,13,40,10,2.5126
13-44,13,44,10,2.5126
14-16,14,16,10,2.5126
14-35,14,35,10,2.5126
14-40,14,40,10,2.5126
15-41,15,41,10,2.5126
16-27,16,27,10,2.5126
16-42,16,42,10,2.5126
17-18,17,18,10,2.5126
19-45,19,45,10,2.5126
19-46,19,46,10,2.5126
25-46,25,46,10,2.5126
26-41,26,41,10,2.5126
34-44,34,44,10,2.5126
37-41,37,41,10,2.5126
37-43,37,43,10,2.5126
01-32,01,32,9,2.2613
02-36,02,36,9,2.2613
03-25,03,25,9,2.2613
04-13,04,13,9,2.2613
04-14,04,14,9,2.2613
04-25,04,25,9,2.2613
05-15,05,15,9,2.2613
05-18,05,18,9,2.2613
05-32,05,32,9,2.2613
06-10,06,10,9,2.2613
07-35,07,35,9,2.2613
09-19,09,19,9,2.2613
10-13,10,13,9,2.2613
11-28,11,28,9,2.2613
11-36,11,36,9,2.2613
11-38,11,38,9,2.2613
12-41,12,41,9,2.2613
13-14,13,14,9,2.2613
13-20,13,20,9,2.2613
16-28,16,28,9,2.2613
16-31,16,31,9,2.2613
16-35,16,35,9,2.2613
18-45,18,45,9,2.2613
19-25,19,25,9,2.2613
20-32,20,32,9,2.2613
20-39,20,39,9,2.2613
20-41,20,41,9,2.2613
21-32,21,32,9,2.2613
23-30,23,30,9,2.2613
24-33,24,33,9,2.2613
24-44,24,44,9,2.2613
26-44,26,44,9,2.2613
28-37,28,37,9,2.2613
29-43,29,43,9,2.2613
31-42,31,42,9,2.2613
33-48,33,48,9,2.2613
36-39,36,39,9,2.2613
41-46,41,46,9,2.2613
43-46,43,46,9,2.2613
44-49,44,49,9,2.2613
01-36,01,36,8,2.0101
01-39,01,39,8,2.0101
02-03,02,03,8,2.0101
02-05,02,05,8,2.0101
02-24,02,24,8,2.0101
02-28,02,28,8,2.0101
02-41,02,41,8,2.0101
02-44,02,44,8,2.0101
03-11,03,11,8,2.0101
03-27,03,27,8,2.0101
04-06,04,06,8,2.0101
04-10,04,10,8,2.0101
04-16,04,16,8,2.0101
04-19,04,19,8,2.0101
04-22,04,22,8,2.0101
04-43,04,43,8,2.0101
05-10,05,10,8,2.0101
05-14,05,14,8,2.0101
05-23,05,23,8,2.0101
06-25,06,25,8,2.0101
06-37,06,37,8,2.0101
06-49,06,49,8,2.0101
07-12,07,12,8,2.0101
07-13,07,13,8,2.0101
07-31,07,31,8,2.0101
07-32,07,32,8,2.0101
07-40,07,40,8,2.0101
07-49,07,49,8,2.0101
08-13,08,13,8,2.0101
08-21,08,21,8,2.0101
08-22,08,22,8,2.0101
08-24,08,24,8,2.0101
08-41,08,41,8,2.0101
08-42,08,42,8,2.0101
09-34,09,34,8,2.0101
09-42,09,42,8,2.0101
09-44,09,44,8,2.0101
10-19,10,19,8,2.0101
10-36,10,36,8,2.0101
10-41,10,41,8,2.0101
10-45,10,45,8,2.0101
11-18,11,18,8,2.0101
11-39,11,39,8,2.0101
12-36,12,36,8,2.0101
13-18,13,18,8,2.0101
13-21,13,21,8,2.0101
13-24,13,24,8,2.0101
13-45,13,45,8,2.0101
14-28,14,28,8,2.0101
15-17,15,17,8,2.0101
15-40,15,40,8,2.0101
16-21,16,21,8,2.0101
16-45,16,45,8,2.0101
19-23,19,23,8,2.0101
19-24,19,24,8,2.0101
19-26,19,26,8,2.0101
19-28,19,28,8,2.0101
19-32,19,32,8,2.0101
19-39,19,39,8,2.0101
20-22,20,22,8,2.0101
20-36,20,36,8,2.0101
20-44,20,44,8,2.0101
21-45,21,45,8,2.0101
22-37,22,37,8,2.0101
22-44,22,44,8,2.0101
23-36,23,36,8,2.0101
23-44,23,44,8,2.0101
24-35,24,35,8,2.0101
26-32,26,32,8,2.0101
26-48,26,48,8,2.0101
27-34,27,34,8,2.0101
27-46,27,46,8,2.0101
28-36,28,36,8,2.0101
29-39,29,39,8,2.0101
29-44,29,44,8,2.0101
29-47,29,47,8,2.0101
30-34,30,34,8,2.0101
31-45,31,45,8,2.0101
32-44,32,44,8,2.0101
33-34,33,34,8,2.0101
34-40,34,40,8,2.0101
34-43,34,43,8,2.0101
36-37,36,37,8,2.0101
36-40,36,40,8,2.0101
36-44,36,44,8,2.0101
38-44,38,44,8,2.0101
40-41,40,41,8,2.0101
41-44,41,44,8,2.0101
41-47,41,47,8,2.0101
41-49,41,49,8,2.0101
42-43,42,43,8,2.0101
42-45,42,45,8,2.0101
43-45,43,45,8,2.0101
43-49,43,49,8,2.0101
44-47,44,47,8,2.0101
01-10,01,10,7,1.7588
01-47,01,47,7,1.7588
01-48,01,48,7,1.7588
02-13,02,13,7,1.7588
02-14,02,14,7,1.7588
