draw_index,game_code,draw_date,draw_time,combination,sum,mean,minimum,maximum,span,even_count,odd_count,low_count,high_count,unique_values,adjacent_consecutive_pairs,shared_values_with_previous_draw
1,UL58,2023-12-24,21:00,05-06-13-16-17-25,82,13.667,5,25,20,2,4,6,0,6,2,
2,UL58,2023-12-26,21:00,06-09-16-42-47-49,169,28.167,6,49,43,3,3,3,3,6,0,2
3,UL58,2023-12-29,21:00,05-19-25-35-42-58,184,30.667,5,58,53,2,4,3,3,6,0,1
4,UL58,2023-12-31,21:00,01-24-30-31-32-44,162,27,1,44,43,4,2,2,4,6,2,0
5,UL58,2024-01-02,21:00,07-09-29-40-56-58,199,33.167,7,58,51,3,3,3,3,6,0,0
6,UL58,2024-01-05,21:00,04-05-13-35-46-54,157,26.167,4,54,50,3,3,3,3,6,1,0
7,UL58,2024-01-07,21:00,08-18-28-37-38-40,169,28.167,8,40,32,5,1,3,3,6,1,0
8,UL58,2024-01-09,21:00,10-24-34-39-45-52,204,34,10,52,42,4,2,2,4,6,0,0
9,UL58,2024-01-12,21:00,06-20-22-25-37-44,154,25.667,6,44,38,4,2,4,2,6,0,0
10,UL58,2024-01-14,21:00,08-23-40-42-45-55,213,35.5,8,55,47,3,3,2,4,6,0,0
11,UL58,2024-01-16,21:00,05-18-26-39-45-58,191,31.833,5,58,53,3,3,3,3,6,0,1
12,UL58,2024-01-19,21:00,11-20-31-35-44-58,199,33.167,11,58,47,3,3,2,4,6,0,1
13,UL58,2024-01-21,21:00,01-17-24-33-43-46,164,27.333,1,46,45,2,4,3,3,6,0,0
14,UL58,2024-01-23,21:00,25-30-31-37-44-47,214,35.667,25,47,22,2,4,1,5,6,1,0
15,UL58,2024-01-26,21:00,06-09-25-33-38-50,161,26.833,6,50,44,3,3,3,3,6,0,1
16,UL58,2024-01-28,21:00,10-18-35-49-51-54,217,36.167,10,54,44,3,3,2,4,6,0,0
17,UL58,2024-01-30,21:00,01-04-36-42-51-56,190,31.667,1,56,55,4,2,2,4,6,0,1
18,UL58,2024-02-02,21:00,14-21-28-30-44-51,188,31.333,14,51,37,4,2,3,3,6,0,1
19,UL58,2024-02-04,21:00,08-21-27-32-50-53,191,31.833,8,53,45,3,3,3,3,6,0,1
20,UL58,2024-02-06,21:00,11-19-20-50-53-55,208,34.667,11,55,44,2,4,3,3,6,1,2
21,UL58,2024-02-09,21:00,10-11-12-15-25-29,102,17,10,29,19,2,4,6,0,6,2,1
22,UL58,2024-02-11,21:00,01-29-40-45-51-57,223,37.167,1,57,56,1,5,2,4,6,0,1
23,UL58,2024-02-13,21:00,04-14-15-29-51-56,169,28.167,4,56,52,3,3,4,2,6,1,2
24,UL58,2024-02-16,21:00,03-07-11-17-29-58,125,20.833,3,58,55,1,5,5,1,6,0,1
25,UL58,2024-02-18,21:00,01-03-10-20-55-58,147,24.5,1,58,57,3,3,4,2,6,0,2
26,UL58,2024-02-20,21:00,01-08-10-32-42-43,136,22.667,1,43,42,4,2,3,3,6,1,2
27,UL58,2024-02-23,21:00,10-29-36-50-55-58,238,39.667,10,58,48,4,2,2,4,6,0,1
28,UL58,2024-02-25,21:00,06-27-33-35-48-56,205,34.167,6,56,50,3,3,2,4,6,0,0
29,UL58,2024-02-27,21:00,09-13-14-20-22-37,115,19.167,9,37,28,3,3,5,1,6,1,0
30,UL58,2024-03-01,21:00,04-05-07-47-54-57,174,29,4,57,53,2,4,3,3,6,1,0
31,UL58,2024-03-03,21:00,09-24-30-31-56-57,207,34.5,9,57,48,3,3,2,4,6,2,1
32,UL58,2024-03-05,21:00,42-45-52-53-55-58,305,50.833,42,58,16,3,3,0,6,6,1,0
