pair_or_transition,first,second,count,draw_support_pct
17-28,17,28,13,3.2663
39-45,39,45,11,2.7638
08-40,08,40,10,2.5126
40-45,40,45,10,2.5126
01-12,01,12,9,2.2613
05-45,05,45,9,2.2613
17-33,17,33,9,2.2613
23-39,23,39,9,2.2613
26-54,26,54,9,2.2613
30-44,30,44,9,2.2613
30-57,30,57,9,2.2613
45-52,45,52,9,2.2613
47-49,47,49,9,2.2613
01-19,01,19,8,2.0101
02-26,02,26,8,2.0101
04-15,04,15,8,2.0101
04-34,04,34,8,2.0101
04-36,04,36,8,2.0101
05-37,05,37,8,2.0101
05-47,05,47,8,2.0101
07-29,07,29,8,2.0101
07-44,07,44,8,2.0101
13-14,13,14,8,2.0101
15-58,15,58,8,2.0101
17-57,17,57,8,2.0101
19-20,19,20,8,2.0101
19-28,19,28,8,2.0101
19-40,19,40,8,2.0101
19-50,19,50,8,2.0101
20-52,20,52,8,2.0101
24-56,24,56,8,2.0101
27-33,27,33,8,2.0101
30-31,30,31,8,2.0101
33-57,33,57,8,2.0101
35-37,35,37,8,2.0101
36-54,36,54,8,2.0101
40-55,40,55,8,2.0101
42-58,42,58,8,2.0101
43-52,43,52,8,2.0101
45-53,45,53,8,2.0101
50-53,50,53,8,2.0101
50-57,50,57,8,2.0101
01-51,01,51,7,1.7588
02-11,02,11,7,1.7588
02-28,02,28,7,1.7588
03-30,03,30,7,1.7588
04-41,04,41,7,1.7588
06-14,06,14,7,1.7588
06-33,06,33,7,1.7588
06-38,06,38,7,1.7588
06-48,06,48,7,1.7588
06-49,06,49,7,1.7588
07-09,07,09,7,1.7588
08-53,08,53,7,1.7588
09-19,09,19,7,1.7588
09-47,09,47,7,1.7588
11-19,11,19,7,1.7588
11-45,11,45,7,1.7588
12-16,12,16,7,1.7588
12-19,12,19,7,1.7588
13-40,13,40,7,1.7588
14-22,14,22,7,1.7588
14-38,14,38,7,1.7588
14-39,14,39,7,1.7588
14-43,14,43,7,1.7588
15-17,15,17,7,1.7588
15-23,15,23,7,1.7588
15-57,15,57,7,1.7588
16-41,16,41,7,1.7588
16-46,16,46,7,1.7588
17-25,17,25,7,1.7588
18-41,18,41,7,1.7588
18-43,18,43,7,1.7588
18-50,18,50,7,1.7588
19-30,19,30,7,1.7588
19-35,19,35,7,1.7588
19-46,19,46,7,1.7588
19-55,19,55,7,1.7588
19-58,19,58,7,1.7588
20-28,20,28,7,1.7588
20-30,20,30,7,1.7588
20-37,20,37,7,1.7588
22-50,22,50,7,1.7588
22-58,22,58,7,1.7588
23-35,23,35,7,1.7588
23-38,23,38,7,1.7588
24-30,24,30,7,1.7588
25-30,25,30,7,1.7588
25-33,25,33,7,1.7588
26-28,26,28,7,1.7588
29-36,29,36,7,1.7588
29-58,29,58,7,1.7588
30-32,30,32,7,1.7588
30-50,30,50,7,1.7588
31-44,31,44,7,1.7588
32-34,32,34,7,1.7588
32-43,32,43,7,1.7588
32-48,32,48,7,1.7588
33-45,33,45,7,1.7588
33-50,33,50,7,1.7588
33-56,33,56,7,1.7588
35-55,35,55,7,1.7588
36-40,36,40,7,1.7588
36-58,36,58,7,1.7588
37-44,37,44,7,1.7588
37-45,37,45,7,1.7588
38-51,38,51,7,1.7588
38-56,38,56,7,1.7588
39-52,39,52,7,1.7588
40-53,40,53,7,1.7588
40-58,40,58,7,1.7588
42-51,42,51,7,1.7588
43-45,43,45,7,1.7588
44-51,44,51,7,1.7588
44-56,44,56,7,1.7588
46-50,46,50,7,1.7588
48-55,48,55,7,1.7588
49-52,49,52,7,1.7588
50-58,50,58,7,1.7588
51-54,51,54,7,1.7588
52-54,52,54,7,1.7588
54-56,54,56,7,1.7588
01-11,01,11,6,1.5075
01-31,01,31,6,1.5075
01-32,01,32,6,1.5075
01-42,01,42,6,1.5075
01-43,01,43,6,1.5075
01-44,01,44,6,1.5075
02-21,02,21,6,1.5075
02-27,02,27,6,1.5075
02-45,02,45,6,1.5075
02-46,02,46,6,1.5075
03-08,03,08,6,1.5075
03-12,03,12,6,1.5075
03-15,03,15,6,1.5075
03-34,03,34,6,1.5075
04-05,04,05,6,1.5075
04-32,04,32,6,1.5075
04-38,04,38,6,1.5075
04-49,04,49,6,1.5075
05-13,05,13,6,1.5075
05-29,05,29,6,1.5075
05-30,05,30,6,1.5075
05-32,05,32,6,1.5075
05-39,05,39,6,1.5075
05-54,05,54,6,1.5075
05-57,05,57,6,1.5075
06-09,06,09,6,1.5075
06-42,06,42,6,1.5075
06-51,06,51,6,1.5075
07-13,07,13,6,1.5075
07-23,07,23,6,1.5075
07-31,07,31,6,1.5075
07-33,07,33,6,1.5075
07-45,07,45,6,1.5075
07-47,07,47,6,1.5075
07-57,07,57,6,1.5075
08-19,08,19,6,1.5075
08-32,08,32,6,1.5075
08-47,08,47,6,1.5075
08-51,08,51,6,1.5075
08-54,08,54,6,1.5075
09-14,09,14,6,1.5075
09-39,09,39,6,1.5075
09-44,09,44,6,1.5075
09-49,09,49,6,1.5075
09-51,09,51,6,1.5075
10-13,10,13,6,1.5075
10-15,10,15,6,1.5075
10-24,10,24,6,1.5075
10-25,10,25,6,1.5075
10-29,10,29,6,1.5075
10-40,10,40,6,1.5075
11-12,11,12,6,1.5075
11-20,11,20,6,1.5075
11-37,11,37,6,1.5075
11-43,11,43,6,1.5075
11-44,11,44,6,1.5075
12-14,12,14,6,1.5075
12-20,12,20,6,1.5075
12-29,12,29,6,1.5075
12-37,12,37,6,1.5075
12-41,12,41,6,1.5075
13-15,13,15,6,1.5075
13-30,13,30,6,1.5075
13-35,13,35,6,1.5075
13-37,13,37,6,1.5075
13-46,13,46,6,1.5075
13-54,13,54,6,1.5075
13-56,13,56,6,1.5075
