game_code,game,rank,strategy,combination,numbers,even_count,odd_count,low_count,high_count,sum,unique_values,historical_fit_score,seen_before_count,rambolito_key,straight_permutations,theoretical_odds_1_in,note
2DL,2D Lotto,1,Uniform baseline,19-23,"['19', '23']",0,2,0,2,42,2,59.61,1,19-23,2,961,"Historical fit is descriptive, not a win probability."
2DL,2D Lotto,2,Uniform baseline,07-22,"['07', '22']",1,1,1,1,29,2,81.75,1,07-22,2,961,"Historical fit is descriptive, not a win probability."
2DL,2D Lotto,3,Uniform baseline,03-22,"['03', '22']",1,1,1,1,25,2,79.87,2,03-22,2,961,"Historical fit is descriptive, not a win probability."
2DL,2D Lotto,4,Uniform baseline,16-20,"['16', '20']",2,0,1,1,36,2,70.49,1,16-20,2,961,"Historical fit is descriptive, not a win probability."
2DL,2D Lotto,5,Smoothed frequency,19-16,"['19', '16']",1,1,1,1,35,2,85.4,5,16-19,2,961,"Historical fit is descriptive, not a win probability."
2DL,2D Lotto,6,Smoothed frequency,28-07,"['28', '07']",1,1,1,1,35,2,84.48,8,07-28,2,961,"Historical fit is descriptive, not a win probability."
2DL,2D Lotto,7,Smoothed frequency,11-20,"['11', '20']",1,1,1,1,31,2,84.27,3,11-20,2,961,"Historical fit is descriptive, not a win probability."
2DL,2D Lotto,8,Historical profile,28-03,"['28', '03']",1,1,1,1,31,2,83.86,4,03-28,2,961,"Historical fit is descriptive, not a win probability."
2DL,2D Lotto,9,Historical profile,09-24,"['09', '24']",1,1,1,1,33,2,83.76,3,09-24,2,961,"Historical fit is descriptive, not a win probability."
2DL,2D Lotto,10,Historical profile,12-21,"['12', '21']",1,1,1,1,33,2,83.76,4,12-21,2,961,"Historical fit is descriptive, not a win probability."
3DL,3D Lotto,1,Uniform baseline,617,"['6', '1', '7']",1,2,1,2,14,3,80.34,3,167,6,1000,"Historical fit is descriptive, not a win probability."
3DL,3D Lotto,2,Uniform baseline,277,"['2', '7', '7']",1,2,1,2,16,2,72.09,2,277,3,1000,"Historical fit is descriptive, not a win probability."
3DL,3D Lotto,3,Uniform baseline,496,"['4', '9', '6']",2,1,1,2,19,3,72.75,4,469,6,1000,"Historical fit is descriptive, not a win probability."
3DL,3D Lotto,4,Uniform baseline,976,"['9', '7', '6']",1,2,0,3,22,3,56.16,4,679,6,1000,"Historical fit is descriptive, not a win probability."
3DL,3D Lotto,5,Smoothed frequency,256,"['2', '5', '6']",2,1,1,2,13,3,82.93,4,256,6,1000,"Historical fit is descriptive, not a win probability."
3DL,3D Lotto,6,Smoothed frequency,463,"['4', '6', '3']",2,1,2,1,13,3,82.91,3,346,6,1000,"Historical fit is descriptive, not a win probability."
3DL,3D Lotto,7,Smoothed frequency,409,"['4', '0', '9']",2,1,2,1,13,3,82.88,1,049,6,1000,"Historical fit is descriptive, not a win probability."
3DL,3D Lotto,8,Historical profile,436,"['4', '3', '6']",2,1,2,1,13,3,83.61,5,346,6,1000,"Historical fit is descriptive, not a win probability."
3DL,3D Lotto,9,Historical profile,238,"['2', '3', '8']",2,1,2,1,13,3,83.02,2,238,6,1000,"Historical fit is descriptive, not a win probability."
3DL,3D Lotto,10,Historical profile,274,"['2', '7', '4']",2,1,2,1,13,3,83.02,3,247,6,1000,"Historical fit is descriptive, not a win probability."
4DL,4D Lotto,1,Uniform baseline,8037,"['8', '0', '3', '7']",2,2,2,2,18,4,84.34,0,0378,24,10000,"Historical fit is descriptive, not a win probability."
4DL,4D Lotto,2,Uniform baseline,2216,"['2', '2', '1', '6']",3,1,3,1,11,3,56.22,0,1226,12,10000,"Historical fit is descriptive, not a win probability."
4DL,4D Lotto,3,Uniform baseline,3888,"['3', '8', '8', '8']",3,1,1,3,27,2,45.72,0,3888,4,10000,"Historical fit is descriptive, not a win probability."
4DL,4D Lotto,4,Uniform baseline,0589,"['0', '5', '8', '9']",2,2,1,3,22,4,71.3,0,0589,24,10000,"Historical fit is descriptive, not a win probability."
