position,number,numeric_value,count,rate_pct,expected_count
1,01,1,0,0.0,0.161
1,02,2,0,0.0,0.161
1,03,3,0,0.0,0.161
1,04,4,0,0.0,0.161
1,05,5,0,0.0,0.161
1,06,6,0,0.0,0.161
1,07,7,0,0.0,0.161
1,08,8,0,0.0,0.161
1,09,9,0,0.0,0.161
1,10,10,1,20.0,0.161
1,11,11,0,0.0,0.161
1,12,12,0,0.0,0.161
1,13,13,1,20.0,0.161
1,14,14,0,0.0,0.161
1,15,15,0,0.0,0.161
1,16,16,0,0.0,0.161
1,17,17,0,0.0,0.161
1,18,18,0,0.0,0.161
1,19,19,1,20.0,0.161
1,20,20,1,20.0,0.161
1,21,21,1,20.0,0.161
1,22,22,0,0.0,0.161
1,23,23,0,0.0,0.161
1,24,24,0,0.0,0.161
1,25,25,0,0.0,0.161
1,26,26,0,0.0,0.161
1,27,27,0,0.0,0.161
1,28,28,0,0.0,0.161
1,29,29,0,0.0,0.161
1,30,30,0,0.0,0.161
1,31,31,0,0.0,0.161
2,01,1,0,0.0,0.161
2,02,2,1,20.0,0.161
2,03,3,0,0.0,0.161
2,04,4,0,0.0,0.161
2,05,5,0,0.0,0.161
2,06,6,0,0.0,0.161
2,07,7,0,0.0,0.161
2,08,8,0,0.0,0.161
2,09,9,0,0.0,0.161
2,10,10,0,0.0,0.161
2,11,11,0,0.0,0.161
2,12,12,0,0.0,0.161
2,13,13,0,0.0,0.161
2,14,14,0,0.0,0.161
2,15,15,0,0.0,0.161
2,16,16,0,0.0,0.161
2,17,17,1,20.0,0.161
2,18,18,1,20.0,0.161
2,19,19,0,0.0,0.161
2,20,20,0,0.0,0.161
2,21,21,0,0.0,0.161
2,22,22,0,0.0,0.161
2,23,23,1,20.0,0.161
2,24,24,0,0.0,0.161
2,25,25,0,0.0,0.161
2,26,26,0,0.0,0.161
2,27,27,0,0.0,0.161
2,28,28,1,20.0,0.161
2,29,29,0,0.0,0.161
2,30,30,0,0.0,0.161
2,31,31,0,0.0,0.161
