rank,strategy,combination,numbers,even_count,odd_count,low_count,high_count,sum,unique_values,historical_fit_score,seen_before_count,rambolito_key,straight_permutations,theoretical_odds_1_in,odds_scope,note
1,Uniform baseline,2016,"['2', '0', '1', '6']",3,1,3,1,9,4,30.86,0,0126,24,10000,Straight play,"Historical fit is descriptive, not a win probability."
2,Uniform baseline,0036,"['0', '0', '3', '6']",3,1,3,1,9,3,31.28,0,0036,12,10000,Straight play,"Historical fit is descriptive, not a win probability."
3,Uniform baseline,1345,"['1', '3', '4', '5']",1,3,3,1,13,4,54.01,0,1345,24,10000,Straight play,"Historical fit is descriptive, not a win probability."
4,Uniform baseline,4114,"['4', '1', '1', '4']",2,2,4,0,10,2,49.45,0,1144,6,10000,Straight play,"Historical fit is descriptive, not a win probability."
5,Smoothed frequency,4194,"['4', '1', '9', '4']",2,2,3,1,18,3,83.95,0,1449,12,10000,Straight play,"Historical fit is descriptive, not a win probability."
6,Smoothed frequency,9607,"['9', '6', '0', '7']",2,2,1,3,22,4,82.19,0,0679,24,10000,Straight play,"Historical fit is descriptive, not a win probability."
7,Smoothed frequency,1667,"['1', '6', '6', '7']",2,2,1,3,20,3,82.1,0,1667,12,10000,Straight play,"Historical fit is descriptive, not a win probability."
8,Historical profile,6156,"['6', '1', '5', '6']",2,2,1,3,18,3,85.2,0,1566,12,10000,Straight play,"Historical fit is descriptive, not a win probability."
9,Historical profile,6705,"['6', '7', '0', '5']",2,2,1,3,18,4,84.79,0,0567,24,10000,Straight play,"Historical fit is descriptive, not a win probability."
10,Historical profile,6505,"['6', '5', '0', '5']",2,2,1,3,16,3,83.12,0,0556,12,10000,Straight play,"Historical fit is descriptive, not a win probability."
