number,numeric_value,appearance_count,appearance_share_pct,draw_hit_count,draw_hit_rate_pct,expected_count,difference_from_expected,z_score,seen_in_selected_sample,draws_since_last,draws_since_last_in_sample,mean_gap_draws,median_gap_draws,maximum_gap_draws,last_seen,frequency_rank,temperature
0,0,1,5.0,1,20.0,2.0,-1.0,-0.745,True,2,2,,,,2026-07-31,6,Middle
1,1,3,15.0,3,60.0,2.0,1.0,0.745,True,1,1,0.5,0.5,1,2026-08-03,2,Middle
2,2,1,5.0,1,20.0,2.0,-1.0,-0.745,True,0,0,,,,2026-08-05,7,Middle
3,3,0,0.0,0,0.0,2.0,-2.0,-1.491,False,,,,,,,10,Sample cold
4,4,3,15.0,3,60.0,2.0,1.0,0.745,True,0,0,0.5,0.5,1,2026-08-05,3,Middle
5,5,1,5.0,1,20.0,2.0,-1.0,-0.745,True,4,4,,,,2026-07-27,8,Middle
6,6,1,5.0,1,20.0,2.0,-1.0,-0.745,True,3,3,,,,2026-07-29,9,Middle
7,7,2,10.0,2,40.0,2.0,0.0,0.0,True,2,2,0,0,0,2026-07-31,5,Middle
8,8,3,15.0,2,40.0,2.0,1.0,0.745,True,0,0,0,0,0,2026-08-05,4,Middle
9,9,5,25.0,3,60.0,2.0,3.0,2.236,True,1,1,0.5,0.5,1,2026-08-03,1,Sample hot
