draw_index,draw_date,draw_time,window_size,number,count,appearance_share_pct
3,2026-07-31,21:00,3,0,1,8.3333
3,2026-07-31,21:00,3,1,2,16.6667
3,2026-07-31,21:00,3,2,0,0.0
3,2026-07-31,21:00,3,3,0,0.0
3,2026-07-31,21:00,3,4,2,16.6667
3,2026-07-31,21:00,3,5,1,8.3333
3,2026-07-31,21:00,3,6,1,8.3333
3,2026-07-31,21:00,3,7,2,16.6667
3,2026-07-31,21:00,3,8,0,0.0
3,2026-07-31,21:00,3,9,3,25.0
4,2026-08-03,21:00,3,0,1,8.3333
4,2026-08-03,21:00,3,1,2,16.6667
4,2026-08-03,21:00,3,2,0,0.0
4,2026-08-03,21:00,3,3,0,0.0
4,2026-08-03,21:00,3,4,2,16.6667
4,2026-08-03,21:00,3,5,0,0.0
4,2026-08-03,21:00,3,6,1,8.3333
4,2026-08-03,21:00,3,7,2,16.6667
4,2026-08-03,21:00,3,8,1,8.3333
4,2026-08-03,21:00,3,9,3,25.0
5,2026-08-05,21:00,3,0,1,8.3333
5,2026-08-05,21:00,3,1,2,16.6667
5,2026-08-05,21:00,3,2,1,8.3333
5,2026-08-05,21:00,3,3,0,0.0
5,2026-08-05,21:00,3,4,2,16.6667
5,2026-08-05,21:00,3,5,0,0.0
5,2026-08-05,21:00,3,6,0,0.0
5,2026-08-05,21:00,3,7,1,8.3333
5,2026-08-05,21:00,3,8,3,25.0
5,2026-08-05,21:00,3,9,2,16.6667
