pair_or_transition,first,second,count,occurrence_count,draw_support_count,draw_support_pct
02-05,02,05,1,1,1,20.0
02-17,02,17,1,1,1,20.0
02-34,02,34,1,1,1,20.0
02-44,02,44,1,1,1,20.0
02-53,02,53,1,1,1,20.0
04-09,04,09,1,1,1,20.0
04-14,04,14,1,1,1,20.0
04-23,04,23,1,1,1,20.0
04-33,04,33,1,1,1,20.0
04-46,04,46,1,1,1,20.0
05-17,05,17,1,1,1,20.0
05-34,05,34,1,1,1,20.0
05-44,05,44,1,1,1,20.0
05-53,05,53,1,1,1,20.0
06-42,06,42,1,1,1,20.0
06-46,06,46,1,1,1,20.0
06-49,06,49,1,1,1,20.0
06-53,06,53,1,1,1,20.0
06-55,06,55,1,1,1,20.0
09-14,09,14,1,1,1,20.0
09-23,09,23,1,1,1,20.0
09-33,09,33,1,1,1,20.0
09-46,09,46,1,1,1,20.0
14-23,14,23,1,1,1,20.0
14-33,14,33,1,1,1,20.0
14-46,14,46,1,1,1,20.0
17-34,17,34,1,1,1,20.0
17-44,17,44,1,1,1,20.0
17-53,17,53,1,1,1,20.0
20-26,20,26,1,1,1,20.0
20-39,20,39,1,1,1,20.0
20-40,20,40,1,1,1,20.0
20-41,20,41,1,1,1,20.0
20-42,20,42,1,1,1,20.0
23-33,23,33,1,1,1,20.0
23-46,23,46,1,1,1,20.0
26-39,26,39,1,1,1,20.0
26-40,26,40,1,1,1,20.0
26-41,26,41,1,1,1,20.0
26-42,26,42,1,1,1,20.0
28-38,28,38,1,1,1,20.0
28-44,28,44,1,1,1,20.0
28-48,28,48,1,1,1,20.0
28-49,28,49,1,1,1,20.0
28-54,28,54,1,1,1,20.0
33-46,33,46,1,1,1,20.0
34-44,34,44,1,1,1,20.0
34-53,34,53,1,1,1,20.0
38-44,38,44,1,1,1,20.0
38-48,38,48,1,1,1,20.0
38-49,38,49,1,1,1,20.0
38-54,38,54,1,1,1,20.0
39-40,39,40,1,1,1,20.0
39-41,39,41,1,1,1,20.0
39-42,39,42,1,1,1,20.0
40-41,40,41,1,1,1,20.0
40-42,40,42,1,1,1,20.0
41-42,41,42,1,1,1,20.0
42-46,42,46,1,1,1,20.0
42-49,42,49,1,1,1,20.0
42-53,42,53,1,1,1,20.0
42-55,42,55,1,1,1,20.0
44-48,44,48,1,1,1,20.0
44-49,44,49,1,1,1,20.0
44-53,44,53,1,1,1,20.0
44-54,44,54,1,1,1,20.0
46-49,46,49,1,1,1,20.0
46-53,46,53,1,1,1,20.0
46-55,46,55,1,1,1,20.0
48-49,48,49,1,1,1,20.0
48-54,48,54,1,1,1,20.0
49-53,49,53,1,1,1,20.0
49-54,49,54,1,1,1,20.0
49-55,49,55,1,1,1,20.0
53-55,53,55,1,1,1,20.0
