draw_index,draw_date,draw_time,position,number
1,2026-07-27,21:00,1,6
1,2026-07-27,21:00,2,53
1,2026-07-27,21:00,3,42
1,2026-07-27,21:00,4,49
1,2026-07-27,21:00,5,55
1,2026-07-27,21:00,6,46
2,2026-07-29,21:00,1,9
2,2026-07-29,21:00,2,4
2,2026-07-29,21:00,3,33
2,2026-07-29,21:00,4,23
2,2026-07-29,21:00,5,46
2,2026-07-29,21:00,6,14
3,2026-08-01,21:00,1,48
3,2026-08-01,21:00,2,28
3,2026-08-01,21:00,3,49
3,2026-08-01,21:00,4,44
3,2026-08-01,21:00,5,54
3,2026-08-01,21:00,6,38
4,2026-08-03,21:00,1,53
4,2026-08-03,21:00,2,2
4,2026-08-03,21:00,3,17
4,2026-08-03,21:00,4,44
4,2026-08-03,21:00,5,34
4,2026-08-03,21:00,6,5
5,2026-08-05,21:00,1,40
5,2026-08-05,21:00,2,20
5,2026-08-05,21:00,3,39
5,2026-08-05,21:00,4,41
5,2026-08-05,21:00,5,26
5,2026-08-05,21:00,6,42
