triple,count,occurrence_count,draw_support_count,draw_support_pct
02-05-17,1,1,1,20.0
02-05-34,1,1,1,20.0
02-05-44,1,1,1,20.0
02-05-53,1,1,1,20.0
02-17-34,1,1,1,20.0
02-17-44,1,1,1,20.0
02-17-53,1,1,1,20.0
02-34-44,1,1,1,20.0
02-34-53,1,1,1,20.0
02-44-53,1,1,1,20.0
04-09-14,1,1,1,20.0
04-09-23,1,1,1,20.0
04-09-33,1,1,1,20.0
04-09-46,1,1,1,20.0
04-14-23,1,1,1,20.0
04-14-33,1,1,1,20.0
04-14-46,1,1,1,20.0
04-23-33,1,1,1,20.0
04-23-46,1,1,1,20.0
04-33-46,1,1,1,20.0
05-17-34,1,1,1,20.0
05-17-44,1,1,1,20.0
05-17-53,1,1,1,20.0
05-34-44,1,1,1,20.0
05-34-53,1,1,1,20.0
05-44-53,1,1,1,20.0
06-42-46,1,1,1,20.0
06-42-49,1,1,1,20.0
06-42-53,1,1,1,20.0
06-42-55,1,1,1,20.0
06-46-49,1,1,1,20.0
06-46-53,1,1,1,20.0
06-46-55,1,1,1,20.0
06-49-53,1,1,1,20.0
06-49-55,1,1,1,20.0
06-53-55,1,1,1,20.0
09-14-23,1,1,1,20.0
09-14-33,1,1,1,20.0
09-14-46,1,1,1,20.0
09-23-33,1,1,1,20.0
09-23-46,1,1,1,20.0
09-33-46,1,1,1,20.0
14-23-33,1,1,1,20.0
14-23-46,1,1,1,20.0
14-33-46,1,1,1,20.0
17-34-44,1,1,1,20.0
17-34-53,1,1,1,20.0
17-44-53,1,1,1,20.0
20-26-39,1,1,1,20.0
20-26-40,1,1,1,20.0
20-26-41,1,1,1,20.0
20-26-42,1,1,1,20.0
20-39-40,1,1,1,20.0
20-39-41,1,1,1,20.0
20-39-42,1,1,1,20.0
20-40-41,1,1,1,20.0
20-40-42,1,1,1,20.0
20-41-42,1,1,1,20.0
23-33-46,1,1,1,20.0
26-39-40,1,1,1,20.0
26-39-41,1,1,1,20.0
26-39-42,1,1,1,20.0
26-40-41,1,1,1,20.0
26-40-42,1,1,1,20.0
26-41-42,1,1,1,20.0
28-38-44,1,1,1,20.0
28-38-48,1,1,1,20.0
28-38-49,1,1,1,20.0
28-38-54,1,1,1,20.0
28-44-48,1,1,1,20.0
28-44-49,1,1,1,20.0
28-44-54,1,1,1,20.0
28-48-49,1,1,1,20.0
28-48-54,1,1,1,20.0
28-49-54,1,1,1,20.0
34-44-53,1,1,1,20.0
38-44-48,1,1,1,20.0
38-44-49,1,1,1,20.0
38-44-54,1,1,1,20.0
38-48-49,1,1,1,20.0
38-48-54,1,1,1,20.0
38-49-54,1,1,1,20.0
39-40-41,1,1,1,20.0
39-40-42,1,1,1,20.0
39-41-42,1,1,1,20.0
40-41-42,1,1,1,20.0
42-46-49,1,1,1,20.0
42-46-53,1,1,1,20.0
42-46-55,1,1,1,20.0
42-49-53,1,1,1,20.0
42-49-55,1,1,1,20.0
42-53-55,1,1,1,20.0
44-48-49,1,1,1,20.0
44-48-54,1,1,1,20.0
44-49-54,1,1,1,20.0
46-49-53,1,1,1,20.0
46-49-55,1,1,1,20.0
46-53-55,1,1,1,20.0
48-49-54,1,1,1,20.0
49-53-55,1,1,1,20.0
