rank,strategy,combination,numbers,even_count,odd_count,low_count,high_count,sum,unique_values,historical_fit_score,seen_before_count,rambolito_key,straight_permutations,theoretical_odds_1_in,odds_scope,note
1,Uniform baseline,05-25-27-28-35-36,"['05', '25', '27', '28', '35', '36']",2,4,1,5,156,6,50.09,0,,,5245786,Standard game,"Historical fit is descriptive, not a win probability."
2,Uniform baseline,05-10-16-17-34-35,"['05', '10', '16', '17', '34', '35']",3,3,4,2,117,6,62.34,0,,,5245786,Standard game,"Historical fit is descriptive, not a win probability."
3,Uniform baseline,09-21-24-31-33-37,"['09', '21', '24', '31', '33', '37']",1,5,2,4,155,6,70.42,0,,,5245786,Standard game,"Historical fit is descriptive, not a win probability."
4,Uniform baseline,09-25-28-32-33-36,"['09', '25', '28', '32', '33', '36']",3,3,1,5,163,6,43.66,0,,,5245786,Standard game,"Historical fit is descriptive, not a win probability."
5,Smoothed frequency,13-15-19-25-28-39,"['13', '15', '19', '25', '28', '39']",1,5,3,3,139,6,89.34,0,,,5245786,Standard game,"Historical fit is descriptive, not a win probability."
6,Smoothed frequency,01-19-23-27-30-35,"['01', '19', '23', '27', '30', '35']",1,5,2,4,135,6,86.84,0,,,5245786,Standard game,"Historical fit is descriptive, not a win probability."
7,Smoothed frequency,01-13-26-27-31-41,"['01', '13', '26', '27', '31', '41']",1,5,2,4,139,6,84.48,0,,,5245786,Standard game,"Historical fit is descriptive, not a win probability."
8,Historical profile,01-15-19-23-24-41,"['01', '15', '19', '23', '24', '41']",1,5,3,3,123,6,90.56,0,,,5245786,Standard game,"Historical fit is descriptive, not a win probability."
9,Historical profile,01-17-25-26-27-29,"['01', '17', '25', '26', '27', '29']",1,5,2,4,125,6,86.75,0,,,5245786,Standard game,"Historical fit is descriptive, not a win probability."
10,Historical profile,14-15-23-25-27-39,"['14', '15', '23', '25', '27', '39']",1,5,2,4,143,6,86.62,0,,,5245786,Standard game,"Historical fit is descriptive, not a win probability."
