pair_or_transition,first,second,count,occurrence_count,draw_support_count,draw_support_pct
15-19,15,19,2,2,2,40.0
15-26,15,26,2,2,2,40.0
15-39,15,39,2,2,2,40.0
01-02,01,02,1,1,1,20.0
01-10,01,10,1,1,1,20.0
01-15,01,15,1,1,1,20.0
01-18,01,18,1,1,1,20.0
01-19,01,19,1,1,1,20.0
01-26,01,26,1,1,1,20.0
01-28,01,28,1,1,1,20.0
01-34,01,34,1,1,1,20.0
01-39,01,39,1,1,1,20.0
01-42,01,42,1,1,1,20.0
02-10,02,10,1,1,1,20.0
02-18,02,18,1,1,1,20.0
02-28,02,28,1,1,1,20.0
02-39,02,39,1,1,1,20.0
03-07,03,07,1,1,1,20.0
03-24,03,24,1,1,1,20.0
03-25,03,25,1,1,1,20.0
03-39,03,39,1,1,1,20.0
03-41,03,41,1,1,1,20.0
07-24,07,24,1,1,1,20.0
07-25,07,25,1,1,1,20.0
07-39,07,39,1,1,1,20.0
07-41,07,41,1,1,1,20.0
10-18,10,18,1,1,1,20.0
10-28,10,28,1,1,1,20.0
10-39,10,39,1,1,1,20.0
12-15,12,15,1,1,1,20.0
12-19,12,19,1,1,1,20.0
12-27,12,27,1,1,1,20.0
12-35,12,35,1,1,1,20.0
12-39,12,39,1,1,1,20.0
15-17,15,17,1,1,1,20.0
15-23,15,23,1,1,1,20.0
15-27,15,27,1,1,1,20.0
15-34,15,34,1,1,1,20.0
15-35,15,35,1,1,1,20.0
15-38,15,38,1,1,1,20.0
15-42,15,42,1,1,1,20.0
17-23,17,23,1,1,1,20.0
17-26,17,26,1,1,1,20.0
17-38,17,38,1,1,1,20.0
17-39,17,39,1,1,1,20.0
18-28,18,28,1,1,1,20.0
18-39,18,39,1,1,1,20.0
19-26,19,26,1,1,1,20.0
19-27,19,27,1,1,1,20.0
19-34,19,34,1,1,1,20.0
19-35,19,35,1,1,1,20.0
19-39,19,39,1,1,1,20.0
19-42,19,42,1,1,1,20.0
23-26,23,26,1,1,1,20.0
23-38,23,38,1,1,1,20.0
23-39,23,39,1,1,1,20.0
24-25,24,25,1,1,1,20.0
24-39,24,39,1,1,1,20.0
24-41,24,41,1,1,1,20.0
25-39,25,39,1,1,1,20.0
25-41,25,41,1,1,1,20.0
26-34,26,34,1,1,1,20.0
26-38,26,38,1,1,1,20.0
26-39,26,39,1,1,1,20.0
26-42,26,42,1,1,1,20.0
27-35,27,35,1,1,1,20.0
27-39,27,39,1,1,1,20.0
28-39,28,39,1,1,1,20.0
34-42,34,42,1,1,1,20.0
35-39,35,39,1,1,1,20.0
38-39,38,39,1,1,1,20.0
39-41,39,41,1,1,1,20.0
