triple,count,occurrence_count,draw_support_count,draw_support_pct
01-02-10,1,1,1,20.0
01-02-18,1,1,1,20.0
01-02-28,1,1,1,20.0
01-02-39,1,1,1,20.0
01-10-18,1,1,1,20.0
01-10-28,1,1,1,20.0
01-10-39,1,1,1,20.0
01-15-19,1,1,1,20.0
01-15-26,1,1,1,20.0
01-15-34,1,1,1,20.0
01-15-42,1,1,1,20.0
01-18-28,1,1,1,20.0
01-18-39,1,1,1,20.0
01-19-26,1,1,1,20.0
01-19-34,1,1,1,20.0
01-19-42,1,1,1,20.0
01-26-34,1,1,1,20.0
01-26-42,1,1,1,20.0
01-28-39,1,1,1,20.0
01-34-42,1,1,1,20.0
02-10-18,1,1,1,20.0
02-10-28,1,1,1,20.0
02-10-39,1,1,1,20.0
02-18-28,1,1,1,20.0
02-18-39,1,1,1,20.0
02-28-39,1,1,1,20.0
03-07-24,1,1,1,20.0
03-07-25,1,1,1,20.0
03-07-39,1,1,1,20.0
03-07-41,1,1,1,20.0
03-24-25,1,1,1,20.0
03-24-39,1,1,1,20.0
03-24-41,1,1,1,20.0
03-25-39,1,1,1,20.0
03-25-41,1,1,1,20.0
03-39-41,1,1,1,20.0
07-24-25,1,1,1,20.0
07-24-39,1,1,1,20.0
07-24-41,1,1,1,20.0
07-25-39,1,1,1,20.0
07-25-41,1,1,1,20.0
07-39-41,1,1,1,20.0
10-18-28,1,1,1,20.0
10-18-39,1,1,1,20.0
10-28-39,1,1,1,20.0
12-15-19,1,1,1,20.0
12-15-27,1,1,1,20.0
12-15-35,1,1,1,20.0
12-15-39,1,1,1,20.0
12-19-27,1,1,1,20.0
12-19-35,1,1,1,20.0
12-19-39,1,1,1,20.0
12-27-35,1,1,1,20.0
12-27-39,1,1,1,20.0
12-35-39,1,1,1,20.0
15-17-23,1,1,1,20.0
15-17-26,1,1,1,20.0
15-17-38,1,1,1,20.0
15-17-39,1,1,1,20.0
15-19-26,1,1,1,20.0
15-19-27,1,1,1,20.0
15-19-34,1,1,1,20.0
15-19-35,1,1,1,20.0
15-19-39,1,1,1,20.0
15-19-42,1,1,1,20.0
15-23-26,1,1,1,20.0
15-23-38,1,1,1,20.0
15-23-39,1,1,1,20.0
15-26-34,1,1,1,20.0
15-26-38,1,1,1,20.0
15-26-39,1,1,1,20.0
15-26-42,1,1,1,20.0
15-27-35,1,1,1,20.0
15-27-39,1,1,1,20.0
15-34-42,1,1,1,20.0
15-35-39,1,1,1,20.0
15-38-39,1,1,1,20.0
17-23-26,1,1,1,20.0
17-23-38,1,1,1,20.0
17-23-39,1,1,1,20.0
17-26-38,1,1,1,20.0
17-26-39,1,1,1,20.0
17-38-39,1,1,1,20.0
18-28-39,1,1,1,20.0
19-26-34,1,1,1,20.0
19-26-42,1,1,1,20.0
19-27-35,1,1,1,20.0
19-27-39,1,1,1,20.0
19-34-42,1,1,1,20.0
19-35-39,1,1,1,20.0
23-26-38,1,1,1,20.0
23-26-39,1,1,1,20.0
23-38-39,1,1,1,20.0
24-25-39,1,1,1,20.0
24-25-41,1,1,1,20.0
24-39-41,1,1,1,20.0
25-39-41,1,1,1,20.0
26-34-42,1,1,1,20.0
26-38-39,1,1,1,20.0
27-35-39,1,1,1,20.0
