rank,strategy,combination,numbers,even_count,odd_count,low_count,high_count,sum,unique_values,historical_fit_score,seen_before_count,rambolito_key,straight_permutations,theoretical_odds_1_in,odds_scope,note
1,Uniform baseline,07-09-14-19-26-35,"['07', '09', '14', '19', '26', '35']",2,4,4,2,110,6,56.23,0,,,8145060,Standard game,"Historical fit is descriptive, not a win probability."
2,Uniform baseline,07-11-12-14-20-44,"['07', '11', '12', '14', '20', '44']",4,2,5,1,108,6,59.68,0,,,8145060,Standard game,"Historical fit is descriptive, not a win probability."
3,Uniform baseline,08-12-18-21-25-43,"['08', '12', '18', '21', '25', '43']",3,3,4,2,127,6,74.32,0,,,8145060,Standard game,"Historical fit is descriptive, not a win probability."
4,Uniform baseline,08-09-22-29-31-41,"['08', '09', '22', '29', '31', '41']",2,4,3,3,140,6,78.86,0,,,8145060,Standard game,"Historical fit is descriptive, not a win probability."
5,Smoothed frequency,04-08-13-29-34-39,"['04', '08', '13', '29', '34', '39']",3,3,3,3,127,6,89.4,0,,,8145060,Standard game,"Historical fit is descriptive, not a win probability."
6,Smoothed frequency,05-08-11-26-31-34,"['05', '08', '11', '26', '31', '34']",3,3,3,3,115,6,88.54,0,,,8145060,Standard game,"Historical fit is descriptive, not a win probability."
7,Smoothed frequency,07-12-16-29-34-39,"['07', '12', '16', '29', '34', '39']",3,3,3,3,137,6,88.33,0,,,8145060,Standard game,"Historical fit is descriptive, not a win probability."
8,Historical profile,07-08-12-29-31-42,"['07', '08', '12', '29', '31', '42']",3,3,3,3,129,6,91.56,0,,,8145060,Standard game,"Historical fit is descriptive, not a win probability."
9,Historical profile,05-10-12-29-34-39,"['05', '10', '12', '29', '34', '39']",3,3,3,3,129,6,89.23,0,,,8145060,Standard game,"Historical fit is descriptive, not a win probability."
10,Historical profile,02-08-17-29-34-44,"['02', '08', '17', '29', '34', '44']",4,2,3,3,134,6,88.75,0,,,8145060,Standard game,"Historical fit is descriptive, not a win probability."
