number,numeric_value,appearance_count,appearance_share_pct,draw_hit_count,draw_hit_rate_pct,expected_count,difference_from_expected,z_score,seen_in_selected_sample,draws_since_last,draws_since_last_in_sample,mean_gap_draws,median_gap_draws,maximum_gap_draws,last_seen,frequency_rank,temperature
01,1,0,0.0,0,0.0,0.667,-0.667,-0.877,False,,,,,,,24,Sample cold
02,2,1,3.3333,1,20.0,0.667,0.333,0.439,True,0,0,,,,2026-08-05,6,Middle
03,3,0,0.0,0,0.0,0.667,-0.667,-0.877,False,,,,,,,25,Sample cold
04,4,0,0.0,0,0.0,0.667,-0.667,-0.877,False,,,,,,,26,Sample cold
05,5,2,6.6667,2,40.0,0.667,1.333,1.754,True,2,2,1,1,1,2026-07-31,3,Middle
06,6,1,3.3333,1,20.0,0.667,0.333,0.439,True,0,0,,,,2026-08-05,7,Middle
07,7,1,3.3333,1,20.0,0.667,0.333,0.439,True,3,3,,,,2026-07-29,8,Middle
08,8,3,10.0,3,60.0,0.667,2.333,3.07,True,1,1,0,0.0,0,2026-08-03,1,Sample hot
09,9,0,0.0,0,0.0,0.667,-0.667,-0.877,False,,,,,,,27,Sample cold
10,10,0,0.0,0,0.0,0.667,-0.667,-0.877,False,,,,,,,28,Sample cold
11,11,1,3.3333,1,20.0,0.667,0.333,0.439,True,0,0,,,,2026-08-05,9,Middle
12,12,1,3.3333,1,20.0,0.667,0.333,0.439,True,2,2,,,,2026-07-31,10,Middle
13,13,1,3.3333,1,20.0,0.667,0.333,0.439,True,3,3,,,,2026-07-29,11,Middle
14,14,1,3.3333,1,20.0,0.667,0.333,0.439,True,4,4,,,,2026-07-27,12,Middle
15,15,0,0.0,0,0.0,0.667,-0.667,-0.877,False,,,,,,,29,Sample cold
16,16,0,0.0,0,0.0,0.667,-0.667,-0.877,False,,,,,,,30,Sample cold
17,17,0,0.0,0,0.0,0.667,-0.667,-0.877,False,,,,,,,31,Sample cold
18,18,0,0.0,0,0.0,0.667,-0.667,-0.877,False,,,,,,,32,Sample cold
19,19,0,0.0,0,0.0,0.667,-0.667,-0.877,False,,,,,,,33,Sample cold
20,20,0,0.0,0,0.0,0.667,-0.667,-0.877,False,,,,,,,34,Sample cold
21,21,0,0.0,0,0.0,0.667,-0.667,-0.877,False,,,,,,,35,Sample cold
22,22,1,3.3333,1,20.0,0.667,0.333,0.439,True,3,3,,,,2026-07-29,13,Middle
23,23,0,0.0,0,0.0,0.667,-0.667,-0.877,False,,,,,,,36,Sample cold
24,24,0,0.0,0,0.0,0.667,-0.667,-0.877,False,,,,,,,37,Sample cold
25,25,0,0.0,0,0.0,0.667,-0.667,-0.877,False,,,,,,,38,Sample cold
26,26,1,3.3333,1,20.0,0.667,0.333,0.439,True,4,4,,,,2026-07-27,14,Middle
27,27,1,3.3333,1,20.0,0.667,0.333,0.439,True,1,1,,,,2026-08-03,15,Middle
28,28,1,3.3333,1,20.0,0.667,0.333,0.439,True,0,0,,,,2026-08-05,16,Middle
29,29,3,10.0,3,60.0,0.667,2.333,3.07,True,0,0,0,0.0,0,2026-08-05,2,Sample hot
30,30,0,0.0,0,0.0,0.667,-0.667,-0.877,False,,,,,,,39,Sample cold
31,31,2,6.6667,2,40.0,0.667,1.333,1.754,True,0,0,1,1,1,2026-08-05,4,Middle
32,32,1,3.3333,1,20.0,0.667,0.333,0.439,True,1,1,,,,2026-08-03,17,Middle
33,33,0,0.0,0,0.0,0.667,-0.667,-0.877,False,,,,,,,40,Sample cold
34,34,2,6.6667,2,40.0,0.667,1.333,1.754,True,1,1,2,2,2,2026-08-03,5,Middle
35,35,0,0.0,0,0.0,0.667,-0.667,-0.877,False,,,,,,,41,Sample cold
36,36,1,3.3333,1,20.0,0.667,0.333,0.439,True,1,1,,,,2026-08-03,18,Middle
37,37,1,3.3333,1,20.0,0.667,0.333,0.439,True,4,4,,,,2026-07-27,19,Middle
38,38,1,3.3333,1,20.0,0.667,0.333,0.439,True,2,2,,,,2026-07-31,20,Middle
39,39,1,3.3333,1,20.0,0.667,0.333,0.439,True,3,3,,,,2026-07-29,21,Middle
40,40,0,0.0,0,0.0,0.667,-0.667,-0.877,False,,,,,,,42,Sample cold
41,41,0,0.0,0,0.0,0.667,-0.667,-0.877,False,,,,,,,43,Sample cold
42,42,1,3.3333,1,20.0,0.667,0.333,0.439,True,4,4,,,,2026-07-27,22,Middle
43,43,1,3.3333,1,20.0,0.667,0.333,0.439,True,3,3,,,,2026-07-29,23,Middle
44,44,0,0.0,0,0.0,0.667,-0.667,-0.877,False,,,,,,,44,Sample cold
45,45,0,0.0,0,0.0,0.667,-0.667,-0.877,False,,,,,,,45,Sample cold
