draw_index,draw_date,draw_time,position,number
1,2026-07-27,21:00,1,14
1,2026-07-27,21:00,2,42
1,2026-07-27,21:00,3,34
1,2026-07-27,21:00,4,26
1,2026-07-27,21:00,5,5
1,2026-07-27,21:00,6,37
2,2026-07-29,21:00,1,22
2,2026-07-29,21:00,2,39
2,2026-07-29,21:00,3,43
2,2026-07-29,21:00,4,7
2,2026-07-29,21:00,5,13
2,2026-07-29,21:00,6,8
3,2026-07-31,21:00,1,5
3,2026-07-31,21:00,2,8
3,2026-07-31,21:00,3,29
3,2026-07-31,21:00,4,12
3,2026-07-31,21:00,5,38
3,2026-07-31,21:00,6,31
4,2026-08-03,21:00,1,27
4,2026-08-03,21:00,2,29
4,2026-08-03,21:00,3,34
4,2026-08-03,21:00,4,8
4,2026-08-03,21:00,5,32
4,2026-08-03,21:00,6,36
5,2026-08-05,21:00,1,2
5,2026-08-05,21:00,2,11
5,2026-08-05,21:00,3,29
5,2026-08-05,21:00,4,31
5,2026-08-05,21:00,5,28
5,2026-08-05,21:00,6,6
