number,numeric_value,appearance_count,appearance_share_pct,draw_hit_count,draw_hit_rate_pct,expected_count,difference_from_expected,z_score,seen_in_selected_sample,draws_since_last,draws_since_last_in_sample,mean_gap_draws,median_gap_draws,maximum_gap_draws,last_seen,frequency_rank,temperature
01,1,2,6.6667,2,40.0,0.612,1.388,1.893,True,1,1,0,0,0,2026-08-02,1,Sample hot
02,2,1,3.3333,1,20.0,0.612,0.388,0.529,True,2,2,,,,2026-07-30,7,Middle
03,3,0,0.0,0,0.0,0.612,-0.612,-0.835,False,,,,,,,25,Sample cold
04,4,1,3.3333,1,20.0,0.612,0.388,0.529,True,4,4,,,,2026-07-26,8,Middle
05,5,2,6.6667,2,40.0,0.612,1.388,1.893,True,3,3,0,0,0,2026-07-28,2,Sample hot
06,6,0,0.0,0,0.0,0.612,-0.612,-0.835,False,,,,,,,26,Sample cold
07,7,1,3.3333,1,20.0,0.612,0.388,0.529,True,1,1,,,,2026-08-02,9,Middle
08,8,0,0.0,0,0.0,0.612,-0.612,-0.835,False,,,,,,,27,Sample cold
09,9,0,0.0,0,0.0,0.612,-0.612,-0.835,False,,,,,,,28,Sample cold
10,10,1,3.3333,1,20.0,0.612,0.388,0.529,True,4,4,,,,2026-07-26,10,Middle
11,11,1,3.3333,1,20.0,0.612,0.388,0.529,True,0,0,,,,2026-08-04,11,Middle
12,12,1,3.3333,1,20.0,0.612,0.388,0.529,True,0,0,,,,2026-08-04,12,Middle
13,13,2,6.6667,2,40.0,0.612,1.388,1.893,True,3,3,0,0,0,2026-07-28,3,Sample hot
14,14,1,3.3333,1,20.0,0.612,0.388,0.529,True,4,4,,,,2026-07-26,13,Middle
15,15,1,3.3333,1,20.0,0.612,0.388,0.529,True,3,3,,,,2026-07-28,14,Middle
16,16,1,3.3333,1,20.0,0.612,0.388,0.529,True,1,1,,,,2026-08-02,15,Middle
17,17,0,0.0,0,0.0,0.612,-0.612,-0.835,False,,,,,,,29,Sample cold
18,18,0,0.0,0,0.0,0.612,-0.612,-0.835,False,,,,,,,30,Sample cold
19,19,1,3.3333,1,20.0,0.612,0.388,0.529,True,4,4,,,,2026-07-26,16,Middle
20,20,1,3.3333,1,20.0,0.612,0.388,0.529,True,0,0,,,,2026-08-04,17,Middle
21,21,1,3.3333,1,20.0,0.612,0.388,0.529,True,3,3,,,,2026-07-28,18,Middle
22,22,0,0.0,0,0.0,0.612,-0.612,-0.835,False,,,,,,,31,Sample cold
23,23,1,3.3333,1,20.0,0.612,0.388,0.529,True,1,1,,,,2026-08-02,19,Middle
24,24,0,0.0,0,0.0,0.612,-0.612,-0.835,False,,,,,,,32,Sample cold
25,25,1,3.3333,1,20.0,0.612,0.388,0.529,True,2,2,,,,2026-07-30,20,Middle
26,26,1,3.3333,1,20.0,0.612,0.388,0.529,True,0,0,,,,2026-08-04,21,Middle
27,27,0,0.0,0,0.0,0.612,-0.612,-0.835,False,,,,,,,33,Sample cold
28,28,0,0.0,0,0.0,0.612,-0.612,-0.835,False,,,,,,,34,Sample cold
29,29,0,0.0,0,0.0,0.612,-0.612,-0.835,False,,,,,,,35,Sample cold
30,30,0,0.0,0,0.0,0.612,-0.612,-0.835,False,,,,,,,36,Sample cold
31,31,0,0.0,0,0.0,0.612,-0.612,-0.835,False,,,,,,,37,Sample cold
32,32,0,0.0,0,0.0,0.612,-0.612,-0.835,False,,,,,,,38,Sample cold
33,33,0,0.0,0,0.0,0.612,-0.612,-0.835,False,,,,,,,39,Sample cold
34,34,0,0.0,0,0.0,0.612,-0.612,-0.835,False,,,,,,,40,Sample cold
35,35,1,3.3333,1,20.0,0.612,0.388,0.529,True,1,1,,,,2026-08-02,22,Middle
36,36,2,6.6667,2,40.0,0.612,1.388,1.893,True,0,0,1,1,1,2026-08-04,4,Sample hot
37,37,2,6.6667,2,40.0,0.612,1.388,1.893,True,1,1,1,1,1,2026-08-02,5,Sample hot
38,38,0,0.0,0,0.0,0.612,-0.612,-0.835,False,,,,,,,41,Sample cold
39,39,0,0.0,0,0.0,0.612,-0.612,-0.835,False,,,,,,,42,Sample cold
40,40,1,3.3333,1,20.0,0.612,0.388,0.529,True,3,3,,,,2026-07-28,23,Middle
41,41,0,0.0,0,0.0,0.612,-0.612,-0.835,False,,,,,,,43,Sample cold
42,42,0,0.0,0,0.0,0.612,-0.612,-0.835,False,,,,,,,44,Sample cold
43,43,0,0.0,0,0.0,0.612,-0.612,-0.835,False,,,,,,,45,Sample cold
44,44,2,6.6667,2,40.0,0.612,1.388,1.893,True,0,0,1,1,1,2026-08-04,6,Sample hot
45,45,0,0.0,0,0.0,0.612,-0.612,-0.835,False,,,,,,,46,Sample cold
46,46,0,0.0,0,0.0,0.612,-0.612,-0.835,False,,,,,,,47,Sample cold
47,47,1,3.3333,1,20.0,0.612,0.388,0.529,True,2,2,,,,2026-07-30,24,Middle
48,48,0,0.0,0,0.0,0.612,-0.612,-0.835,False,,,,,,,48,Sample cold
49,49,0,0.0,0,0.0,0.612,-0.612,-0.835,False,,,,,,,49,Sample cold
