draw_index,draw_date,draw_time,position,number
1,2026-07-26,21:00,1,4
1,2026-07-26,21:00,2,10
1,2026-07-26,21:00,3,19
1,2026-07-26,21:00,4,14
1,2026-07-26,21:00,5,13
1,2026-07-26,21:00,6,5
2,2026-07-28,21:00,1,5
2,2026-07-28,21:00,2,13
2,2026-07-28,21:00,3,15
2,2026-07-28,21:00,4,37
2,2026-07-28,21:00,5,21
2,2026-07-28,21:00,6,40
3,2026-07-30,21:00,1,36
3,2026-07-30,21:00,2,25
3,2026-07-30,21:00,3,44
3,2026-07-30,21:00,4,2
3,2026-07-30,21:00,5,47
3,2026-07-30,21:00,6,1
4,2026-08-02,21:00,1,37
4,2026-08-02,21:00,2,16
4,2026-08-02,21:00,3,1
4,2026-08-02,21:00,4,23
4,2026-08-02,21:00,5,35
4,2026-08-02,21:00,6,7
5,2026-08-04,21:00,1,11
5,2026-08-04,21:00,2,20
5,2026-08-04,21:00,3,12
5,2026-08-04,21:00,4,36
5,2026-08-04,21:00,5,44
5,2026-08-04,21:00,6,26
