triple,count,occurrence_count,draw_support_count,draw_support_pct
01-02-25,1,1,1,20.0
01-02-36,1,1,1,20.0
01-02-44,1,1,1,20.0
01-02-47,1,1,1,20.0
01-07-16,1,1,1,20.0
01-07-23,1,1,1,20.0
01-07-35,1,1,1,20.0
01-07-37,1,1,1,20.0
01-16-23,1,1,1,20.0
01-16-35,1,1,1,20.0
01-16-37,1,1,1,20.0
01-23-35,1,1,1,20.0
01-23-37,1,1,1,20.0
01-25-36,1,1,1,20.0
01-25-44,1,1,1,20.0
01-25-47,1,1,1,20.0
01-35-37,1,1,1,20.0
01-36-44,1,1,1,20.0
01-36-47,1,1,1,20.0
01-44-47,1,1,1,20.0
02-25-36,1,1,1,20.0
02-25-44,1,1,1,20.0
02-25-47,1,1,1,20.0
02-36-44,1,1,1,20.0
02-36-47,1,1,1,20.0
02-44-47,1,1,1,20.0
04-05-10,1,1,1,20.0
04-05-13,1,1,1,20.0
04-05-14,1,1,1,20.0
04-05-19,1,1,1,20.0
04-10-13,1,1,1,20.0
04-10-14,1,1,1,20.0
04-10-19,1,1,1,20.0
04-13-14,1,1,1,20.0
04-13-19,1,1,1,20.0
04-14-19,1,1,1,20.0
05-10-13,1,1,1,20.0
05-10-14,1,1,1,20.0
05-10-19,1,1,1,20.0
05-13-14,1,1,1,20.0
05-13-15,1,1,1,20.0
05-13-19,1,1,1,20.0
05-13-21,1,1,1,20.0
05-13-37,1,1,1,20.0
05-13-40,1,1,1,20.0
05-14-19,1,1,1,20.0
05-15-21,1,1,1,20.0
05-15-37,1,1,1,20.0
05-15-40,1,1,1,20.0
05-21-37,1,1,1,20.0
05-21-40,1,1,1,20.0
05-37-40,1,1,1,20.0
07-16-23,1,1,1,20.0
07-16-35,1,1,1,20.0
07-16-37,1,1,1,20.0
07-23-35,1,1,1,20.0
07-23-37,1,1,1,20.0
07-35-37,1,1,1,20.0
10-13-14,1,1,1,20.0
10-13-19,1,1,1,20.0
10-14-19,1,1,1,20.0
11-12-20,1,1,1,20.0
11-12-26,1,1,1,20.0
11-12-36,1,1,1,20.0
11-12-44,1,1,1,20.0
11-20-26,1,1,1,20.0
11-20-36,1,1,1,20.0
11-20-44,1,1,1,20.0
11-26-36,1,1,1,20.0
11-26-44,1,1,1,20.0
11-36-44,1,1,1,20.0
12-20-26,1,1,1,20.0
12-20-36,1,1,1,20.0
12-20-44,1,1,1,20.0
12-26-36,1,1,1,20.0
12-26-44,1,1,1,20.0
12-36-44,1,1,1,20.0
13-14-19,1,1,1,20.0
13-15-21,1,1,1,20.0
13-15-37,1,1,1,20.0
13-15-40,1,1,1,20.0
13-21-37,1,1,1,20.0
13-21-40,1,1,1,20.0
13-37-40,1,1,1,20.0
15-21-37,1,1,1,20.0
15-21-40,1,1,1,20.0
15-37-40,1,1,1,20.0
16-23-35,1,1,1,20.0
16-23-37,1,1,1,20.0
16-35-37,1,1,1,20.0
20-26-36,1,1,1,20.0
20-26-44,1,1,1,20.0
20-36-44,1,1,1,20.0
21-37-40,1,1,1,20.0
23-35-37,1,1,1,20.0
25-36-44,1,1,1,20.0
25-36-47,1,1,1,20.0
25-44-47,1,1,1,20.0
26-36-44,1,1,1,20.0
36-44-47,1,1,1,20.0
