number,numeric_value,appearance_count,appearance_share_pct,draw_hit_count,draw_hit_rate_pct,expected_count,difference_from_expected,z_score,seen_in_selected_sample,draws_since_last,draws_since_last_in_sample,mean_gap_draws,median_gap_draws,maximum_gap_draws,last_seen,frequency_rank,temperature
01,1,0,0.0,0,0.0,0.517,-0.517,-0.76,False,,,,,,,25,Sample cold
02,2,0,0.0,0,0.0,0.517,-0.517,-0.76,False,,,,,,,26,Sample cold
03,3,0,0.0,0,0.0,0.517,-0.517,-0.76,False,,,,,,,27,Sample cold
04,4,0,0.0,0,0.0,0.517,-0.517,-0.76,False,,,,,,,28,Sample cold
05,5,0,0.0,0,0.0,0.517,-0.517,-0.76,False,,,,,,,29,Sample cold
06,6,0,0.0,0,0.0,0.517,-0.517,-0.76,False,,,,,,,30,Sample cold
07,7,3,10.0,3,60.0,0.517,2.483,3.646,True,0,0,1,1.0,2,2026-08-04,1,Sample hot
08,8,0,0.0,0,0.0,0.517,-0.517,-0.76,False,,,,,,,31,Sample cold
09,9,1,3.3333,1,20.0,0.517,0.483,0.709,True,1,1,,,,2026-08-02,6,Middle
10,10,0,0.0,0,0.0,0.517,-0.517,-0.76,False,,,,,,,32,Sample cold
11,11,2,6.6667,2,40.0,0.517,1.483,2.177,True,2,2,1,1,1,2026-07-31,2,Middle
12,12,0,0.0,0,0.0,0.517,-0.517,-0.76,False,,,,,,,33,Sample cold
13,13,1,3.3333,1,20.0,0.517,0.483,0.709,True,0,0,,,,2026-08-04,7,Middle
14,14,1,3.3333,1,20.0,0.517,0.483,0.709,True,0,0,,,,2026-08-04,8,Middle
15,15,1,3.3333,1,20.0,0.517,0.483,0.709,True,2,2,,,,2026-07-31,9,Middle
16,16,0,0.0,0,0.0,0.517,-0.517,-0.76,False,,,,,,,34,Sample cold
17,17,0,0.0,0,0.0,0.517,-0.517,-0.76,False,,,,,,,35,Sample cold
18,18,1,3.3333,1,20.0,0.517,0.483,0.709,True,2,2,,,,2026-07-31,10,Middle
19,19,0,0.0,0,0.0,0.517,-0.517,-0.76,False,,,,,,,36,Sample cold
20,20,0,0.0,0,0.0,0.517,-0.517,-0.76,False,,,,,,,37,Sample cold
21,21,0,0.0,0,0.0,0.517,-0.517,-0.76,False,,,,,,,38,Sample cold
22,22,0,0.0,0,0.0,0.517,-0.517,-0.76,False,,,,,,,39,Sample cold
23,23,1,3.3333,1,20.0,0.517,0.483,0.709,True,1,1,,,,2026-08-02,11,Middle
24,24,1,3.3333,1,20.0,0.517,0.483,0.709,True,1,1,,,,2026-08-02,12,Middle
25,25,0,0.0,0,0.0,0.517,-0.517,-0.76,False,,,,,,,40,Sample cold
26,26,0,0.0,0,0.0,0.517,-0.517,-0.76,False,,,,,,,41,Sample cold
27,27,0,0.0,0,0.0,0.517,-0.517,-0.76,False,,,,,,,42,Sample cold
28,28,0,0.0,0,0.0,0.517,-0.517,-0.76,False,,,,,,,43,Sample cold
29,29,0,0.0,0,0.0,0.517,-0.517,-0.76,False,,,,,,,44,Sample cold
30,30,2,6.6667,2,40.0,0.517,1.483,2.177,True,3,3,0,0,0,2026-07-28,3,Middle
31,31,0,0.0,0,0.0,0.517,-0.517,-0.76,False,,,,,,,45,Sample cold
32,32,1,3.3333,1,20.0,0.517,0.483,0.709,True,3,3,,,,2026-07-28,13,Middle
33,33,1,3.3333,1,20.0,0.517,0.483,0.709,True,4,4,,,,2026-07-26,14,Middle
34,34,1,3.3333,1,20.0,0.517,0.483,0.709,True,3,3,,,,2026-07-28,15,Middle
35,35,2,6.6667,2,40.0,0.517,1.483,2.177,True,0,0,0,0,0,2026-08-04,4,Middle
36,36,1,3.3333,1,20.0,0.517,0.483,0.709,True,2,2,,,,2026-07-31,16,Middle
37,37,0,0.0,0,0.0,0.517,-0.517,-0.76,False,,,,,,,46,Sample cold
38,38,1,3.3333,1,20.0,0.517,0.483,0.709,True,1,1,,,,2026-08-02,17,Middle
39,39,0,0.0,0,0.0,0.517,-0.517,-0.76,False,,,,,,,47,Sample cold
40,40,0,0.0,0,0.0,0.517,-0.517,-0.76,False,,,,,,,48,Sample cold
41,41,1,3.3333,1,20.0,0.517,0.483,0.709,True,1,1,,,,2026-08-02,18,Middle
42,42,0,0.0,0,0.0,0.517,-0.517,-0.76,False,,,,,,,49,Sample cold
43,43,0,0.0,0,0.0,0.517,-0.517,-0.76,False,,,,,,,50,Sample cold
44,44,1,3.3333,1,20.0,0.517,0.483,0.709,True,4,4,,,,2026-07-26,19,Middle
45,45,0,0.0,0,0.0,0.517,-0.517,-0.76,False,,,,,,,51,Sample cold
46,46,1,3.3333,1,20.0,0.517,0.483,0.709,True,0,0,,,,2026-08-04,20,Middle
47,47,0,0.0,0,0.0,0.517,-0.517,-0.76,False,,,,,,,52,Sample cold
48,48,1,3.3333,1,20.0,0.517,0.483,0.709,True,3,3,,,,2026-07-28,21,Middle
49,49,0,0.0,0,0.0,0.517,-0.517,-0.76,False,,,,,,,53,Sample cold
50,50,1,3.3333,1,20.0,0.517,0.483,0.709,True,4,4,,,,2026-07-26,22,Middle
51,51,0,0.0,0,0.0,0.517,-0.517,-0.76,False,,,,,,,54,Sample cold
52,52,1,3.3333,1,20.0,0.517,0.483,0.709,True,2,2,,,,2026-07-31,23,Middle
53,53,0,0.0,0,0.0,0.517,-0.517,-0.76,False,,,,,,,55,Sample cold
54,54,1,3.3333,1,20.0,0.517,0.483,0.709,True,2,2,,,,2026-07-31,24,Middle
55,55,2,6.6667,2,40.0,0.517,1.483,2.177,True,0,0,2,2,2,2026-08-04,5,Middle
56,56,0,0.0,0,0.0,0.517,-0.517,-0.76,False,,,,,,,56,Sample cold
57,57,0,0.0,0,0.0,0.517,-0.517,-0.76,False,,,,,,,57,Sample cold
58,58,0,0.0,0,0.0,0.517,-0.517,-0.76,False,,,,,,,58,Sample cold
