triple,count,occurrence_count,draw_support_count,draw_support_pct
07-11-30,1,1,1,20.0
07-11-33,1,1,1,20.0
07-11-44,1,1,1,20.0
07-11-50,1,1,1,20.0
07-13-14,1,1,1,20.0
07-13-35,1,1,1,20.0
07-13-46,1,1,1,20.0
07-13-55,1,1,1,20.0
07-14-35,1,1,1,20.0
07-14-46,1,1,1,20.0
07-14-55,1,1,1,20.0
07-30-32,1,1,1,20.0
07-30-33,1,1,1,20.0
07-30-34,1,1,1,20.0
07-30-44,1,1,1,20.0
07-30-48,1,1,1,20.0
07-30-50,1,1,1,20.0
07-30-55,1,1,1,20.0
07-32-34,1,1,1,20.0
07-32-48,1,1,1,20.0
07-32-55,1,1,1,20.0
07-33-44,1,1,1,20.0
07-33-50,1,1,1,20.0
07-34-48,1,1,1,20.0
07-34-55,1,1,1,20.0
07-35-46,1,1,1,20.0
07-35-55,1,1,1,20.0
07-44-50,1,1,1,20.0
07-46-55,1,1,1,20.0
07-48-55,1,1,1,20.0
09-23-24,1,1,1,20.0
09-23-35,1,1,1,20.0
09-23-38,1,1,1,20.0
09-23-41,1,1,1,20.0
09-24-35,1,1,1,20.0
09-24-38,1,1,1,20.0
09-24-41,1,1,1,20.0
09-35-38,1,1,1,20.0
09-35-41,1,1,1,20.0
09-38-41,1,1,1,20.0
11-15-18,1,1,1,20.0
11-15-36,1,1,1,20.0
11-15-52,1,1,1,20.0
11-15-54,1,1,1,20.0
11-18-36,1,1,1,20.0
11-18-52,1,1,1,20.0
11-18-54,1,1,1,20.0
11-30-33,1,1,1,20.0
11-30-44,1,1,1,20.0
11-30-50,1,1,1,20.0
11-33-44,1,1,1,20.0
11-33-50,1,1,1,20.0
11-36-52,1,1,1,20.0
11-36-54,1,1,1,20.0
11-44-50,1,1,1,20.0
11-52-54,1,1,1,20.0
13-14-35,1,1,1,20.0
13-14-46,1,1,1,20.0
13-14-55,1,1,1,20.0
13-35-46,1,1,1,20.0
13-35-55,1,1,1,20.0
13-46-55,1,1,1,20.0
14-35-46,1,1,1,20.0
14-35-55,1,1,1,20.0
14-46-55,1,1,1,20.0
15-18-36,1,1,1,20.0
15-18-52,1,1,1,20.0
15-18-54,1,1,1,20.0
15-36-52,1,1,1,20.0
15-36-54,1,1,1,20.0
15-52-54,1,1,1,20.0
18-36-52,1,1,1,20.0
18-36-54,1,1,1,20.0
18-52-54,1,1,1,20.0
23-24-35,1,1,1,20.0
23-24-38,1,1,1,20.0
23-24-41,1,1,1,20.0
23-35-38,1,1,1,20.0
23-35-41,1,1,1,20.0
23-38-41,1,1,1,20.0
24-35-38,1,1,1,20.0
24-35-41,1,1,1,20.0
24-38-41,1,1,1,20.0
30-32-34,1,1,1,20.0
30-32-48,1,1,1,20.0
30-32-55,1,1,1,20.0
30-33-44,1,1,1,20.0
30-33-50,1,1,1,20.0
30-34-48,1,1,1,20.0
30-34-55,1,1,1,20.0
30-44-50,1,1,1,20.0
30-48-55,1,1,1,20.0
32-34-48,1,1,1,20.0
32-34-55,1,1,1,20.0
32-48-55,1,1,1,20.0
33-44-50,1,1,1,20.0
34-48-55,1,1,1,20.0
35-38-41,1,1,1,20.0
35-46-55,1,1,1,20.0
36-52-54,1,1,1,20.0
