game_code,game,rank,strategy,combination,numbers,even_count,odd_count,low_count,high_count,sum,unique_values,historical_fit_score,seen_before_count,rambolito_key,straight_permutations,theoretical_odds_1_in,odds_scope,note
2DL,2D Lotto,1,Uniform baseline,16-03,"['16', '03']",1,1,2,0,19,2,56.44,0,03-16,2,961,Straight play,"Historical fit is descriptive, not a win probability."
2DL,2D Lotto,2,Uniform baseline,23-30,"['23', '30']",1,1,0,2,53,2,60.41,0,23-30,2,961,Straight play,"Historical fit is descriptive, not a win probability."
2DL,2D Lotto,3,Uniform baseline,03-07,"['03', '07']",0,2,2,0,10,2,35.88,0,03-07,2,961,Straight play,"Historical fit is descriptive, not a win probability."
2DL,2D Lotto,4,Uniform baseline,01-09,"['01', '09']",0,2,2,0,10,2,35.88,0,01-09,2,961,Straight play,"Historical fit is descriptive, not a win probability."
2DL,2D Lotto,5,Smoothed frequency,10-23,"['10', '23']",1,1,1,1,33,2,95.12,0,10-23,2,961,Straight play,"Historical fit is descriptive, not a win probability."
2DL,2D Lotto,6,Smoothed frequency,10-17,"['10', '17']",1,1,1,1,27,2,93.37,0,10-17,2,961,Straight play,"Historical fit is descriptive, not a win probability."
2DL,2D Lotto,7,Smoothed frequency,13-28,"['13', '28']",1,1,1,1,41,2,91.05,0,13-28,2,961,Straight play,"Historical fit is descriptive, not a win probability."
2DL,2D Lotto,8,Historical profile,21-02,"['21', '02']",1,1,1,1,23,2,90.28,1,02-21,2,961,Straight play,"Historical fit is descriptive, not a win probability."
2DL,2D Lotto,9,Historical profile,21-18,"['21', '18']",1,1,0,2,39,2,87.62,0,18-21,2,961,Straight play,"Historical fit is descriptive, not a win probability."
2DL,2D Lotto,10,Historical profile,05-28,"['05', '28']",1,1,1,1,33,2,87.58,0,05-28,2,961,Straight play,"Historical fit is descriptive, not a win probability."
3DL,3D Lotto,1,Uniform baseline,713,"['7', '1', '3']",0,3,2,1,11,3,53.08,0,137,6,1000,Straight play,"Historical fit is descriptive, not a win probability."
3DL,3D Lotto,2,Uniform baseline,699,"['6', '9', '9']",1,2,0,3,24,2,13.88,0,699,3,1000,Straight play,"Historical fit is descriptive, not a win probability."
3DL,3D Lotto,3,Uniform baseline,466,"['4', '6', '6']",3,0,1,2,16,2,69.4,0,466,3,1000,Straight play,"Historical fit is descriptive, not a win probability."
3DL,3D Lotto,4,Uniform baseline,205,"['2', '0', '5']",2,1,2,1,7,3,67.83,0,025,6,1000,Straight play,"Historical fit is descriptive, not a win probability."
3DL,3D Lotto,5,Smoothed frequency,562,"['5', '6', '2']",2,1,1,2,13,3,92.1,1,256,6,1000,Straight play,"Historical fit is descriptive, not a win probability."
3DL,3D Lotto,6,Smoothed frequency,582,"['5', '8', '2']",2,1,1,2,15,3,91.4,0,258,6,1000,Straight play,"Historical fit is descriptive, not a win probability."
