position,number,numeric_value,count,rate_pct,expected_count
1,0,0,0,0.0,0.5
1,1,1,1,20.0,0.5
1,2,2,1,20.0,0.5
1,3,3,0,0.0,0.5
1,4,4,0,0.0,0.5
1,5,5,0,0.0,0.5
1,6,6,1,20.0,0.5
1,7,7,0,0.0,0.5
1,8,8,0,0.0,0.5
1,9,9,2,40.0,0.5
2,0,0,0,0.0,0.5
2,1,1,2,40.0,0.5
2,2,2,0,0.0,0.5
2,3,3,0,0.0,0.5
2,4,4,0,0.0,0.5
2,5,5,0,0.0,0.5
2,6,6,0,0.0,0.5
2,7,7,1,20.0,0.5
2,8,8,1,20.0,0.5
2,9,9,1,20.0,0.5
3,0,0,1,20.0,0.5
3,1,1,0,0.0,0.5
3,2,2,0,0.0,0.5
3,3,3,0,0.0,0.5
3,4,4,1,20.0,0.5
3,5,5,0,0.0,0.5
3,6,6,0,0.0,0.5
3,7,7,0,0.0,0.5
3,8,8,1,20.0,0.5
3,9,9,2,40.0,0.5
4,0,0,0,0.0,0.5
4,1,1,0,0.0,0.5
4,2,2,0,0.0,0.5
4,3,3,0,0.0,0.5
4,4,4,2,40.0,0.5
4,5,5,1,20.0,0.5
4,6,6,0,0.0,0.5
4,7,7,1,20.0,0.5
4,8,8,1,20.0,0.5
4,9,9,0,0.0,0.5
