draw_index,draw_date,draw_time,position,number
1,2026-07-27,21:00,1,9
1,2026-07-27,21:00,2,1
1,2026-07-27,21:00,3,9
1,2026-07-27,21:00,4,5
2,2026-07-29,21:00,1,6
2,2026-07-29,21:00,2,9
2,2026-07-29,21:00,3,4
2,2026-07-29,21:00,4,7
3,2026-07-31,21:00,1,1
3,2026-07-31,21:00,2,7
3,2026-07-31,21:00,3,0
3,2026-07-31,21:00,4,4
4,2026-08-03,21:00,1,9
4,2026-08-03,21:00,2,1
4,2026-08-03,21:00,3,9
4,2026-08-03,21:00,4,8
5,2026-08-05,21:00,1,2
5,2026-08-05,21:00,2,8
5,2026-08-05,21:00,3,8
5,2026-08-05,21:00,4,4
