pair_or_transition,first,second,count,occurrence_count,draw_support_count,draw_support_pct
6>1,6,1,2,2,2,40.0
0>4,0,4,1,1,1,20.0
0>5,0,5,1,1,1,20.0
0>6,0,6,1,1,1,20.0
0>9,0,9,1,1,1,20.0
1>8,1,8,1,1,1,20.0
2>5,2,5,1,1,1,20.0
2>6,2,6,1,1,1,20.0
3>5,3,5,1,1,1,20.0
4>9,4,9,1,1,1,20.0
5>0,5,0,1,1,1,20.0
5>7,5,7,1,1,1,20.0
5>8,5,8,1,1,1,20.0
5>9,5,9,1,1,1,20.0
6>2,6,2,1,1,1,20.0
6>3,6,3,1,1,1,20.0
7>6,7,6,1,1,1,20.0
7>9,7,9,1,1,1,20.0
8>3,8,3,1,1,1,20.0
8>7,8,7,1,1,1,20.0
9>0,9,0,1,1,1,20.0
9>4,9,4,1,1,1,20.0
9>5,9,5,1,1,1,20.0
9>7,9,7,1,1,1,20.0
