number,numeric_value,appearance_count,appearance_share_pct,draw_hit_count,draw_hit_rate_pct,expected_count,difference_from_expected,z_score,seen_in_selected_sample,draws_since_last,draws_since_last_in_sample,mean_gap_draws,median_gap_draws,maximum_gap_draws,last_seen,frequency_rank,temperature
01,1,0,0.0,0,0.0,0.545,-0.545,-0.782,False,,,,,,,26,Sample cold
02,2,1,3.3333,1,20.0,0.545,0.455,0.652,True,1,1,,,,2026-08-03,6,Middle
03,3,0,0.0,0,0.0,0.545,-0.545,-0.782,False,,,,,,,27,Sample cold
04,4,1,3.3333,1,20.0,0.545,0.455,0.652,True,3,3,,,,2026-07-29,7,Middle
05,5,1,3.3333,1,20.0,0.545,0.455,0.652,True,1,1,,,,2026-08-03,8,Middle
06,6,1,3.3333,1,20.0,0.545,0.455,0.652,True,4,4,,,,2026-07-27,9,Middle
07,7,0,0.0,0,0.0,0.545,-0.545,-0.782,False,,,,,,,28,Sample cold
08,8,0,0.0,0,0.0,0.545,-0.545,-0.782,False,,,,,,,29,Sample cold
09,9,1,3.3333,1,20.0,0.545,0.455,0.652,True,3,3,,,,2026-07-29,10,Middle
10,10,0,0.0,0,0.0,0.545,-0.545,-0.782,False,,,,,,,30,Sample cold
11,11,0,0.0,0,0.0,0.545,-0.545,-0.782,False,,,,,,,31,Sample cold
12,12,0,0.0,0,0.0,0.545,-0.545,-0.782,False,,,,,,,32,Sample cold
13,13,0,0.0,0,0.0,0.545,-0.545,-0.782,False,,,,,,,33,Sample cold
14,14,1,3.3333,1,20.0,0.545,0.455,0.652,True,3,3,,,,2026-07-29,11,Middle
15,15,0,0.0,0,0.0,0.545,-0.545,-0.782,False,,,,,,,34,Sample cold
16,16,0,0.0,0,0.0,0.545,-0.545,-0.782,False,,,,,,,35,Sample cold
17,17,1,3.3333,1,20.0,0.545,0.455,0.652,True,1,1,,,,2026-08-03,12,Middle
18,18,0,0.0,0,0.0,0.545,-0.545,-0.782,False,,,,,,,36,Sample cold
19,19,0,0.0,0,0.0,0.545,-0.545,-0.782,False,,,,,,,37,Sample cold
20,20,1,3.3333,1,20.0,0.545,0.455,0.652,True,0,0,,,,2026-08-05,13,Middle
21,21,0,0.0,0,0.0,0.545,-0.545,-0.782,False,,,,,,,38,Sample cold
22,22,0,0.0,0,0.0,0.545,-0.545,-0.782,False,,,,,,,39,Sample cold
23,23,1,3.3333,1,20.0,0.545,0.455,0.652,True,3,3,,,,2026-07-29,14,Middle
24,24,0,0.0,0,0.0,0.545,-0.545,-0.782,False,,,,,,,40,Sample cold
25,25,0,0.0,0,0.0,0.545,-0.545,-0.782,False,,,,,,,41,Sample cold
26,26,1,3.3333,1,20.0,0.545,0.455,0.652,True,0,0,,,,2026-08-05,15,Middle
27,27,0,0.0,0,0.0,0.545,-0.545,-0.782,False,,,,,,,42,Sample cold
28,28,1,3.3333,1,20.0,0.545,0.455,0.652,True,2,2,,,,2026-08-01,16,Middle
29,29,0,0.0,0,0.0,0.545,-0.545,-0.782,False,,,,,,,43,Sample cold
30,30,0,0.0,0,0.0,0.545,-0.545,-0.782,False,,,,,,,44,Sample cold
31,31,0,0.0,0,0.0,0.545,-0.545,-0.782,False,,,,,,,45,Sample cold
32,32,0,0.0,0,0.0,0.545,-0.545,-0.782,False,,,,,,,46,Sample cold
33,33,1,3.3333,1,20.0,0.545,0.455,0.652,True,3,3,,,,2026-07-29,17,Middle
34,34,1,3.3333,1,20.0,0.545,0.455,0.652,True,1,1,,,,2026-08-03,18,Middle
35,35,0,0.0,0,0.0,0.545,-0.545,-0.782,False,,,,,,,47,Sample cold
36,36,0,0.0,0,0.0,0.545,-0.545,-0.782,False,,,,,,,48,Sample cold
37,37,0,0.0,0,0.0,0.545,-0.545,-0.782,False,,,,,,,49,Sample cold
38,38,1,3.3333,1,20.0,0.545,0.455,0.652,True,2,2,,,,2026-08-01,19,Middle
39,39,1,3.3333,1,20.0,0.545,0.455,0.652,True,0,0,,,,2026-08-05,20,Middle
40,40,1,3.3333,1,20.0,0.545,0.455,0.652,True,0,0,,,,2026-08-05,21,Middle
41,41,1,3.3333,1,20.0,0.545,0.455,0.652,True,0,0,,,,2026-08-05,22,Middle
42,42,2,6.6667,2,40.0,0.545,1.455,2.087,True,0,0,3,3,3,2026-08-05,1,Sample hot
43,43,0,0.0,0,0.0,0.545,-0.545,-0.782,False,,,,,,,50,Sample cold
44,44,2,6.6667,2,40.0,0.545,1.455,2.087,True,1,1,0,0,0,2026-08-03,2,Sample hot
45,45,0,0.0,0,0.0,0.545,-0.545,-0.782,False,,,,,,,51,Sample cold
46,46,2,6.6667,2,40.0,0.545,1.455,2.087,True,3,3,0,0,0,2026-07-29,3,Sample hot
47,47,0,0.0,0,0.0,0.545,-0.545,-0.782,False,,,,,,,52,Sample cold
48,48,1,3.3333,1,20.0,0.545,0.455,0.652,True,2,2,,,,2026-08-01,23,Middle
49,49,2,6.6667,2,40.0,0.545,1.455,2.087,True,2,2,1,1,1,2026-08-01,4,Sample hot
50,50,0,0.0,0,0.0,0.545,-0.545,-0.782,False,,,,,,,53,Sample cold
51,51,0,0.0,0,0.0,0.545,-0.545,-0.782,False,,,,,,,54,Sample cold
52,52,0,0.0,0,0.0,0.545,-0.545,-0.782,False,,,,,,,55,Sample cold
53,53,2,6.6667,2,40.0,0.545,1.455,2.087,True,1,1,2,2,2,2026-08-03,5,Sample hot
54,54,1,3.3333,1,20.0,0.545,0.455,0.652,True,2,2,,,,2026-08-01,24,Middle
55,55,1,3.3333,1,20.0,0.545,0.455,0.652,True,4,4,,,,2026-07-27,25,Middle
