number,numeric_value,appearance_count,appearance_share_pct,draw_hit_count,draw_hit_rate_pct,expected_count,difference_from_expected,z_score,seen_in_selected_sample,draws_since_last,draws_since_last_in_sample,mean_gap_draws,median_gap_draws,maximum_gap_draws,last_seen,frequency_rank,temperature
01,1,2,6.6667,2,40.0,0.714,1.286,1.643,True,0,0,0,0,0,2026-08-04,3,Middle
02,2,1,3.3333,1,20.0,0.714,0.286,0.365,True,1,1,,,,2026-08-01,6,Middle
03,3,1,3.3333,1,20.0,0.714,0.286,0.365,True,3,3,,,,2026-07-28,7,Middle
04,4,0,0.0,0,0.0,0.714,-0.714,-0.913,False,,,,,,,23,Sample cold
05,5,0,0.0,0,0.0,0.714,-0.714,-0.913,False,,,,,,,24,Sample cold
06,6,0,0.0,0,0.0,0.714,-0.714,-0.913,False,,,,,,,25,Sample cold
07,7,1,3.3333,1,20.0,0.714,0.286,0.365,True,3,3,,,,2026-07-28,8,Middle
08,8,0,0.0,0,0.0,0.714,-0.714,-0.913,False,,,,,,,26,Sample cold
09,9,0,0.0,0,0.0,0.714,-0.714,-0.913,False,,,,,,,27,Sample cold
10,10,1,3.3333,1,20.0,0.714,0.286,0.365,True,1,1,,,,2026-08-01,9,Middle
11,11,0,0.0,0,0.0,0.714,-0.714,-0.913,False,,,,,,,28,Sample cold
12,12,1,3.3333,1,20.0,0.714,0.286,0.365,True,4,4,,,,2026-07-25,10,Middle
13,13,0,0.0,0,0.0,0.714,-0.714,-0.913,False,,,,,,,29,Sample cold
14,14,0,0.0,0,0.0,0.714,-0.714,-0.913,False,,,,,,,30,Sample cold
15,15,3,10.0,3,60.0,0.714,2.286,2.921,True,0,0,1,1.0,1,2026-08-04,2,Middle
16,16,0,0.0,0,0.0,0.714,-0.714,-0.913,False,,,,,,,31,Sample cold
17,17,1,3.3333,1,20.0,0.714,0.286,0.365,True,2,2,,,,2026-07-30,11,Middle
18,18,1,3.3333,1,20.0,0.714,0.286,0.365,True,1,1,,,,2026-08-01,12,Middle
19,19,2,6.6667,2,40.0,0.714,1.286,1.643,True,0,0,3,3,3,2026-08-04,4,Middle
20,20,0,0.0,0,0.0,0.714,-0.714,-0.913,False,,,,,,,32,Sample cold
21,21,0,0.0,0,0.0,0.714,-0.714,-0.913,False,,,,,,,33,Sample cold
22,22,0,0.0,0,0.0,0.714,-0.714,-0.913,False,,,,,,,34,Sample cold
23,23,1,3.3333,1,20.0,0.714,0.286,0.365,True,2,2,,,,2026-07-30,13,Middle
24,24,1,3.3333,1,20.0,0.714,0.286,0.365,True,3,3,,,,2026-07-28,14,Middle
25,25,1,3.3333,1,20.0,0.714,0.286,0.365,True,3,3,,,,2026-07-28,15,Middle
26,26,2,6.6667,2,40.0,0.714,1.286,1.643,True,0,0,1,1,1,2026-08-04,5,Middle
27,27,1,3.3333,1,20.0,0.714,0.286,0.365,True,4,4,,,,2026-07-25,16,Middle
28,28,1,3.3333,1,20.0,0.714,0.286,0.365,True,1,1,,,,2026-08-01,17,Middle
29,29,0,0.0,0,0.0,0.714,-0.714,-0.913,False,,,,,,,35,Sample cold
30,30,0,0.0,0,0.0,0.714,-0.714,-0.913,False,,,,,,,36,Sample cold
31,31,0,0.0,0,0.0,0.714,-0.714,-0.913,False,,,,,,,37,Sample cold
32,32,0,0.0,0,0.0,0.714,-0.714,-0.913,False,,,,,,,38,Sample cold
33,33,0,0.0,0,0.0,0.714,-0.714,-0.913,False,,,,,,,39,Sample cold
34,34,1,3.3333,1,20.0,0.714,0.286,0.365,True,0,0,,,,2026-08-04,18,Middle
35,35,1,3.3333,1,20.0,0.714,0.286,0.365,True,4,4,,,,2026-07-25,19,Middle
36,36,0,0.0,0,0.0,0.714,-0.714,-0.913,False,,,,,,,40,Sample cold
37,37,0,0.0,0,0.0,0.714,-0.714,-0.913,False,,,,,,,41,Sample cold
38,38,1,3.3333,1,20.0,0.714,0.286,0.365,True,2,2,,,,2026-07-30,20,Middle
39,39,4,13.3333,4,80.0,0.714,3.286,4.199,True,1,1,0,0,0,2026-08-01,1,Sample hot
40,40,0,0.0,0,0.0,0.714,-0.714,-0.913,False,,,,,,,42,Sample cold
41,41,1,3.3333,1,20.0,0.714,0.286,0.365,True,3,3,,,,2026-07-28,21,Middle
42,42,1,3.3333,1,20.0,0.714,0.286,0.365,True,0,0,,,,2026-08-04,22,Middle
