draw_index,draw_date,draw_time,position,number
1,2026-07-25,21:00,1,39
1,2026-07-25,21:00,2,27
1,2026-07-25,21:00,3,35
1,2026-07-25,21:00,4,15
1,2026-07-25,21:00,5,19
1,2026-07-25,21:00,6,12
2,2026-07-28,21:00,1,41
2,2026-07-28,21:00,2,3
2,2026-07-28,21:00,3,7
2,2026-07-28,21:00,4,39
2,2026-07-28,21:00,5,25
2,2026-07-28,21:00,6,24
3,2026-07-30,21:00,1,26
3,2026-07-30,21:00,2,17
3,2026-07-30,21:00,3,23
3,2026-07-30,21:00,4,39
3,2026-07-30,21:00,5,15
3,2026-07-30,21:00,6,38
4,2026-08-01,21:00,1,1
4,2026-08-01,21:00,2,10
4,2026-08-01,21:00,3,18
4,2026-08-01,21:00,4,2
4,2026-08-01,21:00,5,28
4,2026-08-01,21:00,6,39
5,2026-08-04,21:00,1,1
5,2026-08-04,21:00,2,26
5,2026-08-04,21:00,3,42
5,2026-08-04,21:00,4,15
5,2026-08-04,21:00,5,34
5,2026-08-04,21:00,6,19
