triple,count,occurrence_count,draw_support_count,draw_support_pct
02-06-11,1,1,1,20.0
02-06-28,1,1,1,20.0
02-06-29,1,1,1,20.0
02-06-31,1,1,1,20.0
02-11-28,1,1,1,20.0
02-11-29,1,1,1,20.0
02-11-31,1,1,1,20.0
02-28-29,1,1,1,20.0
02-28-31,1,1,1,20.0
02-29-31,1,1,1,20.0
05-08-12,1,1,1,20.0
05-08-29,1,1,1,20.0
05-08-31,1,1,1,20.0
05-08-38,1,1,1,20.0
05-12-29,1,1,1,20.0
05-12-31,1,1,1,20.0
05-12-38,1,1,1,20.0
05-14-26,1,1,1,20.0
05-14-34,1,1,1,20.0
05-14-37,1,1,1,20.0
05-14-42,1,1,1,20.0
05-26-34,1,1,1,20.0
05-26-37,1,1,1,20.0
05-26-42,1,1,1,20.0
05-29-31,1,1,1,20.0
05-29-38,1,1,1,20.0
05-31-38,1,1,1,20.0
05-34-37,1,1,1,20.0
05-34-42,1,1,1,20.0
05-37-42,1,1,1,20.0
06-11-28,1,1,1,20.0
06-11-29,1,1,1,20.0
06-11-31,1,1,1,20.0
06-28-29,1,1,1,20.0
06-28-31,1,1,1,20.0
06-29-31,1,1,1,20.0
07-08-13,1,1,1,20.0
07-08-22,1,1,1,20.0
07-08-39,1,1,1,20.0
07-08-43,1,1,1,20.0
07-13-22,1,1,1,20.0
07-13-39,1,1,1,20.0
07-13-43,1,1,1,20.0
07-22-39,1,1,1,20.0
07-22-43,1,1,1,20.0
07-39-43,1,1,1,20.0
08-12-29,1,1,1,20.0
08-12-31,1,1,1,20.0
08-12-38,1,1,1,20.0
08-13-22,1,1,1,20.0
08-13-39,1,1,1,20.0
08-13-43,1,1,1,20.0
08-22-39,1,1,1,20.0
08-22-43,1,1,1,20.0
08-27-29,1,1,1,20.0
08-27-32,1,1,1,20.0
08-27-34,1,1,1,20.0
08-27-36,1,1,1,20.0
08-29-31,1,1,1,20.0
08-29-32,1,1,1,20.0
08-29-34,1,1,1,20.0
08-29-36,1,1,1,20.0
08-29-38,1,1,1,20.0
08-31-38,1,1,1,20.0
08-32-34,1,1,1,20.0
08-32-36,1,1,1,20.0
08-34-36,1,1,1,20.0
08-39-43,1,1,1,20.0
11-28-29,1,1,1,20.0
11-28-31,1,1,1,20.0
11-29-31,1,1,1,20.0
12-29-31,1,1,1,20.0
12-29-38,1,1,1,20.0
12-31-38,1,1,1,20.0
13-22-39,1,1,1,20.0
13-22-43,1,1,1,20.0
13-39-43,1,1,1,20.0
14-26-34,1,1,1,20.0
14-26-37,1,1,1,20.0
14-26-42,1,1,1,20.0
14-34-37,1,1,1,20.0
14-34-42,1,1,1,20.0
14-37-42,1,1,1,20.0
22-39-43,1,1,1,20.0
26-34-37,1,1,1,20.0
26-34-42,1,1,1,20.0
26-37-42,1,1,1,20.0
27-29-32,1,1,1,20.0
27-29-34,1,1,1,20.0
27-29-36,1,1,1,20.0
27-32-34,1,1,1,20.0
27-32-36,1,1,1,20.0
27-34-36,1,1,1,20.0
28-29-31,1,1,1,20.0
29-31-38,1,1,1,20.0
29-32-34,1,1,1,20.0
29-32-36,1,1,1,20.0
29-34-36,1,1,1,20.0
32-34-36,1,1,1,20.0
34-37-42,1,1,1,20.0
