pair_or_transition,first,second,count,occurrence_count,draw_support_count,draw_support_pct
05-13,05,13,2,2,2,40.0
36-44,36,44,2,2,2,40.0
01-02,01,02,1,1,1,20.0
01-07,01,07,1,1,1,20.0
01-16,01,16,1,1,1,20.0
01-23,01,23,1,1,1,20.0
01-25,01,25,1,1,1,20.0
01-35,01,35,1,1,1,20.0
01-36,01,36,1,1,1,20.0
01-37,01,37,1,1,1,20.0
01-44,01,44,1,1,1,20.0
01-47,01,47,1,1,1,20.0
02-25,02,25,1,1,1,20.0
02-36,02,36,1,1,1,20.0
02-44,02,44,1,1,1,20.0
02-47,02,47,1,1,1,20.0
04-05,04,05,1,1,1,20.0
04-10,04,10,1,1,1,20.0
04-13,04,13,1,1,1,20.0
04-14,04,14,1,1,1,20.0
04-19,04,19,1,1,1,20.0
05-10,05,10,1,1,1,20.0
05-14,05,14,1,1,1,20.0
05-15,05,15,1,1,1,20.0
05-19,05,19,1,1,1,20.0
05-21,05,21,1,1,1,20.0
05-37,05,37,1,1,1,20.0
05-40,05,40,1,1,1,20.0
07-16,07,16,1,1,1,20.0
07-23,07,23,1,1,1,20.0
07-35,07,35,1,1,1,20.0
07-37,07,37,1,1,1,20.0
10-13,10,13,1,1,1,20.0
10-14,10,14,1,1,1,20.0
10-19,10,19,1,1,1,20.0
11-12,11,12,1,1,1,20.0
11-20,11,20,1,1,1,20.0
11-26,11,26,1,1,1,20.0
11-36,11,36,1,1,1,20.0
11-44,11,44,1,1,1,20.0
12-20,12,20,1,1,1,20.0
12-26,12,26,1,1,1,20.0
12-36,12,36,1,1,1,20.0
12-44,12,44,1,1,1,20.0
13-14,13,14,1,1,1,20.0
13-15,13,15,1,1,1,20.0
13-19,13,19,1,1,1,20.0
13-21,13,21,1,1,1,20.0
13-37,13,37,1,1,1,20.0
13-40,13,40,1,1,1,20.0
14-19,14,19,1,1,1,20.0
15-21,15,21,1,1,1,20.0
15-37,15,37,1,1,1,20.0
15-40,15,40,1,1,1,20.0
16-23,16,23,1,1,1,20.0
16-35,16,35,1,1,1,20.0
16-37,16,37,1,1,1,20.0
20-26,20,26,1,1,1,20.0
20-36,20,36,1,1,1,20.0
20-44,20,44,1,1,1,20.0
21-37,21,37,1,1,1,20.0
21-40,21,40,1,1,1,20.0
23-35,23,35,1,1,1,20.0
23-37,23,37,1,1,1,20.0
25-36,25,36,1,1,1,20.0
25-44,25,44,1,1,1,20.0
25-47,25,47,1,1,1,20.0
26-36,26,36,1,1,1,20.0
26-44,26,44,1,1,1,20.0
35-37,35,37,1,1,1,20.0
36-47,36,47,1,1,1,20.0
37-40,37,40,1,1,1,20.0
44-47,44,47,1,1,1,20.0
