pair_or_transition,first,second,count,occurrence_count,draw_support_count,draw_support_pct
07-30,07,30,2,2,2,40.0
07-55,07,55,2,2,2,40.0
07-11,07,11,1,1,1,20.0
07-13,07,13,1,1,1,20.0
07-14,07,14,1,1,1,20.0
07-32,07,32,1,1,1,20.0
07-33,07,33,1,1,1,20.0
07-34,07,34,1,1,1,20.0
07-35,07,35,1,1,1,20.0
07-44,07,44,1,1,1,20.0
07-46,07,46,1,1,1,20.0
07-48,07,48,1,1,1,20.0
07-50,07,50,1,1,1,20.0
09-23,09,23,1,1,1,20.0
09-24,09,24,1,1,1,20.0
09-35,09,35,1,1,1,20.0
09-38,09,38,1,1,1,20.0
09-41,09,41,1,1,1,20.0
11-15,11,15,1,1,1,20.0
11-18,11,18,1,1,1,20.0
11-30,11,30,1,1,1,20.0
11-33,11,33,1,1,1,20.0
11-36,11,36,1,1,1,20.0
11-44,11,44,1,1,1,20.0
11-50,11,50,1,1,1,20.0
11-52,11,52,1,1,1,20.0
11-54,11,54,1,1,1,20.0
13-14,13,14,1,1,1,20.0
13-35,13,35,1,1,1,20.0
13-46,13,46,1,1,1,20.0
13-55,13,55,1,1,1,20.0
14-35,14,35,1,1,1,20.0
14-46,14,46,1,1,1,20.0
14-55,14,55,1,1,1,20.0
15-18,15,18,1,1,1,20.0
15-36,15,36,1,1,1,20.0
15-52,15,52,1,1,1,20.0
15-54,15,54,1,1,1,20.0
18-36,18,36,1,1,1,20.0
18-52,18,52,1,1,1,20.0
18-54,18,54,1,1,1,20.0
23-24,23,24,1,1,1,20.0
23-35,23,35,1,1,1,20.0
23-38,23,38,1,1,1,20.0
23-41,23,41,1,1,1,20.0
24-35,24,35,1,1,1,20.0
24-38,24,38,1,1,1,20.0
24-41,24,41,1,1,1,20.0
30-32,30,32,1,1,1,20.0
30-33,30,33,1,1,1,20.0
30-34,30,34,1,1,1,20.0
30-44,30,44,1,1,1,20.0
30-48,30,48,1,1,1,20.0
30-50,30,50,1,1,1,20.0
30-55,30,55,1,1,1,20.0
32-34,32,34,1,1,1,20.0
32-48,32,48,1,1,1,20.0
32-55,32,55,1,1,1,20.0
33-44,33,44,1,1,1,20.0
33-50,33,50,1,1,1,20.0
34-48,34,48,1,1,1,20.0
34-55,34,55,1,1,1,20.0
35-38,35,38,1,1,1,20.0
35-41,35,41,1,1,1,20.0
35-46,35,46,1,1,1,20.0
35-55,35,55,1,1,1,20.0
36-52,36,52,1,1,1,20.0
36-54,36,54,1,1,1,20.0
38-41,38,41,1,1,1,20.0
44-50,44,50,1,1,1,20.0
46-55,46,55,1,1,1,20.0
48-55,48,55,1,1,1,20.0
52-54,52,54,1,1,1,20.0
