draw_index,draw_date,draw_time,position,number
1,2026-07-26,21:00,1,50
1,2026-07-26,21:00,2,11
1,2026-07-26,21:00,3,30
1,2026-07-26,21:00,4,44
1,2026-07-26,21:00,5,33
1,2026-07-26,21:00,6,7
2,2026-07-28,21:00,1,32
2,2026-07-28,21:00,2,48
2,2026-07-28,21:00,3,34
2,2026-07-28,21:00,4,55
2,2026-07-28,21:00,5,30
2,2026-07-28,21:00,6,7
3,2026-07-31,21:00,1,15
3,2026-07-31,21:00,2,18
3,2026-07-31,21:00,3,36
3,2026-07-31,21:00,4,54
3,2026-07-31,21:00,5,11
3,2026-07-31,21:00,6,52
4,2026-08-02,21:00,1,41
4,2026-08-02,21:00,2,38
4,2026-08-02,21:00,3,9
4,2026-08-02,21:00,4,23
4,2026-08-02,21:00,5,24
4,2026-08-02,21:00,6,35
5,2026-08-04,21:00,1,35
5,2026-08-04,21:00,2,14
5,2026-08-04,21:00,3,7
5,2026-08-04,21:00,4,13
5,2026-08-04,21:00,5,46
5,2026-08-04,21:00,6,55
