game_code,game,rank,strategy,combination,numbers,even_count,odd_count,low_count,high_count,sum,unique_values,historical_fit_score,seen_before_count,rambolito_key,straight_permutations,theoretical_odds_1_in,note
2DL,2D Lotto,1,Uniform baseline,04-26,"['04', '26']",2,0,1,1,30,2,66.37,0,04-26,2,961,"Historical fit is descriptive, not a win probability."
2DL,2D Lotto,2,Uniform baseline,29-30,"['29', '30']",1,1,0,2,59,2,57.28,0,29-30,2,961,"Historical fit is descriptive, not a win probability."
2DL,2D Lotto,3,Smoothed frequency,10-23,"['10', '23']",1,1,1,1,33,2,95.12,0,10-23,2,961,"Historical fit is descriptive, not a win probability."
2DL,2D Lotto,4,Smoothed frequency,13-28,"['13', '28']",1,1,1,1,41,2,91.05,0,13-28,2,961,"Historical fit is descriptive, not a win probability."
2DL,2D Lotto,5,Historical profile,10-17,"['10', '17']",1,1,1,1,27,2,93.37,0,10-17,2,961,"Historical fit is descriptive, not a win probability."
3DL,3D Lotto,1,Uniform baseline,528,"['5', '2', '8']",2,1,1,2,15,3,87.51,0,258,6,1000,"Historical fit is descriptive, not a win probability."
3DL,3D Lotto,2,Uniform baseline,405,"['4', '0', '5']",2,1,2,1,9,3,68.7,0,045,6,1000,"Historical fit is descriptive, not a win probability."
3DL,3D Lotto,3,Smoothed frequency,562,"['5', '6', '2']",2,1,1,2,13,3,92.1,1,256,6,1000,"Historical fit is descriptive, not a win probability."
3DL,3D Lotto,4,Smoothed frequency,706,"['7', '0', '6']",2,1,1,2,13,3,92.1,0,067,6,1000,"Historical fit is descriptive, not a win probability."
3DL,3D Lotto,5,Historical profile,582,"['5', '8', '2']",2,1,1,2,15,3,91.4,0,258,6,1000,"Historical fit is descriptive, not a win probability."
4DL,4D Lotto,1,Uniform baseline,5594,"['5', '5', '9', '4']",1,3,1,3,23,3,73.72,0,4559,12,10000,"Historical fit is descriptive, not a win probability."
4DL,4D Lotto,2,Uniform baseline,1364,"['1', '3', '6', '4']",2,2,3,1,14,4,66.11,0,1346,24,10000,"Historical fit is descriptive, not a win probability."
